feature,label,layer,n,mean,std,sem,ci95_low,ci95_high
union_topk_s,REAL,19,11976,0.4379067285684402,0.06694667253923127,0.000611748766608059,0.4367077009858884,0.439105756150992
union_topk_s,HALL,19,3487,0.3874804161153552,0.03975360600116612,0.0006732099952926717,0.38616092452458156,0.3887999077061289
union_topk_s,REAL,20,11976,0.32434936848505785,0.031086376590323844,0.0002840626997002743,0.3237926055936453,0.3249061313764704
union_topk_s,HALL,20,3487,0.31315848077475117,0.0265454462494992,0.00044953556525521263,0.31227739106685093,0.3140395704826514
union_topk_s,REAL,21,11976,0.3592675706283323,0.061167216402423036,0.0005589369534251717,0.35817205419961895,0.3603630870570457
union_topk_s,HALL,21,3487,0.3495989582336561,0.043514192828132264,0.0007368938945597042,0.3481546462003191,0.3510432702669931
union_topk_s,REAL,22,11976,0.2874897944211522,0.035990758780591596,0.00032887821691829073,0.2868451931159923,0.28813439572631205
union_topk_s,HALL,22,3487,0.2762519830887524,0.027274344031404326,0.0004618791315800083,0.27534669999085554,0.2771572661866492
union_topk_s,REAL,23,11976,0.27896141666364055,0.05875766302287162,0.0005369188119387064,0.2779090557922407,0.2800137775350404
union_topk_s,HALL,23,3487,0.2635946670583985,0.03449061262699876,0.000584083495811225,0.26244986340660853,0.2647394707101885
union_topk_s,REAL,24,11976,0.24889903113559517,0.037150363768443044,0.00033947451534753633,0.248233661085514,0.24956440118567633
union_topk_s,HALL,24,3487,0.23886163286589127,0.03054734961903677,0.0005173060550188101,0.2378477129980544,0.23987555273372813
union_topk_s,REAL,25,11976,0.25881025873861196,0.05038502991906757,0.0004604109321555486,0.2579078533115871,0.2597126641656368
union_topk_s,HALL,25,3487,0.2516202858048522,0.0364156080487472,0.0006166824544761488,0.25041158819407894,0.25282898341562543
union_topk_s,REAL,26,11976,0.2615199978478905,0.09881428953320247,0.0009029503252721688,0.259750215210357,0.26328978048542395
union_topk_s,HALL,26,3487,0.2465036349717751,0.057576450318530085,0.0009750320976358567,0.24459257206040882,0.24841469788314138
union_topk_s,REAL,27,11976,0.22889147762958217,0.05541989429552575,0.0005064187762426793,0.2278988968281465,0.22988405843101783
union_topk_s,HALL,27,3487,0.22733249636444416,0.045371923549803975,0.0007683537548389195,0.2258265230049599,0.22883846972392843
union_topk_s,REAL,28,11976,0.21444998656411368,0.03284296804654248,0.000300114171954497,0.21386176278708285,0.2150382103411445
union_topk_s,HALL,28,3487,0.21645235646529973,0.028479409912119297,0.00048228639717145394,0.21550707512684367,0.2173976378037558
union_topk_s,REAL,29,11976,0.21733201690436246,0.0689646927286692,0.0006301891358609951,0.2160968461980749,0.21856718761065003
union_topk_s,HALL,29,3487,0.19950910054034,0.02027932694549576,0.00034342156525662797,0.198835994272437,0.20018220680824297
union_topk_s,REAL,30,11976,0.2178719037684625,0.038236202497513874,0.00034939674864232904,0.21718708614112353,0.21855672139580146
union_topk_s,HALL,30,3487,0.21647583298622314,0.026469069789991126,0.00044824216319391553,0.21559727834636305,0.21735438762608322
union_topk_s,REAL,31,11976,0.2716634343082736,0.027282657352236114,0.00024930487732964155,0.27117479674870754,0.2721520718678397
union_topk_s,HALL,31,3487,0.2797874632548698,0.02029514129055669,0.000343689374299252,0.2791138320812433,0.2804610944284963
union_topk_s,REAL,32,11976,1.198602459573236,0.32182666548295685,0.0029408043477502453,1.1928384830516456,1.2043664360948265
union_topk_s,HALL,32,3487,1.1552005682150204,0.2393326027291386,0.004052993339822807,1.1472567012689676,1.1631444351610731
union_response_sum,REAL,1,11976,0.26883814982483856,0.10689119829021208,0.0009767559198252211,0.26692370822198114,0.270752591427696
union_response_sum,HALL,1,3487,0.15600472636005924,0.07201171418717972,0.0012194870011929587,0.15361453183772103,0.15839492088239746
