model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,raw_attention,32,REAL,22,7801,0.6147138918459285,0.5270401835441589,0.6127051711082458,0.7002159953117371
qwen2_5_vl_7b,raw_attention,32,REAL,23,7801,0.6729142183776758,0.5986360311508179,0.6739307641983032,0.7523627281188965
qwen2_5_vl_7b,raw_attention,32,REAL,24,7801,0.6187977174691185,0.5375864505767822,0.6136431097984314,0.6978585720062256
qwen2_5_vl_7b,raw_attention,32,REAL,25,7801,0.6452121840480229,0.5685473084449768,0.6485470533370972,0.7255741357803345
qwen2_5_vl_7b,raw_attention,32,REAL,26,7801,0.6390634084409543,0.569532573223114,0.6370506286621094,0.7104582786560059
qwen2_5_vl_7b,raw_attention,32,REAL,27,7801,0.6448479718717913,0.5693894028663635,0.6468056440353394,0.7222694754600525
qwen2_5_vl_7b,raw_attention,32,REAL,28,7801,0.5961082865528351,0.5198632478713989,0.5907637476921082,0.6681421995162964
qwen2_5_vl_7b,ae,16,HALL,1,916,0.6210619391442387,0.5657317489385605,0.6254748702049255,0.679523766040802
qwen2_5_vl_7b,ae,16,HALL,2,916,0.5516635326904501,0.4853143021464348,0.5520535409450531,0.6166842728853226
qwen2_5_vl_7b,ae,16,HALL,3,916,0.40471596021904693,0.35742003470659256,0.39936134219169617,0.4490091949701309
qwen2_5_vl_7b,ae,16,HALL,4,916,0.39855112698270767,0.33960796147584915,0.390533983707428,0.4427017718553543
qwen2_5_vl_7b,ae,16,HALL,5,916,0.33512460308629355,0.28075599670410156,0.3226211965084076,0.37494560331106186
qwen2_5_vl_7b,ae,16,HALL,6,916,0.29814306654719286,0.22414623573422432,0.2690882086753845,0.34293975681066513
qwen2_5_vl_7b,ae,16,HALL,7,916,0.2951365649277206,0.24817659333348274,0.2830386757850647,0.33545590937137604
qwen2_5_vl_7b,ae,16,HALL,8,916,0.2501364554152478,0.20414911955595016,0.23701652884483337,0.27965501695871353
qwen2_5_vl_7b,ae,16,HALL,9,916,0.3496815003129332,0.25663288682699203,0.32449525594711304,0.41660384088754654
qwen2_5_vl_7b,ae,16,HALL,10,916,0.3634868910674445,0.2883326783776283,0.3459850698709488,0.4199931472539902
qwen2_5_vl_7b,ae,16,HALL,11,916,0.287682790846023,0.23664112016558647,0.27683867514133453,0.31902021914720535
qwen2_5_vl_7b,ae,16,HALL,12,916,0.39701057100204923,0.29822684824466705,0.38060516119003296,0.4758594185113907
qwen2_5_vl_7b,ae,16,HALL,13,916,0.39769150372025225,0.3067399263381958,0.3864399790763855,0.4734024628996849
qwen2_5_vl_7b,ae,16,HALL,14,916,0.36604422503293343,0.2892519310116768,0.3503088504076004,0.4328403100371361
qwen2_5_vl_7b,ae,16,HALL,15,916,0.5215801751346828,0.4073539599776268,0.5099840760231018,0.6354513168334961
qwen2_5_vl_7b,ae,16,HALL,16,916,0.4612632704711637,0.35503626614809036,0.445810928940773,0.5603757351636887
qwen2_5_vl_7b,ae,16,HALL,17,916,0.6035293570382105,0.5008085519075394,0.6121137738227844,0.7010715752840042
qwen2_5_vl_7b,ae,16,HALL,18,916,0.47193341793321625,0.37901511043310165,0.4603353589773178,0.5495613664388657
qwen2_5_vl_7b,ae,16,HALL,19,916,0.5243493133269282,0.4259375259280205,0.5277392566204071,0.6167402118444443
qwen2_5_vl_7b,ae,16,HALL,20,916,0.636564063632202,0.5508714914321899,0.6422423422336578,0.730142742395401
qwen2_5_vl_7b,ae,16,HALL,21,916,0.5829285038675803,0.4978168159723282,0.5819880068302155,0.6704141050577164
qwen2_5_vl_7b,ae,16,HALL,22,916,0.5911098690825518,0.5043057948350906,0.5888075232505798,0.6811851561069489
qwen2_5_vl_7b,ae,16,HALL,23,916,0.631162211689366,0.5427010208368301,0.62938591837883,0.7254466563463211
qwen2_5_vl_7b,ae,16,HALL,24,916,0.5804938104442894,0.48995354026556015,0.5735426247119904,0.6645056754350662
qwen2_5_vl_7b,ae,16,HALL,25,916,0.609116794500809,0.5167011618614197,0.6069560945034027,0.7039932757616043
qwen2_5_vl_7b,ae,16,HALL,26,916,0.597335278011826,0.5049943029880524,0.5922317206859589,0.6852578222751617
qwen2_5_vl_7b,ae,16,HALL,27,916,0.6065037711218455,0.5179954618215561,0.6032641232013702,0.6967911869287491
qwen2_5_vl_7b,ae,16,HALL,28,916,0.5779284682596615,0.4746881499886513,0.5617974996566772,0.6679670214653015
qwen2_5_vl_7b,ae,16,REAL,1,7801,0.5796334770528525,0.5225832462310791,0.5818960070610046,0.6416563391685486
qwen2_5_vl_7b,ae,16,REAL,2,7801,0.5197117612359922,0.4547102153301239,0.5208534598350525,0.585438072681427
qwen2_5_vl_7b,ae,16,REAL,3,7801,0.39735948631257956,0.3468995988368988,0.3924309313297272,0.442268431186676
qwen2_5_vl_7b,ae,16,REAL,4,7801,0.39870953921086816,0.3368680477142334,0.38816145062446594,0.4477398693561554
qwen2_5_vl_7b,ae,16,REAL,5,7801,0.35380721481896843,0.2886560559272766,0.33601924777030945,0.398316353559494
qwen2_5_vl_7b,ae,16,REAL,6,7801,0.31671711431720473,0.23441371321678162,0.2853910028934479,0.3757261633872986
qwen2_5_vl_7b,ae,16,REAL,7,7801,0.31396495194148444,0.2609688937664032,0.30532774329185486,0.3592706620693207
qwen2_5_vl_7b,ae,16,REAL,8,7801,0.26282827989739677,0.21462522447109222,0.24978378415107727,0.2922174036502838
qwen2_5_vl_7b,ae,16,REAL,9,7801,0.3686587416946911,0.2808471918106079,0.3496948182582855,0.4397900700569153
qwen2_5_vl_7b,ae,16,REAL,10,7801,0.3593079262040484,0.28829851746559143,0.34077000617980957,0.41257351636886597
qwen2_5_vl_7b,ae,16,REAL,11,7801,0.2999536355226991,0.2506827712059021,0.2929997146129608,0.33928602933883667
qwen2_5_vl_7b,ae,16,REAL,12,7801,0.39033261077890885,0.3072267770767212,0.38200846314430237,0.46387162804603577
qwen2_5_vl_7b,ae,16,REAL,13,7801,0.37441632198593644,0.2985374629497528,0.36170342564582825,0.43694838881492615
qwen2_5_vl_7b,ae,16,REAL,14,7801,0.3464438599808799,0.27802157402038574,0.32832813262939453,0.39748841524124146
qwen2_5_vl_7b,ae,16,REAL,15,7801,0.45343640389740125,0.3473127484321594,0.4353172779083252,0.5473588705062866
qwen2_5_vl_7b,ae,16,REAL,16,7801,0.4243850278412741,0.3201232850551605,0.40400364995002747,0.5123522281646729
qwen2_5_vl_7b,ae,16,REAL,17,7801,0.5353589863589812,0.43553319573402405,0.5211429595947266,0.6278930306434631
qwen2_5_vl_7b,ae,16,REAL,18,7801,0.43523875944943874,0.34823232889175415,0.42350372672080994,0.5071064829826355
qwen2_5_vl_7b,ae,16,REAL,19,7801,0.45597358886140565,0.36031201481819153,0.4416368007659912,0.5390734076499939
qwen2_5_vl_7b,ae,16,REAL,20,7801,0.5693412769942571,0.4654868245124817,0.5711625814437866,0.6745046377182007
qwen2_5_vl_7b,ae,16,REAL,21,7801,0.5194882770567854,0.4261077344417572,0.5161072611808777,0.6111124157905579
qwen2_5_vl_7b,ae,16,REAL,22,7801,0.4961898085773335,0.40127110481262207,0.4870195686817169,0.5814850330352783
qwen2_5_vl_7b,ae,16,REAL,23,7801,0.5705585161465404,0.48071643710136414,0.5687658786773682,0.658686101436615
qwen2_5_vl_7b,ae,16,REAL,24,7801,0.5134919205528393,0.42505863308906555,0.5020887851715088,0.5907216668128967
qwen2_5_vl_7b,ae,16,REAL,25,7801,0.5457198216645874,0.45308318734169006,0.5400562882423401,0.6336524486541748
qwen2_5_vl_7b,ae,16,REAL,26,7801,0.5418323514790371,0.45986706018447876,0.5321260094642639,0.6152313947677612
qwen2_5_vl_7b,ae,16,REAL,27,7801,0.5402233704739298,0.45406147837638855,0.5337954759597778,0.6209650039672852
qwen2_5_vl_7b,ae,16,REAL,28,7801,0.4943549797452729,0.41168129444122314,0.48309338092803955,0.5643524527549744
qwen2_5_vl_7b,ae,32,HALL,1,916,0.7052906316635911,0.6591662466526031,0.7128057181835175,0.7580607980489731
