model,label,layer,n_mentions,mean,q25,median,q75,raw_d_ef_js_union_topk_real_auroc
internvl_2_5_8b,HALL,16,1766,0.0240654107183218,0.015310312621295452,0.02122049778699875,0.03005746752023697,0.5385915950905158
internvl_2_5_8b,HALL,17,1766,0.0274251326918602,0.01616349071264267,0.023077845573425293,0.034932490438222885,0.48674927488879816
internvl_2_5_8b,HALL,18,1766,0.02341897040605545,0.013364458456635475,0.019926197826862335,0.029893631115555763,0.4809709095347491
internvl_2_5_8b,HALL,19,1766,0.026831181719899178,0.016972225159406662,0.023693591356277466,0.03320695832371712,0.46218508108563877
internvl_2_5_8b,HALL,20,1766,0.03372733294963837,0.020626407116651535,0.029624272137880325,0.041804008185863495,0.5025632325413747
internvl_2_5_8b,HALL,21,1766,0.03038211166858673,0.020298684015870094,0.027725808322429657,0.03743409737944603,0.505420668760318
internvl_2_5_8b,HALL,22,1766,0.03867221623659134,0.024860523641109467,0.03484279662370682,0.04769487306475639,0.43992113845490255
internvl_2_5_8b,HALL,23,1766,0.030822403728961945,0.018036266788840294,0.026848744601011276,0.03897896781563759,0.4483137630089647
internvl_2_5_8b,HALL,24,1766,0.036856990307569504,0.022747036069631577,0.03206958621740341,0.04704274609684944,0.45262564315972476
internvl_2_5_8b,HALL,25,1766,0.030966468155384064,0.017799902707338333,0.025754403322935104,0.0385313481092453,0.5184103107736004
internvl_2_5_8b,HALL,26,1766,0.030173899605870247,0.018048327416181564,0.02662532776594162,0.038370050489902496,0.45620164579531836
internvl_2_5_8b,HALL,27,1766,0.032219499349594116,0.01997612975537777,0.028702352195978165,0.04084796458482742,0.4723466959147734
internvl_2_5_8b,HALL,28,1766,0.03085002489387989,0.01691342517733574,0.0263359434902668,0.03936443105340004,0.45342365363568765
internvl_2_5_8b,HALL,29,1766,0.02945411577820778,0.017637919634580612,0.02606273628771305,0.03659167140722275,0.4674047314433807
internvl_2_5_8b,HALL,30,1766,0.022061852738261223,0.01284705474972725,0.018808236345648766,0.027405377477407455,0.5638272668557684
internvl_2_5_8b,HALL,31,1766,0.026513589546084404,0.01639596000313759,0.02290232479572296,0.03205224126577377,0.49023815538374027
internvl_2_5_8b,HALL,32,1766,0.04281060770153999,0.028647802770137787,0.03906974196434021,0.05307754874229431,0.3972358510527018
internvl_2_5_8b,REAL,1,9993,0.07990270853042603,0.06129911169409752,0.07699204236268997,0.09503359347581863,0.525822067519744
internvl_2_5_8b,REAL,2,9993,0.11152487248182297,0.08598285168409348,0.10934259742498398,0.13487926125526428,0.5592418090171614
internvl_2_5_8b,REAL,3,9993,0.0954737514257431,0.06815575808286667,0.09022572636604309,0.1180238351225853,0.48593089341474477
internvl_2_5_8b,REAL,4,9993,0.094821996986866,0.07103565335273743,0.09132463485002518,0.11393982917070389,0.47733101732934463
internvl_2_5_8b,REAL,5,9993,0.07052293419837952,0.04886714741587639,0.0663856789469719,0.08673664927482605,0.43557503276075815
internvl_2_5_8b,REAL,6,9993,0.04548894986510277,0.028845231980085373,0.041441112756729126,0.05775630101561546,0.36156042525350984
