feature_set,variant,seed,threshold_rule,threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
C_JS,AE32,43,train_f1,0.5586164593696594,0.8534341187528705,0.9677164251189773,0.9031007751937985,0.9282868525896414,0.9155206286836935,0.5049815373045049,0.5457413249211357,0.46380697050938335,0.5014492753623189
C_JS,AE32,44,fixed_0.5,0.5,0.8523319590271622,0.9677240556639766,0.8746618575293057,0.9661354581673307,0.9181258873639375,0.49709786818541585,0.5828220858895705,0.2546916890080429,0.35447761194029853
C_JS,AE32,44,train_f1,0.607621431350708,0.8523319590271622,0.9677240556639766,0.899904671115348,0.9402390438247012,0.9196298100340965,0.49709786818541585,0.5759717314487632,0.43699731903485256,0.4969512195121951
C_JS,AE32,45,fixed_0.5,0.5,0.8402429157365178,0.9641495896476325,0.9031784841075795,0.9198207171314741,0.9114236368122378,0.4924545837693354,0.5208333333333334,0.4691689008042895,0.4936530324400564
C_JS,AE32,45,train_f1,0.4635542631149292,0.8402429157365178,0.9641495896476325,0.8948620361560419,0.9367529880478087,0.9153284671532846,0.4924545837693354,0.5448028673835126,0.4075067024128686,0.4662576687116564
D_JS,AE32_cosine,43,fixed_0.5,0.5,0.8615157333133954,0.9689851772146866,0.9,0.9367529880478087,0.91800878477306,0.5318014224449398,0.563573883161512,0.43967828418230565,0.4939759036144578
D_JS,AE32_cosine,43,train_f1,0.4621707499027252,0.8615157333133954,0.9689851772146866,0.8888888888888888,0.952191235059761,0.9194517912959846,0.5318014224449398,0.5826086956521739,0.35924932975871315,0.4444444444444444
D_JS,AE32_cosine,44,fixed_0.5,0.5,0.8535209029832413,0.9676118947925993,0.8790760869565217,0.9666334661354582,0.9207779886148008,0.5085710573334393,0.6127167630057804,0.28418230563002683,0.3882783882783883
D_JS,AE32_cosine,44,train_f1,0.5666460394859314,0.8535209029832413,0.9676118947925993,0.8888888888888888,0.9482071713147411,0.9175903614457831,0.5085710573334393,0.5648535564853556,0.36193029490616624,0.4411764705882353
D_JS,AE32_cosine,45,fixed_0.5,0.5,0.8518586511861401,0.9670244858631551,0.8808549340609367,0.9646414342629482,0.9208462086997861,0.5118072579597216,0.6098901098901099,0.2975871313672922,0.4
D_JS,AE32_cosine,45,train_f1,0.5351018309593201,0.8518586511861401,0.9670244858631551,0.8889407372841811,0.9487051792828686,0.9178511202119971,0.5118072579597216,0.5672268907563025,0.36193029490616624,0.44189852700491
D_JS,AE32,43,fixed_0.5,0.5,0.8514834762825374,0.9665511897972423,0.8761819000450247,0.9691235059760956,0.9203121305273114,0.5194829408188035,0.6125,0.26273458445040215,0.3677298311444653
D_JS,AE32,43,train_f1,0.5741773247718811,0.8514834762825374,0.9665511897972423,0.8968140751307656,0.9392430278884463,0.9175383118462661,0.5194829408188035,0.5611510791366906,0.41823056300268097,0.4792626728110599
D_JS,AE32,44,fixed_0.5,0.5,0.858601118314944,0.9693888419606124,0.9136617572371762,0.8959163346613546,0.9047020367110887,0.519215453438206,0.49271844660194175,0.5442359249329759,0.5171974522292994
D_JS,AE32,44,train_f1,0.3931921422481537,0.858601118314944,0.9693888419606124,0.8852005532503457,0.9561752988047809,0.919320086186258,0.519215453438206,0.5849056603773585,0.3324396782841823,0.4239316239316239
D_JS,AE32,45,fixed_0.5,0.5,0.8480428153338389,0.9657081473257565,0.8817644383810823,0.9656374501992032,0.9217970049916805,0.523709540951175,0.6208791208791209,0.30294906166219837,0.4072072072072072
D_JS,AE32,45,train_f1,0.5753374695777893,0.8480428153338389,0.9657081473257565,0.8962753418198963,0.9467131474103586,0.9208040687817873,0.523709540951175,0.5884615384615385,0.4101876675603217,0.4834123222748815
E_JS,AE32_cosine,43,fixed_0.5,0.5,0.8571918759279237,0.9682354369698157,0.8866171003717472,0.950199203187251,0.9173076923076923,0.501321122061485,0.5633187772925764,0.34584450402144773,0.42857142857142855
E_JS,AE32_cosine,43,train_f1,0.5515477061271667,0.8571918759279237,0.9682354369698157,0.9006271104679209,0.9297808764940239,0.914971820632198,0.501321122061485,0.5422077922077922,0.4477211796246649,0.49045521292217326
E_JS,AE32_cosine,44,fixed_0.5,0.5,0.8510462172756695,0.9682602468963845,0.8772727272727273,0.9611553784860558,0.9173003802281369,0.4844937130771992,0.569060773480663,0.2761394101876676,0.37184115523465705
E_JS,AE32_cosine,44,train_f1,0.6187757253646851,0.8510462172756695,0.9682602468963845,0.8983543078412392,0.9243027888446215,0.9111438389788905,0.4844937130771992,0.5174603174603175,0.43699731903485256,0.4738372093023256
E_JS,AE32_cosine,45,fixed_0.5,0.5,0.8542538959443725,0.9682176076571274,0.9113670505758638,0.9063745019920318,0.9088639200998752,0.4972817974849428,0.5104166666666666,0.5254691689008043,0.5178335535006605
E_JS,AE32_cosine,45,train_f1,0.3988344669342041,0.8542538959443725,0.9682176076571274,0.8899905571293674,0.9387450199203188,0.913717886572952,0.4972817974849428,0.532319391634981,0.3753351206434316,0.44025157232704404
E_JS,AE32,43,fixed_0.5,0.5,0.8534114213387736,0.9677987735452817,0.9008662175168431,0.9322709163346613,0.9162995594713657,0.5040766434272536,0.5511551155115512,0.4477211796246649,0.4940828402366864
E_JS,AE32,43,train_f1,0.5235337018966675,0.8534114213387736,0.9677987735452817,0.9035087719298246,0.9233067729083665,0.9133004926108375,0.5040766434272536,0.5319148936170213,0.4691689008042895,0.4985754985754986
E_JS,AE32,44,fixed_0.5,0.5,0.8574649124680902,0.9687757306236142,0.875281404772625,0.9681274900398407,0.9193662804445495,0.4987036055262571,0.6,0.257372654155496,0.3602251407129456
E_JS,AE32,44,train_f1,0.6035759449005127,0.8574649124680902,0.9687757306236142,0.9026506024096386,0.9327689243027888,0.9174626500122459,0.4987036055262571,0.5588235294117647,0.4584450402144772,0.5036818851251841
E_JS,AE32,45,fixed_0.5,0.5,0.8527131420697904,0.9670826756008402,0.8902325581395348,0.953187250996016,0.9206349206349206,0.498710209389876,0.5930735930735931,0.3672922252010724,0.45364238410596025
E_JS,AE32,45,train_f1,0.5594991445541382,0.8527131420697904,0.9670826756008402,0.905587668593449,0.9362549800796812,0.920666013712047,0.498710209389876,0.580327868852459,0.4745308310991957,0.5221238938053098
