model,metric,label,layer,n_mentions,mean,q25,median,q75
internvl_2_5_8b,top32_overlap,HALL,22,1766,0.9298379105322764,0.90625,0.9375,0.96875
internvl_2_5_8b,top32_overlap,HALL,23,1766,0.948966591166478,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,24,1766,0.9495505379388448,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,25,1766,0.9681129671574179,0.96875,0.96875,1.0
internvl_2_5_8b,top32_overlap,HALL,26,1766,0.9741116930917327,0.96875,0.96875,1.0
internvl_2_5_8b,top32_overlap,HALL,27,1766,0.976111268403171,0.96875,0.96875,1.0
internvl_2_5_8b,top32_overlap,HALL,28,1766,0.9505768686296716,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,29,1766,0.960663221970555,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,30,1766,0.9562216874292185,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,31,1766,0.9482764722536806,0.9375,0.96875,0.96875
internvl_2_5_8b,top32_overlap,HALL,32,1766,0.8356986126840317,0.78125,0.84375,0.875
internvl_2_5_8b,r_amp,REAL,1,9993,0.05463171947182593,0.04640242042963076,0.05388466943121925,0.061796244998182426
internvl_2_5_8b,r_amp,REAL,2,9993,0.06321063188475286,0.05403164532049479,0.06127416692154183,0.0709360565598915
internvl_2_5_8b,r_amp,REAL,3,9993,0.042563419058731074,0.03327813016330409,0.03960186500600094,0.04826956589494219
internvl_2_5_8b,r_amp,REAL,4,9993,0.053259288012956124,0.045414703012367524,0.052664433403395085,0.06022157836038071
internvl_2_5_8b,r_amp,REAL,5,9993,0.038115571498763004,0.031160670950603406,0.036337547853416405,0.04274200869442912
internvl_2_5_8b,r_amp,REAL,6,9993,0.042766136542371866,0.02777638446884019,0.03590569456574804,0.05197916436945907
internvl_2_5_8b,r_amp,REAL,7,9993,0.04590632367447827,0.037611479774004065,0.04369971856851029,0.0516308919306855
internvl_2_5_8b,r_amp,REAL,8,9993,0.042975367225220884,0.02948666118604424,0.038338287151958195,0.05331876520412476
internvl_2_5_8b,r_amp,REAL,9,9993,0.03799274364447766,0.03055447060849207,0.035864498205210704,0.042152265662474715
internvl_2_5_8b,r_amp,REAL,10,9993,0.0466725837468312,0.03839806321065111,0.04562512347997465,0.053947156799750574
internvl_2_5_8b,r_amp,REAL,11,9993,0.040023514390490136,0.032443328838309665,0.03816834618128052,0.045483481532160835
internvl_2_5_8b,r_amp,REAL,12,9993,0.03944479596663135,0.03165927451769332,0.038171690692851486,0.04565660226682543
internvl_2_5_8b,r_amp,REAL,13,9993,0.043577142801459974,0.033913895471935365,0.041362189502515204,0.050702555679620634
internvl_2_5_8b,r_amp,REAL,14,9993,0.0319978046876697,0.02559820036515998,0.030210694562483438,0.03643735097843774
internvl_2_5_8b,r_amp,REAL,15,9993,0.03494461895058641,0.029897200204572948,0.0338966748330354,0.03876391946854042
internvl_2_5_8b,r_amp,REAL,16,9993,0.050122317314005654,0.04082640963814669,0.048150528625186165,0.057123184074182154
internvl_2_5_8b,r_amp,REAL,17,9993,0.038934130774571446,0.03212289111018377,0.037809644207256375,0.044102145270119186
internvl_2_5_8b,r_amp,REAL,18,9993,0.04368962469435211,0.03442610501461903,0.042101910655274834,0.05101633589183039
internvl_2_5_8b,r_amp,REAL,19,9993,0.06606393058612356,0.05122315773410478,0.06361590933313749,0.0788391640320821
internvl_2_5_8b,r_amp,REAL,20,9993,0.07448590324095135,0.05429425803270622,0.06824306207108455,0.08640974428593054
internvl_2_5_8b,r_amp,REAL,21,9993,0.045188633206756056,0.03543999520244135,0.04279383355133283,0.05225109961916729
internvl_2_5_8b,r_amp,REAL,22,9993,0.07383582705208444,0.05158978065329258,0.06813381965338633,0.0897500029501827
internvl_2_5_8b,r_amp,REAL,23,9993,0.04422651848185151,0.032628760374222535,0.04162146241241591,0.05309237681701895
internvl_2_5_8b,r_amp,REAL,24,9993,0.04066750952208795,0.027562354837207648,0.03660083055861617,0.04946257049033072
internvl_2_5_8b,r_amp,REAL,25,9993,0.06098394512814603,0.03143147022020513,0.04822534589377649,0.0764876554685416
internvl_2_5_8b,r_amp,REAL,26,9993,0.032321237059716346,0.01963977501996011,0.025872861823717775,0.03756938748050659
internvl_2_5_8b,r_amp,REAL,27,9993,0.0466190645162181,0.019338524089091563,0.028478693428369145,0.05471981392667279
internvl_2_5_8b,r_amp,REAL,28,9993,0.0421184383901739,0.028063780379062705,0.03894487073116742,0.05266249220636697
internvl_2_5_8b,r_amp,REAL,29,9993,0.060980414968412,0.04333763204624699,0.054581897691206666,0.07208136225362016
internvl_2_5_8b,r_amp,REAL,30,9993,0.07679730560770992,0.04775407458443345,0.06466020257638883,0.09453655404152016
internvl_2_5_8b,r_amp,REAL,31,9993,0.06067625473374738,0.0435118087804288,0.05425840421150955,0.0693437440624878
internvl_2_5_8b,r_amp,REAL,32,9993,0.12119714325769765,0.09980406794623352,0.1187089188000048,0.14016781512757168
internvl_2_5_8b,r_amp,HALL,1,1766,0.05480493387456981,0.0457854143143054,0.053476737963986734,0.06159922693127515
internvl_2_5_8b,r_amp,HALL,2,1766,0.05982405897395019,0.05176869416897428,0.05854223078765333,0.06639159759700125
internvl_2_5_8b,r_amp,HALL,3,1766,0.040867291420594275,0.03214281262395255,0.03820260364207516,0.04618102734962876
internvl_2_5_8b,r_amp,HALL,4,1766,0.05195848987966456,0.04345581582590653,0.051049483125289875,0.05944384531718377
internvl_2_5_8b,r_amp,HALL,5,1766,0.04034121728724064,0.03386532532446091,0.03872713163549505,0.04502669020460704
internvl_2_5_8b,r_amp,HALL,6,1766,0.04168856348376447,0.029674177950957142,0.03732449570026415,0.0492235320682618
internvl_2_5_8b,r_amp,HALL,7,1766,0.049340858562906785,0.04147788599162608,0.048087110769275014,0.055813234064183884
internvl_2_5_8b,r_amp,HALL,8,1766,0.044772823500573954,0.032106821378496894,0.04124063561191579,0.05393372747128093
internvl_2_5_8b,r_amp,HALL,9,1766,0.03691340198116189,0.031619591412109835,0.03578011692625821,0.04093728628105258
internvl_2_5_8b,r_amp,HALL,10,1766,0.044079991664500745,0.03630468147518316,0.04311232475200026,0.05041673570063561
internvl_2_5_8b,r_amp,HALL,11,1766,0.042143842787463616,0.034613575921263004,0.04047186214010553,0.047736769889546796
internvl_2_5_8b,r_amp,HALL,12,1766,0.03623259627592421,0.029337620795267114,0.034703623566646205,0.04158372404763952
internvl_2_5_8b,r_amp,HALL,13,1766,0.038735881285789926,0.029576189906435853,0.03581266285652612,0.045106260579571594
internvl_2_5_8b,r_amp,HALL,14,1766,0.02991980949676873,0.02452313112116036,0.028494200919539595,0.034112663914669605
internvl_2_5_8b,r_amp,HALL,15,1766,0.03459010697435898,0.0293870990357235,0.03356123403952697,0.038871494456185804
internvl_2_5_8b,r_amp,HALL,16,1766,0.04627744912300578,0.037289060643162966,0.043910743349287046,0.05301295741039151
internvl_2_5_8b,r_amp,HALL,17,1766,0.03833490359429428,0.03030952096646275,0.0363525551304221,0.0443616824215123
internvl_2_5_8b,r_amp,HALL,18,1766,0.038709195197961156,0.029638937750531984,0.036173979906262796,0.044654632732630394
internvl_2_5_8b,r_amp,HALL,19,1766,0.05351273731811082,0.04264479269516515,0.051913753917599434,0.06167359337103684
internvl_2_5_8b,r_amp,HALL,20,1766,0.0774139757724342,0.05438934624660736,0.06871266562326481,0.08858585225649042
internvl_2_5_8b,r_amp,HALL,21,1766,0.04958815529228862,0.03933744702363739,0.0464864136903997,0.05618020351505154
internvl_2_5_8b,r_amp,HALL,22,1766,0.0704334536186337,0.048577209982714774,0.06440012235739698,0.08583042816117914
internvl_2_5_8b,r_amp,HALL,23,1766,0.046682747729827175,0.034755929731010105,0.04415204455653291,0.05626916595442871
internvl_2_5_8b,r_amp,HALL,24,1766,0.04118217288595156,0.027129592399125373,0.03691712510544909,0.05135714614609493
internvl_2_5_8b,r_amp,HALL,25,1766,0.05383103682201359,0.031108932763366934,0.044897192318327166,0.0658896495771705
internvl_2_5_8b,r_amp,HALL,26,1766,0.029032771470691485,0.01871174074537111,0.024169889150823087,0.03263419156557773
internvl_2_5_8b,r_amp,HALL,27,1766,0.041865380035504364,0.017441610902030072,0.02395014041366335,0.04049925424884175
internvl_2_5_8b,r_amp,HALL,28,1766,0.0394658012929245,0.024450820990401172,0.03498660193859446,0.05043668897321966
internvl_2_5_8b,r_amp,HALL,29,1766,0.05040816924141255,0.03702661713713106,0.04532372508427382,0.056923387329382596
internvl_2_5_8b,r_amp,HALL,30,1766,0.06489267874393634,0.04280971146618748,0.05625907597359879,0.078125047426707
internvl_2_5_8b,r_amp,HALL,31,1766,0.05838573953871855,0.042939791579274064,0.05353360515872599,0.06883058671639813
internvl_2_5_8b,r_amp,HALL,32,1766,0.1365034211099985,0.10982780348598935,0.1378408387708751,0.1624938775142754
internvl_2_5_8b,s_write,REAL,1,9993,0.3748092712563413,0.2342392906648456,0.3629684351035394,0.5156570424733218
internvl_2_5_8b,s_write,REAL,2,9993,0.4300900790111896,0.3171010974365345,0.40197692973015364,0.5137537365808384
