model,layer,k,cases,median_spearman,median_js,median_top32_overlap,p90_gross_relative_error,p90_kappa_difference
qwen2_5_vl_7b,14,16,329,0.9999997992508041,5.291023028015107e-10,1.0,0.0007039325247726267,0.0003273963928222656
qwen2_5_vl_7b,14,32,329,1.0,2.470768019375483e-10,1.0,0.0003804226335342066,0.00017595291137695312
qwen2_5_vl_7b,21,1,329,0.9999827355691443,2.5836010617013184e-05,1.0,0.04967821945985952,0.025536370277404786
qwen2_5_vl_7b,21,4,329,0.9999995368716189,3.0497997129422613e-09,1.0,0.0008189196688003963,0.0003751277923583984
qwen2_5_vl_7b,21,8,329,0.9999997077681082,1.393748803760871e-09,1.0,0.0017346352385832458,0.0008681297302246093
qwen2_5_vl_7b,21,16,329,0.9999997992508041,5.974881438692198e-10,1.0,0.0007426313091567567,0.0003692507743835449
qwen2_5_vl_7b,21,32,329,1.0,2.757492707426844e-10,1.0,0.000370310482822591,0.00017555952072143555
qwen2_5_vl_7b,28,1,329,0.9999421842315522,2.1457871192285963e-05,1.0,0.05004818809020198,0.027608227729797354
qwen2_5_vl_7b,28,4,329,0.9999982466086489,3.4858309639824696e-08,1.0,0.0017536958838851968,0.0009424209594726562
qwen2_5_vl_7b,28,8,329,0.999998985308536,1.4438639019324529e-08,1.0,0.0024620957657656047,0.0013146162033081054
qwen2_5_vl_7b,28,16,329,0.999999197003216,6.87557012422923e-09,1.0,0.0011182574505536492,0.0006141185760498046
qwen2_5_vl_7b,28,32,329,0.9999994155362164,3.259076048944767e-09,1.0,0.0006234581471272517,0.0003304958343505859
qwen3_vl_8b,9,1,364,0.9999581228559873,9.22257522193645e-06,1.0,0.0481380351535177,0.027541810274124143
qwen3_vl_8b,9,4,364,0.9999995555506171,2.302753332451533e-09,1.0,0.0007324386040462952,0.0004339039325714111
qwen3_vl_8b,9,8,364,0.9999996946849226,1.0501601798212012e-09,1.0,0.001727440253231365,0.0010329782962799072
qwen3_vl_8b,9,16,364,0.9999999999999998,4.423376338749784e-10,1.0,0.0007106447638244735,0.0004287183284759521
qwen3_vl_8b,9,32,364,0.9999999999999998,2.092401613081033e-10,1.0,0.0003705842517511139,0.00022187232971191404
qwen3_vl_8b,18,1,364,0.9999672118552867,2.0074565889707677e-05,1.0,0.04301335757564084,0.01901677548885345
qwen3_vl_8b,18,4,364,0.9999995555506171,2.934883861823855e-09,1.0,0.0008427423790251081,0.00037023723125457754
qwen3_vl_8b,18,8,364,0.9999999999999998,1.335363544550545e-09,1.0,0.0018829394239503864,0.00082169771194458
qwen3_vl_8b,18,16,364,0.9999999999999998,5.475437220602463e-10,1.0,0.0008574962004719882,0.00037479102611541747
qwen3_vl_8b,18,32,364,0.9999999999999998,2.631533144524381e-10,1.0,0.0004321707621875567,0.00018968284130096432
qwen3_vl_8b,27,1,364,0.9999754206650757,1.0483311184641546e-05,1.0,0.02761105670268811,0.014425259828567504
qwen3_vl_8b,27,4,364,0.9999995555506171,4.491534955098379e-09,1.0,0.0009992307885934714,0.00046891868114471433
qwen3_vl_8b,27,8,364,0.9999996337854862,2.178133684245643e-09,1.0,0.001792990385804945,0.0009115666151046752
qwen3_vl_8b,27,16,364,0.9999999999999998,9.476790699923605e-10,1.0,0.0007696886117078553,0.000382232666015625
qwen3_vl_8b,27,32,364,0.9999999999999998,4.198788711636261e-10,1.0,0.00038477913084421277,0.0001872420310974121
qwen3_vl_8b,36,1,364,0.9999499678952974,7.128313640499399e-06,1.0,0.0259456898300263,0.021078342199325563
qwen3_vl_8b,36,4,364,0.9999952206848758,7.618628466050699e-08,1.0,0.0010826777330487627,0.0007819771766662597
qwen3_vl_8b,36,8,364,0.9999970701980546,3.005816076193895e-08,1.0,0.0018652072754995407,0.0015358448028564454
qwen3_vl_8b,36,16,364,0.9999979517220895,1.2414285048214938e-08,1.0,0.0007986212254548556,0.0006514787673950195
qwen3_vl_8b,36,32,364,0.9999986666518517,5.042755147028335e-09,1.0,0.0004284803511760735,0.0003534913063049316
