method,label,layer,metric,count,mean,std,q10,median,q90
JFFN,REAL,19,top32_mass,5,0.6383342385292053,0.04537694319231011,0.5962437629699707,0.6323742866516113,0.6898531079292297
JFFN,REAL,2,normalized_entropy,5,0.9525501489639282,0.009238672450512686,0.9412145614624023,0.9563421010971069,0.9615042090415955
JFFN,REAL,2,top1_mass,5,0.026408784464001654,0.005343488771149779,0.02165885902941227,0.02296411618590355,0.0331108957529068
JFFN,REAL,2,top32_mass,5,0.23357059061527252,0.020966613801743618,0.2128400295972824,0.23030444979667664,0.2579055726528168
JFFN,REAL,20,normalized_entropy,5,0.763968575000763,0.0591749496055419,0.6980328679084777,0.7908433675765991,0.8063239932060242
JFFN,REAL,20,top1_mass,5,0.05578918009996414,0.02753677002337743,0.03254558593034744,0.04097560793161392,0.08992725163698197
JFFN,REAL,20,top32_mass,5,0.5479844033718109,0.12182268242557141,0.46712329387664797,0.4935198724269867,0.6809377431869507
JFFN,REAL,21,normalized_entropy,5,0.8016220688819885,0.04685985201830787,0.7478589892387391,0.8234330415725708,0.8352905631065368
JFFN,REAL,21,top1_mass,5,0.05151616036891937,0.043812866315022646,0.02232656069099903,0.026533452793955803,0.1017266944050789
JFFN,REAL,21,top32_mass,5,0.47129236459732055,0.10555074833247177,0.3777781009674072,0.4310321807861328,0.598641860485077
JFFN,REAL,22,normalized_entropy,5,0.7311835885047913,0.07937204841898217,0.6489359259605407,0.764316976070404,0.7782047271728516
