model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
llava_1_5_7b,all,sigma_B_p90_p10,15,241,241,0.20020389811611836,0.1800195997175269,0.5601659751037344
llava_1_5_7b,all,sigma_B_p90_p10,16,241,241,0.18575988027384802,0.1753469807971566,0.5352697095435685
llava_1_5_7b,all,sigma_B_p90_p10,17,241,241,0.25811981851623117,0.19886751186542462,0.6016597510373444
llava_1_5_7b,all,sigma_B_p90_p10,18,241,241,0.27741268377973,0.2387773298294995,0.6431535269709544
llava_1_5_7b,all,sigma_B_p90_p10,19,241,241,0.09872164071175993,0.06214473191939085,0.5477178423236515
llava_1_5_7b,all,sigma_B_p90_p10,20,241,241,-0.01871973189059428,-0.05075679824188484,0.44398340248962653
llava_1_5_7b,all,sigma_B_p90_p10,21,241,241,-0.08275886103631683,-0.08290258376074888,0.34439834024896265
llava_1_5_7b,all,sigma_B_p90_p10,22,241,241,-0.007533951011739797,-0.02003064987738945,0.46887966804979253
llava_1_5_7b,all,sigma_B_p90_p10,23,241,241,-0.04893055647138179,-0.06637429608472623,0.3817427385892116
llava_1_5_7b,all,sigma_B_p90_p10,24,241,241,-0.06508944922061609,-0.0739180329068212,0.36929460580912865
llava_1_5_7b,all,sigma_B_p90_p10,25,241,241,0.0384957430800612,0.03300545754074591,0.5809128630705395
llava_1_5_7b,all,sigma_B_p90_p10,26,241,241,0.012850918178927596,-0.007996598681458522,0.49377593360995853
llava_1_5_7b,all,sigma_B_p90_p10,27,241,241,0.023391989401085483,0.0023305735796590454,0.5062240663900415
llava_1_5_7b,all,sigma_B_p90_p10,28,241,241,-0.012028755872407496,-0.0004571355591789228,0.4979253112033195
llava_1_5_7b,all,sigma_B_p90_p10,29,241,241,-0.006744101033931214,-0.0050632225695519395,0.4854771784232365
llava_1_5_7b,all,sigma_B_p90_p10,30,241,241,-0.08400945677901715,-0.08445886203865527,0.3360995850622407
llava_1_5_7b,all,sigma_B_p90_p10,31,241,241,-0.19388909710052257,-0.19888852890686337,0.24481327800829875
llava_1_5_7b,all,sigma_B_p90_p10,32,241,241,-0.7404354970160396,-0.8645985765660207,0.25311203319502074
llava_1_5_7b,all,sigma_Y_cv,1,241,241,-0.023032935010643168,-0.02393427644762991,0.38589211618257263
llava_1_5_7b,all,sigma_Y_cv,2,241,241,0.02858428904418868,0.015705487242369864,0.6639004149377593
llava_1_5_7b,all,sigma_Y_cv,3,241,241,0.009945785058866376,0.011147931952436796,0.6970954356846473
llava_1_5_7b,all,sigma_Y_cv,4,241,241,3.7359640833655454e-05,0.0016711499347395464,0.5518672199170125
llava_1_5_7b,all,sigma_Y_cv,5,241,241,-0.007018370120016549,-0.007991550694827654,0.26141078838174275
llava_1_5_7b,all,sigma_Y_cv,6,241,241,-0.006718004690240055,-0.005404541181999345,0.31950207468879666
llava_1_5_7b,all,sigma_Y_cv,7,241,241,-0.0012730200094498024,-0.0017513149797455663,0.43568464730290457
llava_1_5_7b,all,sigma_Y_cv,8,241,241,-0.004116436065782133,-0.006422265327057697,0.3651452282157676
llava_1_5_7b,all,sigma_Y_cv,9,241,241,-0.005090944191585687,-0.0055524679717271486,0.3029045643153527
llava_1_5_7b,all,sigma_Y_cv,10,241,241,-0.0028312268485592863,-0.0034661823807254355,0.3360995850622407
llava_1_5_7b,all,sigma_Y_cv,11,241,241,-0.0016623679672644427,-0.002003720928387742,0.42738589211618255
