model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,amp_median,REAL,3,1006,1006,0,0.4058986964244308,0.3430118396384917,0.38792833285761585,0.44274263104147854
qwen2_5_vl_7b,all,amp_median,REAL,4,1006,1006,0,0.456542793098269,0.4107943954241444,0.4637030794010919,0.4974729791015811
qwen2_5_vl_7b,all,amp_median,REAL,5,1006,1006,0,0.6289726350477507,0.5637394883547084,0.6257794681509974,0.6893303542849174
qwen2_5_vl_7b,all,amp_median,REAL,6,1006,1006,0,0.6291690954667635,0.5675464332047973,0.620647067204242,0.6853646909549047
qwen2_5_vl_7b,all,amp_median,REAL,7,1006,1006,0,0.7151413375352479,0.6643804274503325,0.6901154082814945,0.7468279330450633
qwen2_5_vl_7b,all,amp_median,REAL,8,1006,1006,0,0.8109605835702758,0.7507324761495487,0.7946245790422102,0.8514162786655386
qwen2_5_vl_7b,all,amp_median,REAL,9,1006,1006,0,0.7155033943483231,0.6579335855519617,0.6958344408087038,0.7626563740477499
qwen2_5_vl_7b,all,amp_median,REAL,10,1006,1006,0,0.8718738169490479,0.8158688705216959,0.8684318616764598,0.916405989779453
qwen2_5_vl_7b,all,amp_median,REAL,11,1006,1006,0,0.6457373455939724,0.6162698253017196,0.6417296862776725,0.6666650148355115
qwen2_5_vl_7b,all,amp_median,REAL,12,1006,1006,0,0.6603776666502021,0.6213959189072503,0.6535340016805882,0.6946275532806708
qwen2_5_vl_7b,all,amp_median,REAL,13,1006,1006,0,0.6841891564648505,0.6470295589190108,0.6730677553086255,0.7059603793693974
qwen2_5_vl_7b,all,amp_median,REAL,14,1006,1006,0,0.6738376310924465,0.641259457274998,0.665427498740085,0.701210667673936
qwen2_5_vl_7b,all,amp_median,REAL,15,1006,1006,0,0.613926880381239,0.5830788258082706,0.6045452037950535,0.6376494487519878
qwen2_5_vl_7b,all,amp_median,REAL,16,1006,1006,0,0.6054844661432351,0.5718178513336885,0.5994950659036227,0.6262362984638404
qwen2_5_vl_7b,all,amp_median,REAL,17,1006,1006,0,0.5978223403046479,0.5651873530034909,0.5938275135537909,0.6230406005068103
qwen2_5_vl_7b,all,amp_median,REAL,18,1006,1006,0,0.5721066522322287,0.5415441050351926,0.5648783893044859,0.5920714441161218
qwen2_5_vl_7b,all,amp_median,REAL,19,1006,1006,0,0.5836094053163098,0.5516810033235471,0.5730801976723567,0.60301082472322
qwen2_5_vl_7b,all,amp_median,REAL,20,1006,1006,0,0.5097255772785322,0.4845853854970902,0.5049920396309855,0.5290302310556765
qwen2_5_vl_7b,all,amp_median,REAL,21,1006,1006,0,0.5620455922542792,0.5331831034177253,0.558370803855214,0.5847712283912148
qwen2_5_vl_7b,all,amp_median,REAL,22,1006,1006,0,0.5127830770613655,0.48086248932067205,0.5072648022722912,0.5356143287333541
qwen2_5_vl_7b,all,amp_median,REAL,23,1006,1006,0,0.5200628091960396,0.4979453928412494,0.5182227945827855,0.5393705404723895
qwen2_5_vl_7b,all,amp_median,REAL,24,1006,1006,0,0.449707386721183,0.40905327909582,0.4422026225719714,0.4824033478976669
qwen2_5_vl_7b,all,amp_median,REAL,25,1006,1006,0,0.4207231533367635,0.38946815215610064,0.4153380239623993,0.4430951078236599
qwen2_5_vl_7b,all,amp_median,REAL,26,1006,1006,0,0.37367876811453454,0.34148711863392706,0.36737756649503317,0.394192135552544
qwen2_5_vl_7b,all,amp_median,REAL,27,1006,1006,0,0.41296339930226716,0.3785157669651631,0.4089550275580055,0.43856998842413775
qwen2_5_vl_7b,all,amp_median,REAL,28,1006,1006,0,0.7039109047412293,0.5849884727795067,0.6405136716420811,0.7844079351876916
qwen2_5_vl_7b,all,amp_median,HALL,1,122,122,0,1.0125739879833133,0.8633933049890891,0.9894661607684644,1.1190328912311138
qwen2_5_vl_7b,all,amp_median,HALL,2,122,122,0,0.4906458584630981,0.4032884163774282,0.4739861082711675,0.546006732959546
qwen2_5_vl_7b,all,amp_median,HALL,3,122,122,0,0.4077511701308195,0.34742468776794944,0.39048829235936233,0.45340513406664634
qwen2_5_vl_7b,all,amp_median,HALL,4,122,122,0,0.4607136422185386,0.42561023510077545,0.4607156542574144,0.4970187602472307
qwen2_5_vl_7b,all,amp_median,HALL,5,122,122,0,0.6124200531350461,0.5501240882873608,0.6126997909628968,0.659718377263387
