model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen2_5_vl_7b,train,ovir,HALL,4,733,733,0,0.9100611138145165,0.8895600356918131,0.9043628880931414,0.9277500509828143
qwen2_5_vl_7b,train,ovir,HALL,5,733,733,0,0.891605572428724,0.8727817372242244,0.8901179048078741,0.9097647982756032
qwen2_5_vl_7b,train,ovir,HALL,6,733,733,0,0.8569204919969664,0.8301774529841898,0.8493989679844858,0.8788335229630713
qwen2_5_vl_7b,train,ovir,HALL,7,733,733,0,0.8179548276807075,0.7830349188809206,0.8178049855820362,0.8519207468149848
qwen2_5_vl_7b,train,ovir,HALL,8,733,733,0,0.7352985273161919,0.6957476327027318,0.7315260526282473,0.7651540076602785
qwen2_5_vl_7b,train,ovir,HALL,9,733,733,0,0.8495193473676786,0.8170443605613308,0.8419437673352232,0.8803380849329892
qwen2_5_vl_7b,train,ovir,HALL,10,733,733,0,0.6419511280578687,0.57867204704916,0.6286371253001576,0.6996689596583844
qwen2_5_vl_7b,train,ovir,HALL,11,733,733,0,0.7361698115191494,0.6996453440957476,0.7301863112823136,0.7659873163308456
qwen2_5_vl_7b,train,ovir,HALL,12,733,733,0,0.7946821483519545,0.7663655380597107,0.7903862192218583,0.8191549978544614
qwen2_5_vl_7b,train,ovir,HALL,13,733,733,0,0.8131133505097264,0.7852178200796696,0.807780026638377,0.837909483712175
qwen2_5_vl_7b,train,ovir,HALL,14,733,733,0,0.6821603320355194,0.6480927065961326,0.678847263651456,0.7154188491305525
qwen2_5_vl_7b,train,ovir,HALL,15,733,733,0,0.8577141279245204,0.8307542954476514,0.85545259074494,0.8827315918683019
qwen2_5_vl_7b,train,ovir,HALL,16,733,733,0,0.85676594933832,0.8260419665412191,0.8556520184516384,0.8840715015593098
qwen2_5_vl_7b,train,ovir,HALL,17,733,733,0,0.865575232210182,0.8473096866379934,0.8689092637540241,0.8854698460402423
qwen2_5_vl_7b,train,ovir,HALL,18,733,733,0,0.8653565958278404,0.8453151437076692,0.8637610076697949,0.8832575695889843
qwen2_5_vl_7b,train,ovir,HALL,19,733,733,0,0.90675220630958,0.8930456141123566,0.9055905199504678,0.9210070025347253
qwen2_5_vl_7b,train,ovir,HALL,20,733,733,0,0.9430160330956632,0.933765046679953,0.9443631337991613,0.9548760198851663
qwen2_5_vl_7b,train,ovir,HALL,21,733,733,0,0.9640005862186538,0.9575271673944592,0.9649173847344134,0.9723143729181474
qwen2_5_vl_7b,train,ovir,HALL,22,733,733,0,0.9800939838224879,0.976014463195223,0.9814022891908641,0.9858286553934117
qwen2_5_vl_7b,train,ovir,HALL,23,733,733,0,0.9859441112679553,0.9825825257672557,0.9865281325595806,0.9904179244433269
qwen2_5_vl_7b,train,ovir,HALL,24,733,733,0,0.9869507087680847,0.9835356276239976,0.9880986805614479,0.9916637924731619
qwen2_5_vl_7b,train,ovir,HALL,25,733,733,0,0.99063489933927,0.9874087364757088,0.9915002106965979,0.9949069466095198
qwen2_5_vl_7b,train,ovir,HALL,26,733,733,0,0.9905240728025102,0.9877023929215017,0.9920100304262174,0.9949819558296569
qwen2_5_vl_7b,train,ovir,HALL,27,733,733,0,0.9804582106738993,0.9747951479801815,0.9824978104916192,0.9884596812481554
