model,group,baseline,AUROC,HALL_AUPR,baseline_AUROC,baseline_HALL_AUPR,AUROC_delta,HALL_AUPR_delta,seed43_AUROC_delta,seed44_AUROC_delta,seed45_AUROC_delta
qwen3_vl_8b,gated_raw_prompt,gated_only,0.8550290864897295,0.5751829769185998,0.8285699254031614,0.5589774727741558,0.026459161086568095,0.016205504144443994,0.03230784547988841,0.0023979760372192516,0.04467166174259596
qwen3_vl_8b,gated_raw_prompt,strength_only,0.8550290864897295,0.5751829769185998,0.8408506447599554,0.5312521505854386,0.014178441729774116,0.043930826333161144,0.022807399380709303,-0.010565913083208978,0.03029383889182158
qwen3_vl_8b,gated_raw_generation,gated_only,0.8646954691347734,0.5800248683340815,0.8527482950984661,0.569025875908011,0.011947174036307295,0.010998992426070497,0.019309997252399347,0.01554015046971613,0.0009913743868065206
qwen3_vl_8b,gated_raw_generation,strength_only,0.8646954691347734,0.5800248683340815,0.8577059388303866,0.5522448375067673,0.00698953030438676,0.027780030827314173,0.014329199583846375,0.00745672529243413,-0.0008173339631202259
qwen3_vl_8b,gated_raw_visual,gated_only,0.8672866519098911,0.569541377374238,0.8591466282208412,0.5633419408885915,0.008140023689049869,0.006199436485646581,0.0036154872051346043,0.010637690286769197,0.010166893575245695
qwen3_vl_8b,gated_raw_visual,strength_only,0.8672866519098911,0.569541377374238,0.8639870873068061,0.5570425151434918,0.0032995646030850034,0.012498862230746255,0.00023424065893018486,0.008164078056551283,0.0015003750937733207
qwen3_vl_8b,gated_raw_concat,gated_only,0.9052497177792391,0.6663075521440543,0.8990429191660055,0.6692841244026667,0.006206798613233588,-0.0029765722586123644,0.009246524594111571,0.008298756787962436,0.001075114457626869
qwen3_vl_8b,gated_raw_concat,strength_only,0.9052497177792391,0.6663075521440543,0.9020212872148079,0.6635123438224694,0.0032284305644312283,0.0027952083215849743,0.005533790855121068,0.0038061212834074043,0.00034537955476521276
qwen3_vl_8b,gated_raw_visual_prompt_sum,gated_only,0.8699147523506391,0.5966633990538474,0.8550952038421128,0.5823326733932787,0.014819548508526292,0.0143307256605687,0.010849162908010967,0.017477363167952564,0.016132119449615456
qwen3_vl_8b,gated_raw_visual_prompt_sum,strength_only,0.8699147523506391,0.5966633990538474,0.8603075408769888,0.5685732601675824,0.00960721147365029,0.028090138886264993,0.00896173117353416,0.013785853870875275,0.006074049376541546
qwen3_vl_8b,gated_log1p_prompt,gated_only,0.8739751810380579,0.6244448924012489,0.8316846444121319,0.5642288804343425,0.04229053662592608,0.0602160119669064,0.04066294351365618,0.05130256329514471,0.03490610306897712
qwen3_vl_8b,gated_log1p_prompt,strength_only,0.8739751810380579,0.6244448924012489,0.858956637307475,0.5611654082979215,0.015018543730582978,0.0632794841033274,0.01172901250003855,0.022278717827605155,0.01104790086410501
qwen3_vl_8b,gated_log1p_generation,gated_only,0.8632159325839691,0.5773011986006259,0.8530992058714267,0.5627144373336365,0.010116726712542379,0.014586761266989434,0.006559510247932332,0.02558548587764231,-0.0017948159879475067
qwen3_vl_8b,gated_log1p_generation,strength_only,0.8632159325839691,0.5773011986006259,0.8568078233550157,0.5559350166902569,0.006408109228953407,0.021366181910368987,0.008087670065664687,0.01725701487100162,-0.0061203572498061964
qwen3_vl_8b,gated_log1p_visual,gated_only,0.8767858116792572,0.5942450260190731,0.8600367684513722,0.5632691432355718,0.016749043227884952,0.030975882783501385,0.01847375424102926,0.012773255042155651,0.01900012040047039
qwen3_vl_8b,gated_log1p_visual,strength_only,0.8767858116792572,0.5942450260190731,0.8690557413015805,0.5695693297419201,0.007730070377676701,0.024675696277153047,0.006397432691506166,0.01295771473732632,0.0038350637041975055
qwen3_vl_8b,gated_log1p_concat,gated_only,0.9087818508124973,0.6897207296963902,0.9016487661009903,0.6743605427005774,0.007133084711506976,0.015360186995812763,0.006190204958647083,0.002832498248018789,0.01237655092785539
qwen3_vl_8b,gated_log1p_concat,strength_only,0.9087818508124973,0.6897207296963902,0.9014105378196401,0.6573992479553453,0.007371312992857204,0.03232148174104488,0.006815747146663331,0.0024790148154322234,0.01281917701647628
qwen3_vl_8b,gated_log1p_visual_prompt_sum,gated_only,0.8798852233634541,0.626268987487225,0.861851265285457,0.5933425166207904,0.018033958077997125,0.03292647086643463,0.0138746106279658,0.01952339936836056,0.02070386423766446
qwen3_vl_8b,gated_log1p_visual_prompt_sum,strength_only,0.8798852233634541,0.626268987487225,0.8631246031672527,0.5857019702964129,0.016760620196201392,0.04056701719081213,0.023316400087676326,0.017498973508809135,0.009466486992118384
internvl_2_5_8b,attention_raw_prompt,attention_only,0.8765610035283352,0.5629477105099171,0.8397587042357825,0.47213921020656024,0.03680229929255274,0.09080850030335685,0.04365647330250044,0.03870710188735682,0.028043322687801076
