method,layer,metric,count,mean,std,q10,median,q90
JFFN,21,js,16510,0.26655987280780286,0.11592201157157027,0.1031691148877144,0.27208971977233887,0.41628777980804443
JFFN,21,top1_agreement,16510,0.05705632949727438,0.23195022043872437,0.0,0.0,0.0
JFFN,21,top32_overlap,16510,0.3342841459721381,0.20346696690372099,0.09375,0.3125,0.625
JFFN,21,total_variation,16510,0.5948758414889522,0.15464277698338555,0.3704241067171097,0.6195814609527588,0.7756711483001709
JFFN,22,cosine,16510,0.39039631154064397,0.2426470008049475,0.10586101114749909,0.3416527062654495,0.7618866860866547
JFFN,22,js,16510,0.24369179293984883,0.11290134449991714,0.0931327298283577,0.2409910187125206,0.3962634980678558
JFFN,22,top1_agreement,16510,0.08176862507571168,0.27401189213050475,0.0,0.0,0.0
JFFN,22,top32_overlap,16510,0.4351112961841308,0.18627253407286054,0.1875,0.4375,0.6875
JFFN,22,total_variation,16510,0.5643395947776442,0.15408058322048426,0.34575350284576417,0.579146683216095,0.7563981473445892
JFFN,23,cosine,16510,0.28489088674836305,0.23845130373997508,0.05334075167775154,0.20192261785268784,0.6738125026226044
JFFN,23,js,16510,0.29926393103319304,0.12362915822796426,0.1230984628200531,0.3104819357395172,0.45607463717460633
JFFN,23,top1_agreement,16510,0.06335554209569957,0.24360134930139368,0.0,0.0,0.0
JFFN,23,top32_overlap,16510,0.3493734857662023,0.1981794786487085,0.09375,0.3125,0.625
JFFN,23,total_variation,16510,0.6323063329394697,0.15740724195332984,0.4030859112739563,0.6627538502216339,0.8121558368206024
JFFN,24,cosine,16510,0.3351208809934678,0.24776334187208782,0.06913164407014848,0.26627813279628754,0.731279718875885
JFFN,24,js,16510,0.2763898423813658,0.12391464575791689,0.10525527447462082,0.2787640243768692,0.44071821570396424
JFFN,24,top1_agreement,16510,0.08558449424591157,0.2797495104385049,0.0,0.0,0.0
JFFN,24,top32_overlap,16510,0.38909562386432467,0.18626942558566822,0.15625,0.375,0.65625
JFFN,24,total_variation,16510,0.6032310758939048,0.1617508680684328,0.3706111788749695,0.624518483877182,0.7991502165794373
JFFN,25,cosine,16510,0.26762963087686636,0.24856114674341065,0.031766083836555485,0.17648694664239883,0.6747181236743928
JFFN,25,js,16510,0.35677205571272425,0.1447563154302314,0.14456230252981186,0.37459754943847656,0.5365692377090454
JFFN,25,top1_agreement,16510,0.06456692913385827,0.24576012857272347,0.0,0.0,0.0
JFFN,25,top32_overlap,16510,0.34110576923076924,0.20529006951902037,0.09375,0.3125,0.625
JFFN,25,total_variation,16510,0.6949347721526725,0.17331546899695263,0.4375279277563095,0.7352920174598694,0.8866568684577942
JFFN,26,cosine,16510,0.24649209211860246,0.23418402463574214,0.03305975794792176,0.15521924942731857,0.626767534017563
JFFN,26,js,16510,0.3584941955628511,0.13743074614778705,0.1551195114850998,0.37811027467250824,0.5248677492141723
JFFN,26,top1_agreement,16510,0.054270139309509385,0.22654997525675394,0.0,0.0,0.0
JFFN,26,top32_overlap,16510,0.3209607813446396,0.20089061198423183,0.09375,0.28125,0.625
JFFN,26,total_variation,16510,0.6985997404575998,0.16332739034393606,0.45444094836711885,0.7370698153972626,0.8761890053749085
JFFN,27,cosine,16510,0.294466090552198,0.2361677959469273,0.05039149709045887,0.22212428599596024,0.6705406963825227
JFFN,27,js,16510,0.32149484234724957,0.13174695732510874,0.136790731549263,0.32782500982284546,0.49315802156925204
JFFN,27,top1_agreement,16510,0.06244700181708056,0.24196564586969385,0.0,0.0,0.0
JFFN,27,top32_overlap,16510,0.35720964566929136,0.1897743134143432,0.125,0.34375,0.625
JFFN,27,total_variation,16510,0.658342329926703,0.1607522007202821,0.4260082542896271,0.6837088763713837,0.8487018346786499
JFFN,28,cosine,16510,0.34065924954131305,0.24945719279636774,0.06908089518547059,0.2744801342487335,0.734112572669983
JFFN,28,js,16510,0.2720595113669089,0.12043521891808019,0.10976347923278809,0.27135059237480164,0.4333611994981766
JFFN,28,top1_agreement,16510,0.09545729860690491,0.29384554233402477,0.0,0.0,0.0
JFFN,28,top32_overlap,16510,0.3892489400363416,0.1766055452808665,0.15625,0.375,0.625
JFFN,28,total_variation,16510,0.5985919784436364,0.15680479777491985,0.37706963121891024,0.6158140599727631,0.7911650896072387
JFFN,29,cosine,16510,0.2509348341902246,0.24040729361837362,0.0328546479344368,0.1567840427160263,0.6458879709243774
JFFN,29,js,16510,0.35073760456175995,0.1363114309432401,0.15158821493387223,0.36907365918159485,0.5173472940921784
JFFN,29,top1_agreement,16510,0.05808600847970927,0.23390601552462134,0.0,0.0,0.0
JFFN,29,top32_overlap,16510,0.353448667474258,0.20403937791266555,0.09375,0.34375,0.65625
JFFN,29,total_variation,16510,0.6907193396134422,0.163770539555234,0.45165746808052065,0.7282282710075378,0.8691578388214112
JFFN,30,cosine,16510,0.24933176190839282,0.2363554795897917,0.03384809494018555,0.15980128943920135,0.6301183938980103
JFFN,30,js,16510,0.34423568552731676,0.13478471178920767,0.14670993983745576,0.3613673746585846,0.5112846851348877
JFFN,30,top1_agreement,16510,0.04900060569351908,0.2158692806658403,0.0,0.0,0.0
JFFN,30,top32_overlap,16510,0.3448156420351302,0.21096454786446908,0.0625,0.3125,0.65625
JFFN,30,total_variation,16510,0.6842667209906227,0.16238265195336532,0.44473804235458375,0.7215470373630524,0.8631483793258667
JFFN,31,cosine,16510,0.27675111365131133,0.23190627205013523,0.0519747406244278,0.19631630927324295,0.6514095366001129
JFFN,31,js,16510,0.30256580325968335,0.12116437442310592,0.12852623462677004,0.31412917375564575,0.4547524839639664
