model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
internvl_2_5_8b,gated_visual,rf,one_hidden,-0.005306744425336962,-0.011880437510996988
internvl_2_5_8b,gated_visual_prompt_sum,xgb,three_hidden,0.002626669372554624,-0.0006745577663666014
internvl_2_5_8b,gated_visual_prompt_sum,xgb,one_hidden,0.032395440579060075,0.046170645708448255
internvl_2_5_8b,gated_visual_prompt_sum,rf,three_hidden,-0.0002781545845215172,0.005304989000590399
internvl_2_5_8b,gated_visual_prompt_sum,rf,one_hidden,0.029490616621983934,0.052150192475405255
internvl_2_5_8b,gated_generation,xgb,three_hidden,0.0009401624956830723,0.0036614036615065793
internvl_2_5_8b,gated_generation,xgb,one_hidden,0.030624152184826392,0.0799993106908608
internvl_2_5_8b,gated_generation,rf,three_hidden,-0.011240783069687232,-0.025516259487562476
internvl_2_5_8b,gated_generation,rf,one_hidden,0.018443206619456087,0.05082164754179175
internvl_2_5_8b,gated_vp_generation,xgb,three_hidden,0.007389788477902504,0.006054304847526559
internvl_2_5_8b,gated_vp_generation,xgb,one_hidden,0.025137163588719424,0.04528706354349665
internvl_2_5_8b,gated_vp_generation,rf,three_hidden,-0.010470183608728534,-0.028738969840966355
internvl_2_5_8b,gated_vp_generation,rf,one_hidden,0.007277191502088387,0.010493788855003738
