model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,HALL_F1_mean,HALL_F1_std
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,0.8386849262877161,0.005072654550691643,0.40378593616151853,0.010329469991477344,0.31322400975494746,0.031633414223157234
qwen2_5_vl_7b,gated_generation,searched_one_hidden,0.7925061235816985,0.0022504786452442957,0.29379039990310296,0.005024225227916752,0.02409188034188034,0.01749675804582398
qwen2_5_vl_7b,gated_vp_generation,fixed_three_hidden,0.866347170334936,0.006602484619491636,0.4677978725640446,0.024752360857133327,0.44953325513958137,0.010682399899261114
qwen2_5_vl_7b,gated_vp_generation,searched_one_hidden,0.8311067367042136,0.0023728507191903636,0.3900652708700152,0.006303708745533851,0.20902656041643927,0.020988727287900452
llava_1_5_7b,attention_visual,fixed_three_hidden,0.8937884429031433,0.0015115466363507652,0.6862203135030507,0.005817512472178716,0.6426144064520676,0.004990522889440759
llava_1_5_7b,attention_visual,searched_one_hidden,0.8900856352050998,0.0005449655023305517,0.6733063971169747,0.007950724887539135,0.6320417361916357,0.010869500975464437
llava_1_5_7b,attention_visual_prompt_sum,fixed_three_hidden,0.8971968548657964,0.002863297801986239,0.6964046761894725,0.01048797261856432,0.6386105929869085,0.0012950892510147402
llava_1_5_7b,attention_visual_prompt_sum,searched_one_hidden,0.8781587495242112,0.0027457691438189905,0.6850912650771575,0.005277857801036762,0.580133394764173,0.007480816904354836
llava_1_5_7b,attention_generation,fixed_three_hidden,0.8885627256800861,0.0014948735897955313,0.6626464427402049,0.004213870908874715,0.6361935269198903,0.015633805155977884
llava_1_5_7b,attention_generation,searched_one_hidden,0.875789307570041,0.002943035049879983,0.65512270162968,0.006996181392914175,0.5385919487337535,0.008443178999368918
llava_1_5_7b,attention_vp_generation,fixed_three_hidden,0.9002137359339705,0.004380563339588556,0.700667306091431,0.015009294805148904,0.6563484632297393,0.008777374185366267
llava_1_5_7b,attention_vp_generation,searched_one_hidden,0.8943263999858012,0.0031795949851722628,0.7042647276055461,0.0024646813392895386,0.5939179923993373,0.015806602370573478
llava_1_5_7b,gated_visual,fixed_three_hidden,0.8950098186572429,0.0010240867627421969,0.6882827426598825,0.0019218482131548127,0.6485505014816234,0.00715691186888789
llava_1_5_7b,gated_visual,searched_one_hidden,0.8882779759386468,0.002288648668039431,0.6631970294345287,0.010578535496678502,0.6103469363041237,0.0125300257605642
llava_1_5_7b,gated_visual_prompt_sum,fixed_three_hidden,0.8969937102331841,0.00043114688276092033,0.7027590857220692,0.0008056319991004215,0.6383685287148494,0.016770446799603107
llava_1_5_7b,gated_visual_prompt_sum,searched_one_hidden,0.8841463073495336,0.004745360901593632,0.6839726547517809,0.008254002507388378,0.5985161733491906,0.013937831496333304
llava_1_5_7b,gated_generation,fixed_three_hidden,0.8822759491223978,0.005043537595324441,0.6617141740651403,0.010701043621352161,0.6049964763750201,0.014225738537887814
llava_1_5_7b,gated_generation,searched_one_hidden,0.8721213219101615,0.0013237438699587492,0.6477693574442932,0.005096641360133218,0.5634434605555527,0.01044001009808764
llava_1_5_7b,gated_vp_generation,fixed_three_hidden,0.9046986408215764,0.003056199364981223,0.7194709595496999,0.006017456501661914,0.6610326779360387,0.017336449499226456
llava_1_5_7b,gated_vp_generation,searched_one_hidden,0.8960138701676224,0.0041611530590288485,0.7118650161438195,0.00711260708376815,0.6190975338992221,0.019955623552671848
qwen3_vl_8b,attention_visual,fixed_three_hidden,0.8751641356841269,0.0019516013721587954,0.5957282604495133,0.009774475849526013,0.5297548206977566,0.010071286139381422
qwen3_vl_8b,attention_visual,searched_one_hidden,0.8688278036587335,0.003963743230867596,0.5788801143457188,0.002375684075832939,0.49455482328475125,0.01195369554240365
qwen3_vl_8b,attention_visual_prompt_sum,fixed_three_hidden,0.8772463177522777,0.010912143327166484,0.6152721618289243,0.018427827395407038,0.5714717274949237,0.027393179653697936
qwen3_vl_8b,attention_visual_prompt_sum,searched_one_hidden,0.8259088949192032,0.002031216651951497,0.5164975828607151,0.003943821340575878,0.39903088432052486,0.006622660055115569
qwen3_vl_8b,attention_generation,fixed_three_hidden,0.8644940298860723,0.007171769528990953,0.5758614540742016,0.018009055897809254,0.5112000766301631,0.028636881128908186
