model,group,classifier,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen2_5_vl_7b,gated_visual,fixed_three_hidden,45,train_f1,0.5266894698143005,0.8447579436054284,0.39140982426246845,0.48148148148148145,0.28415300546448086,0.35738831615120276
qwen2_5_vl_7b,gated_visual,searched_one_hidden,43,fixed_0.5,0.5,0.8297720722341577,0.3585062530944058,0.425,0.09289617486338798,0.15246636771300448
qwen2_5_vl_7b,gated_visual,searched_one_hidden,43,train_f1,0.5063682198524475,0.8297720722341577,0.3585062530944058,0.42857142857142855,0.09836065573770492,0.16
qwen2_5_vl_7b,gated_visual,searched_one_hidden,44,fixed_0.5,0.5,0.8182680876433589,0.3309782520899086,0.41379310344827586,0.06557377049180328,0.11320754716981132
qwen2_5_vl_7b,gated_visual,searched_one_hidden,44,train_f1,0.6028348803520203,0.8182680876433589,0.3309782520899086,0.43859649122807015,0.1366120218579235,0.20833333333333334
qwen2_5_vl_7b,gated_visual,searched_one_hidden,45,fixed_0.5,0.5,0.8335255955719714,0.36306543664783886,0.6,0.06557377049180328,0.11822660098522167
qwen2_5_vl_7b,gated_visual,searched_one_hidden,45,train_f1,0.5412815809249878,0.8335255955719714,0.36306543664783886,0.5161290322580645,0.08743169398907104,0.14953271028037382
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,43,fixed_0.5,0.5,0.867019794191211,0.43782592614814064,0.4878048780487805,0.2185792349726776,0.3018867924528302
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,43,train_f1,0.5508947968482971,0.867019794191211,0.43782592614814064,0.4596774193548387,0.3114754098360656,0.3713355048859935
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,44,fixed_0.5,0.5,0.8575513199067264,0.4008533711102488,0.5357142857142857,0.08196721311475409,0.14218009478672985
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,44,train_f1,0.5611188411712646,0.8575513199067264,0.4008533711102488,0.46534653465346537,0.2568306010928962,0.33098591549295775
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,45,fixed_0.5,0.5,0.8412831123199526,0.4443113901193699,0.3826086956521739,0.4808743169398907,0.4261501210653753
qwen2_5_vl_7b,gated_visual_prompt_sum,fixed_three_hidden,45,train_f1,0.3582095801830292,0.8412831123199526,0.4443113901193699,0.5094339622641509,0.29508196721311475,0.3737024221453287
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,43,fixed_0.5,0.5,0.8317687773179948,0.3613012784484307,0.5138888888888888,0.20218579234972678,0.2901960784313726
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,43,train_f1,0.26174139976501465,0.8317687773179948,0.3613012784484307,0.5,0.01639344262295082,0.031746031746031744
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,44,fixed_0.5,0.5,0.8220145554861766,0.35442053052573746,0.0,0.0,0.0
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,44,train_f1,0.5209547281265259,0.8220145554861766,0.35442053052573746,0.0,0.0,0.0
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,45,fixed_0.5,0.5,0.8291617719170132,0.35738334937705224,0.4838709677419355,0.16393442622950818,0.24489795918367346
qwen2_5_vl_7b,gated_visual_prompt_sum,searched_one_hidden,45,train_f1,0.2905539274215698,0.8291617719170132,0.35738334937705224,0.4,0.01092896174863388,0.02127659574468085
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,43,fixed_0.5,0.5,0.8315200711193895,0.3900192396731558,0.4127906976744186,0.3879781420765027,0.4
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,43,train_f1,0.41737499833106995,0.8315200711193895,0.3900192396731558,0.4270833333333333,0.22404371584699453,0.2939068100358423
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,44,fixed_0.5,0.5,0.8419569120920603,0.41490077070547954,0.6341463414634146,0.14207650273224043,0.23214285714285715
qwen2_5_vl_7b,gated_generation,fixed_three_hidden,44,train_f1,0.5330958962440491,0.8419569120920603,0.41490077070547954,0.5,0.20218579234972678,0.28793774319066145
