model,label,layer,n_mentions,mean,q25,median,q75,raw_d_js_real_auroc
qwen3_vl_8b,HALL,20,2593,0.001134547172114253,0.0006042579771019518,0.000869043986313045,0.0013228231109678745,0.5631154913441476
qwen3_vl_8b,HALL,21,2593,0.0014627070631831884,0.0008610622026026249,0.0012742383405566216,0.0018313531763851643,0.5581867556224412
qwen3_vl_8b,HALL,22,2593,0.000867716851644218,0.00044826511293649673,0.0006722514517605305,0.0010496927425265312,0.6214425017995078
qwen3_vl_8b,HALL,23,2593,0.0012293520849198103,0.0006387289031408727,0.0009285731357522309,0.0014705723151564598,0.39944928151588277
qwen3_vl_8b,HALL,24,2593,0.0017109212931245565,0.0009338974487036467,0.001403012778609991,0.002045484958216548,0.6522065954316998
qwen3_vl_8b,HALL,25,2593,0.004036366939544678,0.002493495587259531,0.0035107512958347797,0.005009954329580069,0.39685222743266446
qwen3_vl_8b,HALL,26,2593,0.0008656159625388682,0.0003812402719631791,0.0005820895894430578,0.0009386423043906689,0.5499913636186626
qwen3_vl_8b,HALL,27,2593,0.0013368518557399511,0.0005712128477171063,0.0009188757976517081,0.0016297083348035812,0.45529904805094146
qwen3_vl_8b,HALL,28,2593,0.002902558771893382,0.001864697551354766,0.002678475808352232,0.0036276569589972496,0.49673298256016263
qwen3_vl_8b,HALL,29,2593,0.001802877290174365,0.0009870724752545357,0.0014153362717479467,0.0020690793171525,0.5955136825404402
qwen3_vl_8b,HALL,30,2593,0.006933925207704306,0.0031811045482754707,0.005526931025087833,0.009219453670084476,0.5118806772430409
qwen3_vl_8b,HALL,31,2593,0.0030287886038422585,0.0011207184288650751,0.0018842571880668402,0.003359816037118435,0.5685322454214616
qwen3_vl_8b,HALL,32,2593,0.0011818783823400736,0.0002851770259439945,0.0005032133776694536,0.001262781210243702,0.6617276562682541
qwen3_vl_8b,HALL,33,2593,0.0007402042974717915,0.00025361625012010336,0.0004503317177295685,0.0008783212397247553,0.5166059712254617
qwen3_vl_8b,HALL,34,2593,0.0011658663861453533,0.00014604371972382069,0.00026170717319473624,0.0007415490108542144,0.5586523350890835
qwen3_vl_8b,HALL,35,2593,0.005352593492716551,0.001877703471109271,0.003510274924337864,0.007134760729968548,0.4668531444593374
qwen3_vl_8b,HALL,36,2593,0.10239776223897934,0.08571943640708923,0.1031952053308487,0.12057775259017944,0.46879926662990185
qwen3_vl_8b,REAL,1,12280,0.0023214162793010473,0.001359665533527732,0.001958343666046858,0.0027465797029435635,0.5403543397345145
qwen3_vl_8b,REAL,2,12280,0.008722614496946335,0.0034044329077005386,0.005238800309598446,0.010074615478515625,0.5230173223826111
qwen3_vl_8b,REAL,3,12280,0.005022658966481686,0.0027447715401649475,0.003685601754114032,0.005279805511236191,0.5242866820090673
qwen3_vl_8b,REAL,4,12280,0.004221805837005377,0.001964973285794258,0.0028217798098921776,0.004891298711299896,0.5025310250222662
qwen3_vl_8b,REAL,5,12280,0.0035247679334133863,0.0019327267073094845,0.0027577998116612434,0.00417955731973052,0.5346909306062049
qwen3_vl_8b,REAL,6,12280,0.0016879778122529387,0.0011489777825772762,0.0015380390686914325,0.002051896881312132,0.48291774019503775
