model,metric,label,layer,n_mentions,mean,q25,median,q75
qwen3_vl_8b,r_amp,REAL,3,12280,0.07544738397382668,0.05892073857288538,0.06890175301589616,0.08323331871506241
qwen3_vl_8b,r_amp,REAL,4,12280,0.06953066000082266,0.049800165419826126,0.060362492866636086,0.08055754763725419
qwen3_vl_8b,r_amp,REAL,5,12280,0.06375162193677038,0.04842714317742399,0.059029495435501816,0.07353625005086863
qwen3_vl_8b,r_amp,REAL,6,12280,0.04469462244639921,0.036662884766312465,0.04337740181686259,0.05127805537927565
qwen3_vl_8b,r_amp,REAL,7,12280,0.03421188217149867,0.024490648894865293,0.029936610407893964,0.038697467243265206
qwen3_vl_8b,r_amp,REAL,8,12280,0.0310021721700483,0.02203537247363793,0.027826066728199844,0.03628777590293513
qwen3_vl_8b,r_amp,REAL,9,12280,0.03309085888061159,0.02402182853723274,0.030633852206024843,0.03920003332927844
qwen3_vl_8b,r_amp,REAL,10,12280,0.08950785807884928,0.05568252544857393,0.08096054031716057,0.11650808282227218
qwen3_vl_8b,r_amp,REAL,11,12280,0.0398204517026679,0.024634420342070855,0.034234002079915477,0.04960400173919503
qwen3_vl_8b,r_amp,REAL,12,12280,0.05075838024350319,0.030724274909154033,0.04490436815213352,0.06643698930386663
qwen3_vl_8b,r_amp,REAL,13,12280,0.03195363941805376,0.02430882265516597,0.02927699314085267,0.03591357989928784
qwen3_vl_8b,r_amp,REAL,14,12280,0.03554507596332393,0.027851265637856875,0.03372197150496619,0.04120347345608863
qwen3_vl_8b,r_amp,REAL,15,12280,0.03515351465339911,0.025278796811401143,0.03146584482079515,0.04090132543784659
qwen3_vl_8b,r_amp,REAL,16,12280,0.04276057014267346,0.03569507636698241,0.04171997369433192,0.04844487281440108
qwen3_vl_8b,r_amp,REAL,17,12280,0.03372419738125596,0.02820380560967482,0.032369411547345565,0.03745441986606568
qwen3_vl_8b,r_amp,REAL,18,12280,0.04031241139748288,0.033982196192724815,0.03915802819307124,0.045346080187399426
qwen3_vl_8b,r_amp,REAL,19,12280,0.03828935652420561,0.030752230614098333,0.03645331052472549,0.04412555325082135
qwen3_vl_8b,r_amp,REAL,20,12280,0.03832771202129973,0.029614741265357993,0.035520008660640486,0.04340372870782911
qwen3_vl_8b,r_amp,REAL,21,12280,0.04617680799415597,0.0372681681090733,0.04446580098097172,0.05364303550749068
qwen3_vl_8b,r_amp,REAL,22,12280,0.039051415232292115,0.027645209356736124,0.03494537774282927,0.04628583686339204
qwen3_vl_8b,r_amp,REAL,23,12280,0.03179942276834663,0.02594592520539079,0.030266776593192362,0.035722344957393855
qwen3_vl_8b,r_amp,REAL,24,12280,0.05144680994554286,0.04046152641760916,0.04957301090190423,0.060795260962516966
qwen3_vl_8b,r_amp,REAL,25,12280,0.06434447984079797,0.05178837611619534,0.0616870035744797,0.07368547358653249
qwen3_vl_8b,r_amp,REAL,26,12280,0.03014120272543834,0.022577172612288126,0.028169114515112052,0.03539834310894922
qwen3_vl_8b,r_amp,REAL,27,12280,0.03662198499176197,0.024739151855135543,0.032186144709919984,0.04276677487230783
qwen3_vl_8b,r_amp,REAL,28,12280,0.061025801218393044,0.05040713873543623,0.06007401069468222,0.07063447830964674
qwen3_vl_8b,r_amp,REAL,29,12280,0.05047703172321074,0.038734263867275555,0.04878942158786061,0.059732832955117714
qwen3_vl_8b,r_amp,REAL,30,12280,0.09376418529223977,0.06308951843695912,0.0891495662575485,0.11854020381387385
qwen3_vl_8b,r_amp,REAL,31,12280,0.0682803069155288,0.04036688343688165,0.056223471120352024,0.08512647965731818
qwen3_vl_8b,r_amp,REAL,32,12280,0.04613314435501997,0.023515976922572478,0.036306053823428816,0.060320723983803566
qwen3_vl_8b,r_amp,REAL,33,12280,0.029015006635124442,0.017297504783695343,0.023649027712099365,0.03475990689030867
qwen3_vl_8b,r_amp,REAL,34,12280,0.029697843954362233,0.014434296630882413,0.020016908044026747,0.03514659470303373
qwen3_vl_8b,r_amp,REAL,35,12280,0.06069519837519033,0.039842692564024215,0.054238454811010285,0.07438871278501855
