model,case_id,layer,strategy,lambda,finite_effect_norm
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_p_ffn_token,0.0,11.167555809020996
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_p_ffn_token,0.25,11.818791389465332
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_p_ffn_token,0.5,12.529366493225098
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_p_ffn_token,0.75,13.289972305297852
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_p_ffn_token,1.0,14.092644691467285
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_p_ffn_token,1.25,14.930667877197266
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_8_region,0.0,7.542600631713867
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_8_region,0.25,8.926140785217285
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_8_region,0.5,10.53244400024414
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_8_region,0.75,12.272109985351562
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_8_region,1.0,14.092644691467285
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,highest_8_region,1.25,15.962337493896484
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,deterministic_random_region,0.0,13.355531692504883
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,deterministic_random_region,0.25,13.524066925048828
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,deterministic_random_region,0.5,13.703422546386719
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,deterministic_random_region,0.75,13.893110275268555
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,deterministic_random_region,1.0,14.092644691467285
qwen3_vl_8b,qwen3_vl_8b:153486:47:27,27,deterministic_random_region,1.25,14.301529884338379
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_p_ffn_token,0.0,5.713868618011475
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_p_ffn_token,0.25,5.947732925415039
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_p_ffn_token,0.5,6.1854119300842285
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_p_ffn_token,0.75,6.426713943481445
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_p_ffn_token,1.0,6.671464920043945
qwen3_vl_8b,qwen3_vl_8b:16193:11:9,9,highest_p_ffn_token,1.25,6.919508457183838
