model,label,layer,n_mentions,mean,q25,median,q75,raw_strength_real_auroc
qwen3_vl_8b,REAL,15,12280,9.438102722167969,7.480398178100586,9.555859565734863,11.562585830688477,0.6995969322317288
qwen3_vl_8b,REAL,16,12280,12.490875244140625,9.892122268676758,12.568628311157227,15.073768615722656,0.5937309292997559
qwen3_vl_8b,REAL,17,12280,11.08508014678955,8.233596801757812,10.675071716308594,13.608268737792969,0.7019969197953397
qwen3_vl_8b,REAL,18,12280,13.221490859985352,10.844268798828125,13.414432525634766,15.676389694213867,0.631636038394525
qwen3_vl_8b,REAL,19,12280,16.968036651611328,14.719433784484863,17.209461212158203,19.568988800048828,0.639939840537855
qwen3_vl_8b,REAL,20,12280,12.679481506347656,9.543159484863281,12.289861679077148,15.62255573272705,0.675853431501248
qwen3_vl_8b,REAL,21,12280,16.00698471069336,12.827127456665039,16.276615142822266,19.501811981201172,0.6630523515453156
qwen3_vl_8b,REAL,22,12280,16.52772331237793,13.179178237915039,16.624370574951172,19.939308166503906,0.697935182544837
qwen3_vl_8b,REAL,23,12280,9.139562606811523,7.020223140716553,8.991327285766602,11.103767395019531,0.6306813570989798
qwen3_vl_8b,REAL,24,12280,24.585830688476562,19.966915130615234,25.052505493164062,29.83795738220215,0.6480683869500824
qwen3_vl_8b,REAL,25,12280,29.8924617767334,24.279155731201172,30.383464813232422,36.059959411621094,0.6564290164826122
qwen3_vl_8b,REAL,26,12280,13.15538215637207,9.15317153930664,12.774961471557617,16.927013397216797,0.6461358160469619
qwen3_vl_8b,REAL,27,12280,25.73200798034668,19.584247589111328,26.000791549682617,31.769866943359375,0.5925432541382398
qwen3_vl_8b,REAL,28,12280,21.564481735229492,14.894333839416504,21.017807006835938,27.727699279785156,0.689187234863093
qwen3_vl_8b,REAL,29,12280,24.622058868408203,16.236543655395508,23.225008010864258,31.971721649169922,0.6822340214383249
qwen3_vl_8b,REAL,30,12280,38.70472717285156,23.73511505126953,35.58506774902344,50.504005432128906,0.5912005323779507
qwen3_vl_8b,REAL,31,12280,19.749338150024414,12.513673782348633,18.129650115966797,25.225980758666992,0.5970562658673879
qwen3_vl_8b,REAL,32,12280,29.913166046142578,19.368228912353516,28.434188842773438,39.156639099121094,0.6482779683713732
qwen3_vl_8b,REAL,33,12280,28.561767578125,16.52899742126465,26.329566955566406,38.878257751464844,0.5581012711497129
qwen3_vl_8b,REAL,34,12280,42.03353500366211,25.18476104736328,38.607357025146484,55.725318908691406,0.5587640427560546
qwen3_vl_8b,REAL,35,12280,41.01350402832031,25.837448120117188,37.37339782714844,53.06241226196289,0.5745410626957317
qwen3_vl_8b,REAL,36,12280,32.11188888549805,22.837509155273438,29.656044006347656,38.94161605834961,0.6369101037496341
