model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen3_vl_8b,F_E,43,fixed_0.5,0.5,0.8905891596355879,0.6266459645854776,0.584870848708487,0.6143410852713178,0.5992438563327032
qwen3_vl_8b,F_E,43,train_f1,0.4273279905319214,0.8905891596355879,0.6266459645854776,0.647196261682243,0.5368217054263565,0.586864406779661
qwen3_vl_8b,F_E,44,fixed_0.5,0.5,0.8858321833544807,0.633226828724251,0.6115384615384616,0.6162790697674418,0.6138996138996139
qwen3_vl_8b,F_E,44,train_f1,0.4726244807243347,0.8858321833544807,0.633226828724251,0.625,0.5813953488372093,0.6024096385542169
qwen3_vl_8b,F_E,45,fixed_0.5,0.5,0.88322775138229,0.6250871850149625,0.5850091407678245,0.6201550387596899,0.6020696142991533
qwen3_vl_8b,F_E,45,train_f1,0.4179501533508301,0.88322775138229,0.6250871850149625,0.6210762331838565,0.5368217054263565,0.5758835758835759
qwen3_vl_8b,F_E_Q02,43,fixed_0.5,0.5,0.8749170317270675,0.6134327546586065,0.7007042253521126,0.3856589147286822,0.4975
qwen3_vl_8b,F_E_Q02,43,train_f1,0.6362056732177734,0.8749170317270675,0.6134327546586065,0.6319444444444444,0.5290697674418605,0.5759493670886076
qwen3_vl_8b,F_E_Q02,44,fixed_0.5,0.5,0.8708589184333121,0.5972415155390703,0.3837606837606838,0.8701550387596899,0.5326215895610913
qwen3_vl_8b,F_E_Q02,44,train_f1,0.09574761986732483,0.8708589184333121,0.5972415155390703,0.6095717884130982,0.4689922480620155,0.5301204819277109
qwen3_vl_8b,F_E_Q02,45,fixed_0.5,0.5,0.8712764610905813,0.6052421642479332,0.4903314917127072,0.687984496124031,0.5725806451612904
qwen3_vl_8b,F_E_Q02,45,train_f1,0.2444157898426056,0.8712764610905813,0.6052421642479332,0.6171171171171171,0.5310077519379846,0.5708333333333333
qwen3_vl_8b,F_C,43,fixed_0.5,0.5,0.8898073283753036,0.6261979238478452,0.5775401069518716,0.627906976744186,0.6016713091922006
qwen3_vl_8b,F_C,43,train_f1,0.40715673565864563,0.8898073283753036,0.6261979238478452,0.6444954128440367,0.5445736434108527,0.5903361344537815
qwen3_vl_8b,F_C,44,fixed_0.5,0.5,0.8864681448139814,0.6357352423891354,0.6455696202531646,0.4941860465116279,0.5598243688254665
qwen3_vl_8b,F_C,44,train_f1,0.5062642097473145,0.8864681448139814,0.6357352423891354,0.6407035175879398,0.4941860465116279,0.5579868708971554
qwen3_vl_8b,F_C,45,fixed_0.5,0.5,0.8819373053139827,0.6168656171635598,0.5732368896925859,0.6143410852713178,0.5930776426566885
qwen3_vl_8b,F_C,45,train_f1,0.42312684655189514,0.8819373053139827,0.6168656171635598,0.6304347826086957,0.5058139534883721,0.5612903225806452
qwen3_vl_8b,F_C_Q02,43,fixed_0.5,0.5,0.8824852818142807,0.6369557371807355,0.6691919191919192,0.5135658914728682,0.581140350877193
qwen3_vl_8b,F_C_Q02,43,train_f1,0.5219414234161377,0.8824852818142807,0.6369557371807355,0.6594202898550725,0.5290697674418605,0.5870967741935483
qwen3_vl_8b,F_C_Q02,44,fixed_0.5,0.5,0.8948730238115086,0.6542321900383465,0.6116910229645094,0.5678294573643411,0.5889447236180905
qwen3_vl_8b,F_C_Q02,44,train_f1,0.5302382111549377,0.8948730238115086,0.6542321900383465,0.6079207920792079,0.5949612403100775,0.6013712047012733
qwen3_vl_8b,F_C_Q02,45,fixed_0.5,0.5,0.8847975882859603,0.627098159394483,0.44504896626768226,0.7926356589147286,0.570034843205575
qwen3_vl_8b,F_C_Q02,45,train_f1,0.20339615643024445,0.8847975882859603,0.627098159394483,0.625,0.5038759689922481,0.5579399141630901
internvl_2_5_8b,F_E,43,fixed_0.5,0.5,0.8539895378272433,0.5194382948645027,0.4868995633187773,0.5978552278820375,0.5367027677496992
