Q,label,layer,mean,median,q25,q75
E,0,29,0.24350086,0.23841463,0.1997119039297104,0.27911277115345
E,0,30,0.2608038,0.2303696,0.1857844851911068,0.3269835487008095
E,0,31,0.2253085,0.21292889,0.17865700274705887,0.25327879190444946
E,0,32,0.18366794,0.16310534,0.13457907736301422,0.1972959041595459
E,1,1,0.14041166,0.13462035,0.11217033118009567,0.16375784575939178
E,1,2,0.20646073,0.20368977,0.17832809686660767,0.23181161284446716
E,1,3,0.21646659,0.21196869,0.18057480454444885,0.24802139401435852
E,1,4,0.18490809,0.18151945,0.15568868815898895,0.21035948395729065
E,1,5,0.1645023,0.16139816,0.13828599452972412,0.18759439885616302
E,1,6,0.16551897,0.16065966,0.13971048593521118,0.18503983318805695
E,1,7,0.1563217,0.14985557,0.1284179985523224,0.17479723691940308
E,1,8,0.16262934,0.15455133,0.132862389087677,0.180028036236763
E,1,9,0.14818005,0.14682,0.12357890605926514,0.17037928104400635
E,1,10,0.18053615,0.15920661,0.1344975084066391,0.19498655200004578
E,1,11,0.16593876,0.15976754,0.13365402817726135,0.18966302275657654
E,1,12,0.17307574,0.16356663,0.13802610337734222,0.19454413652420044
E,1,13,0.22131112,0.1877904,0.15045620501041412,0.2599470615386963
E,1,14,0.19217595,0.18802753,0.16227711737155914,0.2165149748325348
E,1,15,0.1886013,0.18231095,0.15519019961357117,0.21445178985595703
E,1,16,0.2148692,0.1790896,0.1424790322780609,0.2616512179374695
E,1,17,0.20389242,0.18325049,0.15409605205059052,0.22787430882453918
E,1,18,0.21547696,0.207795,0.17765755951404572,0.24336594343185425
E,1,19,0.24336214,0.20679949,0.16218675673007965,0.32048171758651733
E,1,20,0.24696943,0.21014822,0.15884806215763092,0.3257693946361542
E,1,21,0.21537288,0.20325147,0.1748267114162445,0.23711657524108887
E,1,22,0.225026,0.21971005,0.18868428468704224,0.25411808490753174
E,1,23,0.24618039,0.24842519,0.2147321105003357,0.2783277928829193
E,1,24,0.24021871,0.24072923,0.20636969804763794,0.2734350562095642
E,1,25,0.2668606,0.24973486,0.20967228710651398,0.3059661388397217
E,1,26,0.25395092,0.24803352,0.2123856395483017,0.2854350507259369
E,1,27,0.24755561,0.24422145,0.21091510355472565,0.2778782248497009
E,1,28,0.22202133,0.22350949,0.1871093362569809,0.25629258155822754
E,1,29,0.25998765,0.2463767,0.20654994249343872,0.29703792929649353
E,1,30,0.28312266,0.2459821,0.18663103878498077,0.3824930191040039
E,1,31,0.23839279,0.21791597,0.18356524407863617,0.2623279392719269
E,1,32,0.19774137,0.16583046,0.13861806690692902,0.20570917427539825
C,0,1,0.13951561,0.13441569,0.11019975319504738,0.16232570633292198
C,0,2,0.20586908,0.20466426,0.17872124165296555,0.23159174248576164
C,0,3,0.21413472,0.21082023,0.17945287376642227,0.2452111393213272
C,0,4,0.17615734,0.17198506,0.1489189751446247,0.20097431167960167
C,0,5,0.15443608,0.15132228,0.12732480466365814,0.17685897275805473
C,0,6,0.17057335,0.16770723,0.1432758942246437,0.19379542022943497
C,0,7,0.1517018,0.14605197,0.12338298559188843,0.17416409775614738
C,0,8,0.18263523,0.17890161,0.1474056877195835,0.21309014409780502
C,0,9,0.14345747,0.13836128,0.1151450015604496,0.16694781556725502
C,0,10,0.19815023,0.19453812,0.16484052315354347,0.2311960980296135
C,0,11,0.19202635,0.18794653,0.14965326711535454,0.2318386808037758
C,0,12,0.21476863,0.21342565,0.17422955110669136,0.25542042404413223
C,0,13,0.25099242,0.2497987,0.20759130269289017,0.29301097244024277
