model,group,classifier,seed,AUROC,HALL_AUPR
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,44,0.8021566548818132,0.4321715532980062
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,45,0.8021566548818132,0.4321715532980062
internvl_2_5_8b,ae_only_generation,three_hidden,43,0.7778023295557717,0.39439224530966005
internvl_2_5_8b,ae_only_generation,three_hidden,44,0.7578219294404153,0.3383332271115465
internvl_2_5_8b,ae_only_generation,three_hidden,45,0.7644235390876173,0.36904193805054586
internvl_2_5_8b,ae_only_generation,one_hidden,43,0.7209599938049411,0.32259295128243853
internvl_2_5_8b,ae_only_generation,one_hidden,44,0.7187770366256154,0.3230102216713333
internvl_2_5_8b,ae_only_generation,one_hidden,45,0.7224927368274889,0.324578002828915
internvl_2_5_8b,ae_only_generation,xgb,43,0.7447996218877839,0.3450620129639159
internvl_2_5_8b,ae_only_generation,xgb,44,0.7447996218877839,0.3450620129639159
internvl_2_5_8b,ae_only_generation,xgb,45,0.7447996218877839,0.3450620129639159
internvl_2_5_8b,ae_only_vp_generation,three_hidden,43,0.8041366704762719,0.4495957819461065
internvl_2_5_8b,ae_only_vp_generation,three_hidden,44,0.8199741249479295,0.478568516606729
internvl_2_5_8b,ae_only_vp_generation,three_hidden,45,0.8026386411458724,0.4378216229588709
internvl_2_5_8b,ae_only_vp_generation,one_hidden,43,0.7829559776977879,0.42114344628385625
internvl_2_5_8b,ae_only_vp_generation,one_hidden,44,0.7825741270841566,0.4160004763520806
internvl_2_5_8b,ae_only_vp_generation,one_hidden,45,0.7782896563878533,0.4172551664523164
internvl_2_5_8b,ae_only_vp_generation,xgb,43,0.8274402390438247,0.46526722191687564
internvl_2_5_8b,ae_only_vp_generation,xgb,44,0.8274402390438247,0.46526722191687564
internvl_2_5_8b,ae_only_vp_generation,xgb,45,0.8274402390438247,0.46526722191687564
