model,group,seed,threshold_rule,threshold,auc,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,45,fixed_0.5,0.5,0.8518586511861401,0.9674168637453907,0.8963210702341137,0.9342629482071713,0.9148988051694709,0.49603382807486873,0.5416666666666666,0.41823056300268097,0.4720121028744327
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,45,train_f1,0.5085581541061401,0.8518586511861401,0.9674168637453907,0.8978906999041227,0.9327689243027888,0.9149975574010747,0.49603382807486873,0.5423728813559322,0.4289544235924933,0.47904191616766467
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,ensemble,fixed_0.5,0.5,0.8562532710979139,0.9688459694878035,0.8921568627450981,0.9516932270916335,0.9209638554216868,0.518676864445467,0.5941422594142259,0.3806970509383378,0.46405228758169936
internvl_2_5_8b,full/schedule_off/val_epoch_transfer,ensemble,train_f1,0.5378057956695557,0.8562532710979139,0.9688459694878035,0.896437054631829,0.9397410358565738,0.9175784099197666,0.518676864445467,0.5615942028985508,0.4155495978552279,0.4776579352850539
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,43,fixed_0.5,0.5,0.8663442305453544,0.9814287538191263,0.9166163141993958,0.9793415106520336,0.9469413233458177,0.4364004199570495,0.5844155844155844,0.2459016393442623,0.34615384615384615
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,43,train_f1,0.46184828877449036,0.8663442305453544,0.9814287538191263,0.9136690647482014,0.9838605551969012,0.9474665837737022,0.4364004199570495,0.609375,0.21311475409836064,0.3157894736842105
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,44,fixed_0.5,0.5,0.8632045352721833,0.980935878038725,0.9132007233273056,0.9780503550677857,0.9445137157107232,0.40720387364509786,0.5342465753424658,0.21311475409836064,0.3046875
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,44,train_f1,0.53866046667099,0.8632045352721833,0.980935878038725,0.9162112932604736,0.974176888315042,0.9443053817271589,0.40720387364509786,0.5294117647058824,0.2459016393442623,0.3358208955223881
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,45,fixed_0.5,0.5,0.8748284632779124,0.9829854174657423,0.9151113786875377,0.9812782440284055,0.9470404984423676,0.4382735881512367,0.5915492957746479,0.22950819672131148,0.33070866141732286
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,45,train_f1,0.551507294178009,0.8748284632779124,0.9829854174657423,0.9175257731958762,0.9767591994835377,0.9462163852407754,0.4382735881512367,0.5662650602409639,0.2568306010928962,0.3533834586466165
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,ensemble,fixed_0.5,0.5,0.8765182543294281,0.983167773676507,0.9146121467227901,0.9819238218205294,0.9470734744707348,0.4445261782044652,0.5942028985507246,0.22404371584699453,0.3253968253968254
qwen2_5_vl_7b,full/schedule_off/val_epoch_transfer,ensemble,train_f1,0.54677814245224,0.8765182543294281,0.983167773676507,0.9165154264972777,0.9780503550677857,0.9462835727670206,0.4445261782044652,0.569620253164557,0.2459016393442623,0.3435114503816794
qwen3_vl_8b,full/schedule_off/val_epoch_transfer,43,fixed_0.5,0.5,0.8902379915966646,0.974842437918316,0.9120750293083235,0.929510155316607,0.9207100591715977,0.6458287825731758,0.6217948717948718,0.563953488372093,0.5914634146341463
qwen3_vl_8b,full/schedule_off/val_epoch_transfer,43,train_f1,0.5634652376174927,0.8902379915966646,0.974842437918316,0.9175340272217775,0.9127837514934289,0.9151527250948293,0.6458287825731758,0.5860113421550095,0.6007751937984496,0.5933014354066986
qwen3_vl_8b,full/schedule_off/val_epoch_transfer,44,fixed_0.5,0.5,0.887170094992884,0.9734622835000769,0.9071017274472168,0.9410593389088012,0.9237685691946833,0.6447832034750806,0.6492890995260664,0.5310077519379846,0.5842217484008528
qwen3_vl_8b,full/schedule_off/val_epoch_transfer,44,train_f1,0.5442255139350891,0.887170094992884,0.9734622835000769,0.9128225175918686,0.9299084030266827,0.921286249753403,0.6447832034750806,0.6247334754797441,0.5678294573643411,0.5949238578680203
