model,group,classifier,reference,AUROC_delta_pp,HALL_AUPR_delta_pp,reference_AUROC,reference_HALL_AUPR
qwen3_vl_8b,vp_generation,three_hidden,legacy U + frozen-RMS S,0.4532383095773751,0.5039456502934248,0.8966520179427574,0.6641066546195121
qwen3_vl_8b,vp_generation,one_hidden,AE only,8.772653554335086,11.678624929302172,0.7909851691317891,0.5165247838358855
qwen3_vl_8b,vp_generation,one_hidden,three_hidden same feature,-2.247269636339122,-3.5835077993539133,0.9011844010385311,0.6691461111224464
qwen3_vl_8b,vp_generation,one_hidden,legacy U + frozen-RMS S,-0.3179807297503445,0.324466662672962,0.8818915119726434,0.6300663665021776
qwen3_vl_8b,vp_generation,xgb,AE only,2.0666432040108873,4.987425440528881,0.8915207196860943,0.6520223840282359
qwen3_vl_8b,vp_generation,xgb,three_hidden same feature,1.100275068767198,3.2750527311078304,0.9011844010385311,0.6691461111224464
qwen3_vl_8b,vp_generation,xgb,legacy U + frozen-RMS S,0.22243215124768678,0.5438376187275606,0.9099628302137263,0.6964582622462491
internvl_2_5_8b,visual,three_hidden,AE only,2.467320174173737,7.522593676670153,0.8311922106035198,0.4632983284175436
internvl_2_5_8b,visual,three_hidden,legacy U + frozen-RMS S,0.16756032171582058,0.9613346256916011,0.8541898091280989,0.5289109189273291
internvl_2_5_8b,visual,three_hidden,legacy AE_V + visual-only S_E,-0.2388569048203948,0.8183922068928595,0.8582539813934611,0.5303403431153165
internvl_2_5_8b,visual,one_hidden,AE only,5.43992484040603,12.187121066832058,0.7908286425344199,0.41732682156696804
internvl_2_5_8b,visual,one_hidden,three_hidden same feature,-1.0637521406776984,0.06737670510434945,0.8558654123452571,0.5385242651842451
internvl_2_5_8b,visual,one_hidden,legacy U + frozen-RMS S,0.04779808380419581,1.9652847354651781,0.8447499101004382,0.5195451848806368
internvl_2_5_8b,visual,xgb,AE only,4.734814094827133,7.3792325005424155,0.805654726936757,0.4331532699126642
internvl_2_5_8b,visual,xgb,three_hidden same feature,-0.2862544460228822,-3.1578670266156794,0.8558654123452571,0.5385242651842451
internvl_2_5_8b,visual,xgb,legacy U + frozen-RMS S,0.8177077213932571,-1.5318782463303315,0.8448257906710958,0.5222643773813916
internvl_2_5_8b,visual_prompt_sum,three_hidden,AE only,5.10066525675672,8.604047692363997,0.8074369189907039,0.43480565735202453
internvl_2_5_8b,visual_prompt_sum,three_hidden,legacy U + frozen-RMS S,0.4421100228220509,-0.40588788252471364,0.8540224713300506,0.5249050131009116
