model,group,classifier,index,validation_AUROC,validation_HALL_AUPR,seconds,n_iter,convergence_warning,params
qwen2_5_vl_7b,generation,one_hidden,9,0.778373316004172,0.2753369447586185,1.0275784239638597,59,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,generation,one_hidden,10,0.769523975950328,0.2651927379936703,1.03853794420138,52,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,generation,one_hidden,11,0.7681587584165661,0.25591417304788655,2.8648858349770308,178,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,generation,xgb,0,0.7894452302029806,0.31359482788614224,0.5684076820034534,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100}"
qwen2_5_vl_7b,generation,xgb,1,0.7935627262848062,0.32993079502687783,0.7744111339561641,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 200}"
qwen2_5_vl_7b,generation,xgb,2,0.7885496475008327,0.3373878401349032,1.7439449201337993,,False,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 500}"
qwen2_5_vl_7b,generation,xgb,3,0.8011260314218467,0.3462500843186823,0.8383087101392448,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100}"
qwen2_5_vl_7b,generation,xgb,4,0.7967327613982012,0.33945381073140424,1.5528863628860563,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 200}"
qwen2_5_vl_7b,generation,xgb,5,0.7895025693393986,0.32999065510758485,3.0319143990054727,,False,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500}"
qwen2_5_vl_7b,generation,xgb,6,0.7987669355235062,0.3607550940291855,1.4718055119737983,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,generation,xgb,7,0.7967901005346192,0.3440915594025537,2.302508112974465,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,generation,xgb,8,0.7928965001283304,0.33647044907095913,3.7608725510071963,,False,"{""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 500}"
qwen2_5_vl_7b,generation,xgb,9,0.7921756652705043,0.3091170477120404,0.4454689919948578,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 100}"
qwen2_5_vl_7b,generation,xgb,10,0.7949170220782978,0.32213286585827827,0.798401010921225,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200}"
qwen2_5_vl_7b,generation,xgb,11,0.8016448140846762,0.3342371538259684,1.7503328588791192,,False,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500}"
qwen2_5_vl_7b,generation,xgb,12,0.7945948307403301,0.34999913002598915,1.0493753890041262,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 100}"
qwen2_5_vl_7b,generation,xgb,13,0.7970303788205613,0.3379242125736179,1.665877120103687,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 200}"
qwen2_5_vl_7b,generation,xgb,14,0.7951136134031598,0.3312681945939822,3.5984029010869563,,False,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 500}"
qwen2_5_vl_7b,generation,xgb,15,0.7969539266386706,0.34873991501593626,1.6502328889910132,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 100}"
qwen2_5_vl_7b,generation,xgb,16,0.7976201527951463,0.3499057889552991,2.668764046160504,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 200}"
qwen2_5_vl_7b,generation,xgb,17,0.7942972133179701,0.33615368057586864,5.081953011918813,,False,"{""learning_rate"": 0.05, ""max_depth"": 8, ""n_estimators"": 500}"
