model,case_id,layer,strategy,lambda,finite_effect_norm
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,deterministic_random_region,0.75,0.5659665465354919
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,deterministic_random_region,1.0,0.5871831178665161
qwen2_5_vl_7b,qwen2_5_vl_7b:148197:18:7,7,deterministic_random_region,1.25,0.6085266470909119
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_p_ffn_token,0.0,2.6825969219207764
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_p_ffn_token,0.25,2.7737743854522705
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_p_ffn_token,0.5,2.879866123199463
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_p_ffn_token,0.75,2.999389171600342
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_p_ffn_token,1.0,3.1309101581573486
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_p_ffn_token,1.25,3.2730703353881836
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_8_region,0.0,1.9872219562530518
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_8_region,0.25,2.221635103225708
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_8_region,0.5,2.497939348220825
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_8_region,0.75,2.803889751434326
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_8_region,1.0,3.1309101581573486
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,highest_8_region,1.25,3.473139524459839
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,deterministic_random_region,0.0,2.6768033504486084
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,deterministic_random_region,0.25,2.7861573696136475
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,deterministic_random_region,0.5,2.8985085487365723
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,deterministic_random_region,0.75,3.013524055480957
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,deterministic_random_region,1.0,3.1309101581573486
qwen2_5_vl_7b,qwen2_5_vl_7b:156533:122:21,21,deterministic_random_region,1.25,3.2504045963287354
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_p_ffn_token,0.0,22.39534568786621
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_p_ffn_token,0.25,22.850645065307617
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_p_ffn_token,0.5,23.30942153930664
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_p_ffn_token,0.75,23.771345138549805
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_p_ffn_token,1.0,24.236421585083008
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_p_ffn_token,1.25,24.70452308654785
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_8_region,0.0,18.540510177612305
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_8_region,0.25,19.918004989624023
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_8_region,0.5,21.330291748046875
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_8_region,0.75,22.771530151367188
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_8_region,1.0,24.236421585083008
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,highest_8_region,1.25,25.721263885498047
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,deterministic_random_region,0.0,23.07402229309082
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,deterministic_random_region,0.25,23.363746643066406
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,deterministic_random_region,0.5,23.65409278869629
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,deterministic_random_region,0.75,23.94497299194336
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,deterministic_random_region,1.0,24.236421585083008
qwen2_5_vl_7b,qwen2_5_vl_7b:167588:8:28,28,deterministic_random_region,1.25,24.5285701751709
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_p_ffn_token,0.0,63.79304885864258
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_p_ffn_token,0.25,64.29940795898438
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_p_ffn_token,0.5,64.8705062866211
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_p_ffn_token,0.75,65.50717163085938
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_p_ffn_token,1.0,66.21036529541016
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_p_ffn_token,1.25,66.98047637939453
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_8_region,0.0,45.85064697265625
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_8_region,0.25,50.78388214111328
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_8_region,0.5,55.861236572265625
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_8_region,0.75,61.01761245727539
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_8_region,1.0,66.21036529541016
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,highest_8_region,1.25,71.41109466552734
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,deterministic_random_region,0.0,62.69940185546875
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,deterministic_random_region,0.25,63.54965591430664
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,deterministic_random_region,0.5,64.41873168945312
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,deterministic_random_region,0.75,65.30596160888672
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,deterministic_random_region,1.0,66.21036529541016
qwen2_5_vl_7b,qwen2_5_vl_7b:17409:67:28,28,deterministic_random_region,1.25,67.13131713867188
