feature_set,seed,threshold_rule,auroc,real_aupr,hall_aupr,precision,recall,f1,decision_threshold
G_JS,43,fixed_0.5,0.8684679345391174,0.9822466179697193,0.40352166780703075,0.9036073329390893,0.986442866365397,0.9432098765432099,0.5
G_JS,43,train_f1,0.8684679345391174,0.9822466179697193,0.40352166780703075,0.9078396169958108,0.9793415106520336,0.9422360248447205,0.5233451128005981
G_JS,44,fixed_0.5,0.86971675715339,0.9824384628172584,0.3987165711393636,0.9036073329390893,0.986442866365397,0.9432098765432099,0.5
G_JS,44,train_f1,0.86971675715339,0.9824384628172584,0.3987165711393636,0.9061757719714965,0.9851517107811492,0.9440148468914321,0.5058375000953674
G_JS,45,fixed_0.5,0.87048933385544,0.9825171581079598,0.40904623555377256,0.9052693901716993,0.987088444157521,0.9444101297096974,0.5
G_JS,45,train_f1,0.87048933385544,0.9825171581079598,0.40904623555377256,0.9108970499698976,0.9767591994835377,0.9426791277258567,0.5346406698226929
H_JS,43,fixed_0.5,0.8804763870221224,0.9838345807111795,0.4261664230311945,0.9097429766885834,0.9825693996126533,0.9447548106765984,0.5
H_JS,43,train_f1,0.8804763870221224,0.9838345807111795,0.4261664230311945,0.9150485436893204,0.973531310522918,0.9433844228964654,0.5370386242866516
H_JS,44,fixed_0.5,0.8822261497811034,0.9844208216514545,0.42771453003924226,0.9180929095354523,0.9696578437701743,0.9431711145996861,0.5
H_JS,44,train_f1,0.8822261497811034,0.9844208216514545,0.42771453003924226,0.92336217552534,0.9644932214331827,0.943479633722766,0.5166484117507935
H_JS,45,fixed_0.5,0.8770826939290993,0.9833915968283262,0.41751423253535214,0.9084380610412927,0.9799870884441575,0.9428571428571428,0.5
H_JS,45,train_f1,0.8770826939290993,0.9833915968283262,0.41751423253535214,0.9074074074074074,0.9806326662362814,0.9426000620539869,0.4953075647354126
C_OT,43,fixed_0.5,0.7978512489990016,0.969414218493734,0.3512574067890382,0.9052383755150089,0.9928986442866365,0.9470443349753694,0.5
C_OT,43,train_f1,0.7978512489990016,0.969414218493734,0.3512574067890382,0.915327564894932,0.9561007101355713,0.9352699715819387,0.7506757378578186
C_OT,44,fixed_0.5,0.7797239184808108,0.9655643461847302,0.3501836273732409,0.9149468417761101,0.9444803098773402,0.9294790343074968,0.5
C_OT,44,train_f1,0.7797239184808108,0.9655643461847302,0.3501836273732409,0.9107468123861566,0.9683666881859264,0.9386733416770964,0.42023682594299316
C_OT,45,fixed_0.5,0.8091700268461585,0.9714601268774277,0.3569463375984697,0.912911084043849,0.9677211103938025,0.9395173926668756,0.5
C_OT,45,train_f1,0.8091700268461585,0.9714601268774277,0.3569463375984697,0.9148009950248757,0.9496449322143318,0.9318973709217612,0.5578446388244629
D_OT,43,fixed_0.5,0.8207904271043895,0.974384768727692,0.37513608848166463,0.9096349491322562,0.9812782440284055,0.9440993788819876,0.5
D_OT,43,train_f1,0.8207904271043895,0.974384768727692,0.37513608848166463,0.9137614678899083,0.9644932214331827,0.9384422110552764,0.5743398666381836
D_OT,44,fixed_0.5,0.8228682703806793,0.9731906644238972,0.40345647364991344,0.9137724550898204,0.9851517107811492,0.9481205343274309,0.5
D_OT,44,train_f1,0.8228682703806793,0.9731906644238972,0.40345647364991344,0.920625,0.9509360877985797,0.9355350905049222,0.6102166771888733
D_OT,45,fixed_0.5,0.8107645687152296,0.9722078967557427,0.36697985465967586,0.906508875739645,0.9890251775338929,0.9459709786971288,0.5
D_OT,45,train_f1,0.8107645687152296,0.9722078967557427,0.36697985465967586,0.9146567717996289,0.9548095545513234,0.934301958307012,0.6239662766456604
E_OT,43,fixed_0.5,0.7984280357149156,0.9676735796861828,0.37245226036655743,0.9121338912133892,0.9851517107811492,0.9472377405338299,0.5
E_OT,43,train_f1,0.7984280357149156,0.9676735796861828,0.37245226036655743,0.9224464060529635,0.9444803098773402,0.9333333333333333,0.7073672413825989
E_OT,44,fixed_0.5,0.7997297745416575,0.9688993083513089,0.3604850155946096,0.9171339563862928,0.9502905100064558,0.9334178820545339,0.5
E_OT,44,train_f1,0.7997297745416575,0.9688993083513089,0.3604850155946096,0.9151702786377709,0.9541639767591995,0.934260429835651,0.49106040596961975
E_OT,45,fixed_0.5,0.7955299911453537,0.9679354193406138,0.37240546099851835,0.916156670746634,0.9664299548095545,0.94062205466541,0.5
E_OT,45,train_f1,0.7955299911453537,0.9679354193406138,0.37240546099851835,0.919454770755886,0.9580374435119432,0.9383496680366741,0.5278963446617126
G_OT,43,fixed_0.5,0.8663124808178729,0.9819187409722743,0.4019459339299895,0.9031877213695395,0.9877340219496449,0.9435707678075855,0.5
G_OT,43,train_f1,0.8663124808178729,0.9819187409722743,0.4019459339299895,0.9072966507177034,0.9793415106520336,0.941943495808755,0.519371747970581
G_OT,44,fixed_0.5,0.8664042022528194,0.9816316137182043,0.38839792552057745,0.9000587889476779,0.9883795997417689,0.9421538461538461,0.5
G_OT,44,train_f1,0.8664042022528194,0.9816316137182043,0.38839792552057745,0.9,0.9877340219496449,0.9418282548476454,0.5053712129592896
G_OT,45,fixed_0.5,0.8719780432995727,0.9825854877016185,0.4155949141411862,0.9067695961995249,0.9857972885732731,0.9446334673677699,0.5
G_OT,45,train_f1,0.8719780432995727,0.9825854877016185,0.4155949141411862,0.9119951778179626,0.9767591994835377,0.9432668329177057,0.5410330891609192
H_OT,43,fixed_0.5,0.8892569505445078,0.9853923021577773,0.4377310855517705,0.9153986609860012,0.9709489993544222,0.9423558897243107,0.5
H_OT,43,train_f1,0.8892569505445078,0.9853923021577773,0.4377310855517705,0.9170225747406956,0.9703034215622982,0.9429109159347553,0.5063056349754333
H_OT,44,fixed_0.5,0.8823566764385272,0.9844793549633324,0.4286039428444954,0.9244114002478315,0.9632020658489348,0.943408156813152,0.5
H_OT,44,train_f1,0.8823566764385272,0.9844793549633324,0.4286039428444954,0.9218461538461539,0.9670755326016786,0.9439193446754883,0.485274076461792
H_OT,45,fixed_0.5,0.8847978777071053,0.9845454907351461,0.44034044380250675,0.9110576923076923,0.9786959328599096,0.9436663554310614,0.5
H_OT,45,train_f1,0.8847978777071053,0.9845454907351461,0.44034044380250675,0.9246575342465754,0.9586830213040671,0.9413629160063391,0.588340699672699
