model,case_id,layer,control,spearman,js,top32_overlap,gross_relative_error,kappa_difference,candidate_completeness_relative_error
qwen2_5_vl_7b,qwen2_5_vl_7b:393547:7:21,21,fp32_trapezoid_vs_gauss_k64,1.0,3.134241614599517e-14,1.0,1.5396150654413384e-06,1.0132789611816406e-06,4.007421921414789e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:39900:37:14,14,native_vs_fp32_gauss_k64,0.9999996405671061,2.2570969207864047e-09,1.0,0.00034811764670269297,0.0006860196590423584,2.611069476188277e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:39900:37:14,14,fp32_trapezoid_vs_gauss_k64,1.0,2.2781628585597895e-15,1.0,5.501920995715654e-07,2.086162567138672e-07,3.4706406495388364e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:401429:17:21,21,native_vs_fp32_gauss_k64,1.0,1.106170523913401e-09,1.0,0.00040672079690605976,0.0013508796691894531,2.2494045879284386e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:401429:17:21,21,fp32_trapezoid_vs_gauss_k64,1.0,1.6764157475320047e-14,1.0,1.0566215015160486e-06,5.066394805908203e-07,4.40303028881317e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:414744:22:7,7,native_vs_fp32_gauss_k64,0.9999995985016081,2.960019694342696e-09,1.0,0.00025523181749503117,0.0072748661041259766,1.0492214641999453e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:414744:22:7,7,fp32_trapezoid_vs_gauss_k64,1.0,2.2762815165964546e-16,1.0,0.0,0.0,1.0501353244762868e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:431479:95:14,14,native_vs_fp32_gauss_k64,0.9999982466086489,5.482945778788835e-09,1.0,0.000950045753412074,0.003827214241027832,1.3985868463350926e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:431479:95:14,14,fp32_trapezoid_vs_gauss_k64,1.0,2.2730119329724073e-16,1.0,0.0,0.0,1.3993826541991439e-05
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:14,14,native_vs_fp32_gauss_k64,0.9999994155362164,1.5697176689034662e-09,1.0,0.00075959071798082,0.0013158917427062988,3.108618557234877e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:14,14,fp32_trapezoid_vs_gauss_k64,1.0,9.539670468512543e-16,1.0,3.537977833389548e-07,1.7881393432617188e-07,3.324956423966796e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:28,28,native_vs_fp32_gauss_k64,0.9999918175070283,3.2220904945312384e-08,1.0,0.0007254420436656138,0.014121294021606445,7.984814146766439e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:460131:54:28,28,fp32_trapezoid_vs_gauss_k64,1.0,3.0482745658039764e-15,1.0,9.038454829146993e-08,5.960464477539063e-08,7.97560642240569e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:466090:5:28,28,native_vs_fp32_gauss_k64,0.9999956165216225,2.079964732856468e-08,1.0,0.001929675499935301,0.007256209850311279,5.377050456445431e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:466090:5:28,28,fp32_trapezoid_vs_gauss_k64,1.0,6.942534271520026e-14,1.0,0.0,0.0,4.705568244389724e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:46:28,28,native_vs_fp32_gauss_k64,0.9999973902604521,1.7309304595658666e-08,1.0,0.002778714521589599,0.004456222057342529,4.199431259621633e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:46:28,28,fp32_trapezoid_vs_gauss_k64,1.0,1.290970264012975e-12,1.0,3.357177929375144e-06,2.086162567138672e-06,8.464205166092142e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:9:21,21,native_vs_fp32_gauss_k64,0.9999997992508041,1.476657680965607e-09,1.0,0.001715106542763767,0.0010118484497070312,2.9559735139628174e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:475678:9:21,21,fp32_trapezoid_vs_gauss_k64,1.0,7.442015850788873e-15,1.0,5.209694908804812e-07,2.384185791015625e-07,3.917308731615776e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:477118:72:21,21,native_vs_fp32_gauss_k64,0.999997618452232,2.6265040531970457e-09,1.0,0.0007263060820639797,0.001607060432434082,7.670994818909094e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:477118:72:21,21,fp32_trapezoid_vs_gauss_k64,0.9999999999999999,4.14030693098734e-16,1.0,0.0,0.0,7.678204383410048e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:478407:4:28,28,native_vs_fp32_gauss_k64,0.9999981268541218,2.9292110172302857e-08,1.0,0.002702361766311499,0.026576131582260132,8.511139640177134e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:478407:4:28,28,fp32_trapezoid_vs_gauss_k64,1.0,1.2749399669462967e-15,1.0,6.02521504293749e-08,2.9802322387695312e-08,8.35557784739649e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:501429:15:28,28,native_vs_fp32_gauss_k64,0.9999969887620601,1.3022827151438595e-07,1.0,0.001320850085091978,0.0025177001953125,6.22049265075475e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:501429:15:28,28,fp32_trapezoid_vs_gauss_k64,1.0,3.1072848725304394e-14,1.0,9.286596247026431e-08,2.9802322387695312e-08,5.8695400184660684e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:513965:4:7,7,native_vs_fp32_gauss_k64,0.9999988310724327,1.3208847564756409e-09,1.0,0.0005277839790412979,0.0005519390106201172,2.648084318934707e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:513965:4:7,7,fp32_trapezoid_vs_gauss_k64,1.0,2.5814358427672676e-15,1.0,4.656637407979024e-07,2.980232238769531e-07,5.203939053899376e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:544782:41:28,28,native_vs_fp32_gauss_k64,0.9999985947556281,2.1816375596967697e-08,1.0,0.003702596258745108,0.0008991658687591553,7.374742835963843e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:544782:41:28,28,fp32_trapezoid_vs_gauss_k64,1.0,4.834206197190794e-15,1.0,3.4624257214466044e-07,1.4901161193847656e-07,7.905591701273806e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:562507:7:14,14,native_vs_fp32_gauss_k64,0.999997190281183,2.7053640033991104e-09,1.0,0.00032157697293709543,0.0004247426986694336,3.939526322938036e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:562507:7:14,14,fp32_trapezoid_vs_gauss_k64,1.0,9.53850022301274e-16,1.0,3.117319703580304e-07,1.1920928955078125e-07,4.4025637180311605e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:22:21,21,native_vs_fp32_gauss_k64,0.9999998308847561,9.680147926761798e-10,1.0,0.0006448183335539309,0.0004534125328063965,3.041640638912213e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:22:21,21,fp32_trapezoid_vs_gauss_k64,1.0,1.9115701344989582e-14,1.0,6.45019386057648e-07,3.5762786865234375e-07,4.004884885944193e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:64:14,14,native_vs_fp32_gauss_k64,0.9999993235390241,1.4804109466304584e-09,1.0,0.000739063919029896,0.000875324010848999,2.2310523490887135e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:56413:64:14,14,fp32_trapezoid_vs_gauss_k64,1.0,3.2487363188685706e-15,1.0,5.075758597501189e-07,2.086162567138672e-07,3.6799847293877974e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:569997:30:14,14,native_vs_fp32_gauss_k64,0.9999995985016081,2.944896863810788e-09,1.0,0.00104734289516084,0.0009952783584594727,2.380073055974208e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:569997:30:14,14,fp32_trapezoid_vs_gauss_k64,1.0,1.8886280671280742e-15,1.0,3.207958302957978e-07,1.7881393432617188e-07,2.8690847102552652e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:571678:7:21,21,native_vs_fp32_gauss_k64,0.999998985308536,2.7058195174643155e-09,1.0,0.0007597444471376152,0.000915825366973877,4.882882421952672e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:571678:7:21,21,fp32_trapezoid_vs_gauss_k64,1.0,1.2775589059652427e-15,1.0,1.5029098589233545e-07,5.960464477539063e-08,5.190988758840831e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:71302:9:21,21,native_vs_fp32_gauss_k64,0.9999993977524122,3.493767351660121e-09,1.0,0.0005732736193373755,0.00032138824462890625,2.1537396150961285e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:71302:9:21,21,fp32_trapezoid_vs_gauss_k64,1.0,2.130711119000762e-14,1.0,9.623554061002335e-07,4.172325134277344e-07,4.5337783376453444e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:7,7,native_vs_fp32_gauss_k64,0.9999997077681082,6.485694028250082e-09,1.0,0.0004753186204716157,0.0017139613628387451,9.187029718304984e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:7,7,fp32_trapezoid_vs_gauss_k64,1.0,4.924022330127397e-16,1.0,7.73746592420007e-08,5.960464477539063e-08,9.217286788043566e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:14,14,native_vs_fp32_gauss_k64,0.9999997077681082,6.697470231251649e-09,1.0,0.000986704491933918,0.003006458282470703,6.006594503560336e-06
qwen2_5_vl_7b,qwen2_5_vl_7b:96625:85:14,14,fp32_trapezoid_vs_gauss_k64,1.0,1.8562974800350967e-16,1.0,0.0,0.0,6.004310307616834e-06
