feature_set,seed,threshold_rule,decision_threshold,auroc,real_aupr,real_precision,real_recall,real_f1,hall_aupr,hall_precision,hall_recall,hall_f1
AE+S+N,45,train_f1,0.5108744502067566,0.8723890258830833,0.9822211418169601,0.9129383313180169,0.9748224661071659,0.9428660630658757,0.4360505027349399,0.5,0.21311475409836064,0.2988505747126437
U,43,fixed_0.5,0.5,0.8826124381321283,0.9843714964547001,0.9120481927710843,0.9774047772756617,0.9435961358678716,0.42998782467837293,0.5138888888888888,0.20218579234972678,0.2901960784313726
U,43,train_f1,0.5391204953193665,0.8826124381321283,0.9843714964547001,0.9198776758409786,0.9709489993544222,0.9447236180904522,0.42998782467837293,0.5360824742268041,0.28415300546448086,0.37142857142857144
U,44,fixed_0.5,0.5,0.8711701891225434,0.9824067140689106,0.901060070671378,0.9877340219496449,0.9424083769633508,0.40573777937768596,0.4411764705882353,0.08196721311475409,0.1382488479262673
U,44,train_f1,0.5128048062324524,0.8711701891225434,0.9824067140689106,0.9038575667655786,0.9832149774047773,0.9418676561533704,0.40573777937768596,0.44680851063829785,0.11475409836065574,0.1826086956521739
U,45,fixed_0.5,0.5,0.875819760324835,0.9832246989772614,0.9069905213270142,0.9883795997417689,0.9459375965400062,0.42906876902808994,0.5909090909090909,0.14207650273224043,0.2290748898678414
U,45,train_f1,0.5617568492889404,0.875819760324835,0.9832246989772614,0.9160073037127207,0.9715945771465462,0.9429824561403509,0.42906876902808994,0.5056179775280899,0.2459016393442623,0.33088235294117646
H_OT,43,fixed_0.5,0.5,0.8892569505445078,0.9853923021577773,0.9153986609860012,0.9709489993544222,0.9423558897243107,0.4377310855517705,0.4943820224719101,0.24043715846994534,0.3235294117647059
H_OT,43,train_f1,0.5063056349754333,0.8892569505445078,0.9853923021577773,0.9170225747406956,0.9703034215622982,0.9429109159347553,0.4377310855517705,0.5053763440860215,0.2568306010928962,0.34057971014492755
H_OT,44,fixed_0.5,0.5,0.8823566764385272,0.9844793549633324,0.9244114002478315,0.9632020658489348,0.943408156813152,0.4286039428444954,0.5169491525423728,0.3333333333333333,0.4053156146179402
H_OT,44,train_f1,0.485274076461792,0.8823566764385272,0.9844793549633324,0.9218461538461539,0.9670755326016786,0.9439193446754883,0.4286039428444954,0.5233644859813084,0.30601092896174864,0.38620689655172413
H_OT,45,fixed_0.5,0.5,0.8847978777071053,0.9845454907351461,0.9110576923076923,0.9786959328599096,0.9436663554310614,0.44034044380250675,0.5147058823529411,0.1912568306010929,0.2788844621513944
H_OT,45,train_f1,0.588340699672699,0.8847978777071053,0.9845454907351461,0.9246575342465754,0.9586830213040671,0.9413629160063391,0.44034044380250675,0.49206349206349204,0.33879781420765026,0.40129449838187703
H_JS,43,fixed_0.5,0.5,0.8804763870221224,0.9838345807111795,0.9097429766885834,0.9825693996126533,0.9447548106765984,0.4261664230311945,0.5423728813559322,0.17486338797814208,0.2644628099173554
H_JS,43,train_f1,0.5370386242866516,0.8804763870221224,0.9838345807111795,0.9150485436893204,0.973531310522918,0.9433844228964654,0.4261664230311945,0.5119047619047619,0.23497267759562843,0.32209737827715357
H_JS,44,fixed_0.5,0.5,0.8822261497811034,0.9844208216514545,0.9180929095354523,0.9696578437701743,0.9431711145996861,0.42771453003924226,0.5104166666666666,0.2677595628415301,0.35125448028673834
H_JS,44,train_f1,0.5166484117507935,0.8822261497811034,0.9844208216514545,0.92336217552534,0.9644932214331827,0.943479633722766,0.42771453003924226,0.5175438596491229,0.3224043715846995,0.39730639730639733
H_JS,45,fixed_0.5,0.5,0.8770826939290993,0.9833915968283262,0.9084380610412927,0.9799870884441575,0.9428571428571428,0.41751423253535214,0.4918032786885246,0.16393442622950818,0.2459016393442623
H_JS,45,train_f1,0.4953075647354126,0.8770826939290993,0.9833915968283262,0.9074074074074074,0.9806326662362814,0.9426000620539869,0.41751423253535214,0.4827586206896552,0.15300546448087432,0.23236514522821577
