model,scale,source,label,layer,n,mean,median,q25,q75
qwen2_5_vl_7b,raw,generation,1,15,7801,9.828693137598593,9.553693771362305,7.4475812911987305,11.644177436828613
qwen2_5_vl_7b,raw,generation,1,16,7801,13.151532677928081,13.090178489685059,10.368245124816895,15.611929893493652
qwen2_5_vl_7b,raw,generation,1,17,7801,10.026141369897514,9.413239479064941,5.680107593536377,13.007814407348633
qwen2_5_vl_7b,raw,generation,1,18,7801,14.357288186022325,13.752882957458496,10.80322551727295,16.73600196838379
qwen2_5_vl_7b,raw,generation,1,19,7801,18.677480084546758,17.78005027770996,14.611241340637207,21.425617218017578
qwen2_5_vl_7b,raw,generation,1,20,7801,22.921736059762196,22.157651901245117,19.20475959777832,25.46133041381836
qwen2_5_vl_7b,raw,generation,1,21,7801,18.030416172386026,16.99515151977539,12.718459129333496,22.122352600097656
qwen2_5_vl_7b,raw,generation,1,22,7801,18.885508005687203,18.207048416137695,13.412642478942871,23.10347557067871
qwen2_5_vl_7b,raw,generation,1,23,7801,11.670594171765003,10.750535011291504,6.668895244598389,15.39147663116455
qwen2_5_vl_7b,raw,generation,1,24,7801,21.850661828997442,20.134836196899414,17.52077865600586,24.883708953857422
qwen2_5_vl_7b,raw,generation,1,25,7801,20.677592083026685,19.657058715820312,15.071173667907715,24.738988876342773
qwen2_5_vl_7b,raw,generation,1,26,7801,20.911956923724045,19.56846809387207,14.947492599487305,25.348745346069336
qwen2_5_vl_7b,raw,generation,1,27,7801,21.49849845672048,19.008663177490234,14.152318954467773,25.798906326293945
qwen2_5_vl_7b,raw,generation,1,28,7801,155.08564542993614,154.96070861816406,131.34576416015625,177.36026000976562
qwen2_5_vl_7b,raw,visual,0,1,916,0.6691136020662742,0.5796388685703278,0.4197060540318489,0.8315935134887695
qwen2_5_vl_7b,raw,visual,0,2,916,2.2184432334384545,2.033717393875122,1.5150159895420074,2.708423614501953
qwen2_5_vl_7b,raw,visual,0,3,916,1.1136582688993761,0.9146764278411865,0.6966363936662674,1.2393900156021118
qwen2_5_vl_7b,raw,visual,0,4,916,2.197453542567757,1.7366061210632324,1.2360374629497528,2.5651118755340576
qwen2_5_vl_7b,raw,visual,0,5,916,2.8732673830340523,2.2837177515029907,1.4523979127407074,3.7199631333351135
