feature,label,layer,n,mean,std,ci95_low,ci95_high
S,REAL,14,9993,0.6052793414012025,0.057014001163737796,0.6041614756568895,0.6063972071455156
S,HALL,14,1766,0.5950059149064132,0.06285550313620876,0.5920743195247401,0.5979375102880863
S,REAL,15,9993,0.5984382910209769,0.06141618877781129,0.5972341121845572,0.5996424698573966
S,HALL,15,1766,0.6066705880524214,0.06595112327851518,0.6035946122225807,0.609746563882262
S,REAL,16,9993,0.629930876938774,0.07917801502764879,0.628378444397723,0.6314833094798251
S,HALL,16,1766,0.6258915514935184,0.08434178910165983,0.6219578307041602,0.6298252722828765
S,REAL,17,9993,0.6317648736281545,0.059199299502307054,0.6306041610373839,0.632925586218925
S,HALL,17,1766,0.6154254535181471,0.06620254381068598,0.6123377513758248,0.6185131556604695
S,REAL,18,9993,0.4744667147929206,0.05366207845948922,0.47341456973987955,0.4755188598459616
S,HALL,18,1766,0.47672885705296075,0.06585875121300637,0.4736571894778811,0.4798005246280404
S,REAL,19,9993,0.5673364269283695,0.06625355442534196,0.566037402523498,0.568635451333241
S,HALL,19,1766,0.5507069771449131,0.07111950580165022,0.5473899467441989,0.5540240075456273
S,REAL,20,9993,0.6538005009626084,0.1277409671573211,0.6512959012429627,0.6563051006822542
S,HALL,20,1766,0.6454153758550689,0.16626279067494576,0.637660840373418,0.6531699113367199
S,REAL,21,9993,0.43824765415422123,0.0482201010651545,0.4373022092096848,0.43919309909875764
S,HALL,21,1766,0.4610607088422181,0.06015066455349397,0.4582552677652854,0.4638661499191508
S,REAL,22,9993,0.4165505555541406,0.09556820044091059,0.41467676288325395,0.4184243482250273
S,HALL,22,1766,0.4155622328023003,0.09668885928517512,0.41105264176895173,0.4200718238356489
S,REAL,23,9993,0.32381944565769194,0.058679597590914845,0.3226689227914126,0.32496996852397125
S,HALL,23,1766,0.35276719260357514,0.08004399517911508,0.3490339219289414,0.3565004632782089
S,REAL,24,9993,0.3378569052021484,0.06718768598538262,0.3365395654071913,0.33917424499710547
S,HALL,24,1766,0.36501837142090293,0.08009115014289171,0.36128290142771896,0.3687538414140869
S,REAL,25,9993,0.36200074245058167,0.12056189055720727,0.3596369019066341,0.36436458299452923
S,HALL,25,1766,0.35786406462959364,0.09829692559756383,0.3532794730069632,0.36244865625222406
S,REAL,26,9993,0.2924063313127244,0.05091113358889525,0.2914081236605422,0.29340453896490665
S,HALL,26,1766,0.3016693315986599,0.051997880402081115,0.2992441382832361,0.3040945249140837
S,REAL,27,9993,0.29675794947610223,0.08801662839638119,0.29503221944828545,0.298483679503919
S,HALL,27,1766,0.31404112006874074,0.12088994380336082,0.30840278478763317,0.3196794553498483
S,REAL,28,9993,0.2800541104890319,0.05776589017407383,0.27892150255944814,0.28118671841861564
S,HALL,28,1766,0.29172507152045707,0.07495105588067974,0.28822933672703455,0.2952208063138796
S,REAL,29,9993,0.30550300739619823,0.05273918150310684,0.3044689574579012,0.30653705733449527
S,HALL,29,1766,0.30328538441779523,0.05437336718812948,0.3007493978425337,0.3058213709930568
S,REAL,30,9993,0.35808511894618644,0.09146114488194582,0.3562918527534568,0.35987838513891607
S,HALL,30,1766,0.3353740542722045,0.06951158183251648,0.3321320178218494,0.3386160907225596
S,REAL,31,9993,0.2986566695820566,0.0669096916747988,0.29734478038362977,0.29996855878048345
S,HALL,31,1766,0.30616309164705796,0.07535511992173134,0.3026485112121634,0.3096776720819525
