model,group,seed,rule,threshold,AUROC,HALL_AUPR,HALL_F1
qwen3_vl_8b,attention_ratio,45,fixed_0.5,0.5,0.8474325371466324,0.5361436395671595,0.34104046242774566
qwen3_vl_8b,attention_ratio,45,train_f1,0.535269021987915,0.8474325371466324,0.5361436395671595,0.42710997442455245
qwen3_vl_8b,gated_ratio,43,fixed_0.5,0.5,0.8489931124756498,0.5476335369455453,0.44963144963144963
qwen3_vl_8b,gated_ratio,43,train_f1,0.470084011554718,0.8489931124756498,0.5476335369455453,0.3780821917808219
qwen3_vl_8b,gated_ratio,44,fixed_0.5,0.5,0.8589875092229847,0.5564129530084592,0.4287515762925599
qwen3_vl_8b,gated_ratio,44,train_f1,0.5046825408935547,0.8589875092229847,0.5564129530084592,0.4392059553349876
qwen3_vl_8b,gated_ratio,45,fixed_0.5,0.5,0.8561654302464505,0.5644504485848528,0.38866396761133604
qwen3_vl_8b,gated_ratio,45,train_f1,0.5016925930976868,0.8561654302464505,0.5644504485848528,0.393048128342246
qwen3_vl_8b,F_reference,43,fixed_0.5,0.5,0.8905891596355879,0.6266459645854776,0.5992438563327032
qwen3_vl_8b,F_reference,43,train_f1,0.4273279905319214,0.8905891596355879,0.6266459645854776,0.586864406779661
qwen3_vl_8b,F_reference,44,fixed_0.5,0.5,0.8858321833544807,0.633226828724251,0.6138996138996139
qwen3_vl_8b,F_reference,44,train_f1,0.4726244807243347,0.8858321833544807,0.633226828724251,0.6024096385542169
qwen3_vl_8b,F_reference,45,fixed_0.5,0.5,0.88322775138229,0.6250871850149625,0.6020696142991533
qwen3_vl_8b,F_reference,45,train_f1,0.4179501533508301,0.88322775138229,0.6250871850149625,0.5758835758835759
internvl_2_5_8b,attention_ratio,43,fixed_0.5,0.5,0.8175762099056856,0.4197727665670762,0.055415617128463476
internvl_2_5_8b,attention_ratio,43,train_f1,0.5463521480560303,0.8175762099056856,0.4197727665670762,0.2094017094017094
internvl_2_5_8b,attention_ratio,44,fixed_0.5,0.5,0.827596450658492,0.44183187456755835,0.07785888077858881
internvl_2_5_8b,attention_ratio,44,train_f1,0.5478582382202148,0.827596450658492,0.44183187456755835,0.28225806451612906
internvl_2_5_8b,attention_ratio,45,fixed_0.5,0.5,0.8302560535338539,0.45000426546866207,0.11566265060240964
internvl_2_5_8b,attention_ratio,45,train_f1,0.567548394203186,0.8302560535338539,0.45000426546866207,0.2845691382765531
