model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen3_vl_8b,B,44,fixed_0.5,0.5,0.8977124682405169,0.6539985588079614,0.5711974110032363,0.6841085271317829,0.6225749559082893
qwen3_vl_8b,B,44,train_f1,0.3554176986217499,0.8977124682405169,0.6539985588079614,0.6337078651685393,0.5465116279069767,0.586888657648283
qwen3_vl_8b,B,45,fixed_0.5,0.5,0.8602764116955165,0.6084877261899176,0.7911392405063291,0.24224806201550386,0.37091988130563797
qwen3_vl_8b,B,45,train_f1,0.6238170862197876,0.8602764116955165,0.6084877261899176,0.6748466257668712,0.4263565891472868,0.5225653206650831
qwen3_vl_8b,raw_AE_top32,43,fixed_0.5,0.5,0.6851959903556135,0.3163120613370884,0.5344827586206896,0.060077519379844964,0.10801393728222997
qwen3_vl_8b,raw_AE_top32,43,train_f1,0.5806156396865845,0.6851959903556135,0.3163120613370884,0.45806451612903226,0.1375968992248062,0.21162444113263784
qwen3_vl_8b,raw_AE_top32,44,fixed_0.5,0.5,0.6757044199321436,0.3043576680547734,0.4142857142857143,0.1124031007751938,0.17682926829268292
qwen3_vl_8b,raw_AE_top32,44,train_f1,0.5579791069030762,0.6757044199321436,0.3043576680547734,0.37037037037037035,0.1937984496124031,0.2544529262086514
qwen3_vl_8b,raw_AE_top32,45,fixed_0.5,0.5,0.6849285623875103,0.3116899425263238,0.5428571428571428,0.03682170542635659,0.06896551724137931
qwen3_vl_8b,raw_AE_top32,45,train_f1,0.5347040295600891,0.6849285623875103,0.3116899425263238,0.5,0.06782945736434108,0.11945392491467577
qwen3_vl_8b,B_raw_AE_top32,43,fixed_0.5,0.5,0.8706381842374173,0.615553468734245,0.6902654867256637,0.45348837209302323,0.5473684210526316
qwen3_vl_8b,B_raw_AE_top32,43,train_f1,0.5895004272460938,0.8706381842374173,0.615553468734245,0.6495098039215687,0.5135658914728682,0.5735930735930735
qwen3_vl_8b,B_raw_AE_top32,44,fixed_0.5,0.5,0.865947582574656,0.6086554840557334,0.6558265582655827,0.4689922480620155,0.5468926553672316
qwen3_vl_8b,B_raw_AE_top32,44,train_f1,0.5224370956420898,0.865947582574656,0.6086554840557334,0.6544502617801047,0.4844961240310077,0.5567928730512249
qwen3_vl_8b,B_raw_AE_top32,45,fixed_0.5,0.5,0.8681394885758477,0.6342967987448792,0.74609375,0.3701550387596899,0.4948186528497409
