model,scope,metric,layer,mixed_images,valid,mean_H_minus_R,median_H_minus_R,fraction_H_gt_R,ci95_low,ci95_high
qwen3_vl_8b,test,ovir,19,170,170,0.0077157699055616594,0.007675180613114563,0.6294117647058823,0.0037273446055860983,0.011685185294259548
qwen3_vl_8b,test,ovir,20,170,170,-0.0033964949524356853,-0.004244555911265935,0.4235294117647059,-0.008282446254737091,0.0018202295573230118
qwen3_vl_8b,test,ovir,21,170,170,-0.005727999676108189,-0.0028801811068178695,0.4411764705882353,-0.009832957368750632,-0.0016675929971008135
qwen3_vl_8b,test,ovir,22,170,170,-0.0024173102671784553,-0.0027244502086700706,0.43529411764705883,-0.005242776410946802,0.0004422391267322684
qwen3_vl_8b,test,ovir,23,170,170,0.0009085864070028916,-0.0007686141231592614,0.49411764705882355,-0.0021615530217010057,0.0038810738193468717
qwen3_vl_8b,test,ovir,24,170,170,0.003049544948307299,0.002569277606646714,0.5588235294117647,0.0006889947622346138,0.005345602183506547
qwen3_vl_8b,test,ovir,25,170,170,0.004217684438903406,0.004726428563525897,0.6882352941176471,0.0027717456618311077,0.0056812717939372665
qwen3_vl_8b,test,ovir,26,170,170,-0.0017886502443387356,0.0003761558374522078,0.5117647058823529,-0.0039394936145400435,0.00021245130097398537
qwen3_vl_8b,test,ovir,27,170,170,0.0031082225072561987,0.0033662013327913076,0.7647058823529411,0.0022876036618014275,0.003914100882270689
qwen3_vl_8b,test,ovir,28,170,170,-0.001851011982556012,-0.0015448193487062611,0.4470588235294118,-0.003369652550672843,-0.0004255794219468852
qwen3_vl_8b,test,ovir,29,170,170,-0.001474838196624503,-0.0005181313320179459,0.47058823529411764,-0.002667258832769634,-0.0004218915546280857
qwen3_vl_8b,test,ovir,30,170,170,0.0013050904052473594,0.0011963819882990223,0.5823529411764706,-4.2194275116441973e-05,0.002586306938852999
qwen3_vl_8b,test,ovir,31,170,170,0.0008303555934439603,0.0012400231492875058,0.6529411764705882,0.0001452458409044612,0.0014964293319205501
qwen3_vl_8b,test,ovir,32,170,170,0.003648428261834964,0.0030646997295283307,0.7470588235294118,0.0027404141610140203,0.004555041702297813
qwen3_vl_8b,test,ovir,33,170,170,0.0020633755724423237,0.0019203161617954434,0.6529411764705882,0.0008140545920247687,0.0033275107554093753
qwen3_vl_8b,test,ovir,34,170,170,0.0021723211148826907,0.0016850888068664638,0.6529411764705882,0.000555812220240411,0.00381117453927935
qwen3_vl_8b,test,ovir,35,170,170,-0.0002443138890238584,0.004095731774593159,0.6,-0.0040701535934609635,0.0036044623029725465
qwen3_vl_8b,test,ovir,36,170,170,-0.04467137315183633,-0.040277884381998086,0.4,-0.0712030575478721,-0.019883429703845705
