model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
qwen3_vl_8b,validation,ovir,HALL,6,274,274,0,0.914842383951426,0.9006112528992395,0.9165231996259836,0.9321856645142549
qwen3_vl_8b,validation,ovir,HALL,7,274,274,0,0.8789547977312588,0.8601462288909456,0.8819819301098599,0.89829578247116
qwen3_vl_8b,validation,ovir,HALL,8,274,274,0,0.8691992332472699,0.8516834561395507,0.8676586937759929,0.8826591564005125
qwen3_vl_8b,validation,ovir,HALL,9,274,274,0,0.8691069750594993,0.8479154794091697,0.8649293817428843,0.890783264703363
qwen3_vl_8b,validation,ovir,HALL,10,274,274,0,0.7528269347937601,0.6828531273031135,0.7422451438049502,0.8207489723875852
qwen3_vl_8b,validation,ovir,HALL,11,274,274,0,0.6668956951926432,0.6188615110756123,0.6539000707456948,0.7068099526100594
qwen3_vl_8b,validation,ovir,HALL,12,274,274,0,0.7523407130127031,0.6925410078628418,0.7492333699669849,0.8031735985419305
qwen3_vl_8b,validation,ovir,HALL,13,274,274,0,0.7946240683829625,0.7571865257834481,0.7856640472010274,0.822802378403154
qwen3_vl_8b,validation,ovir,HALL,14,274,274,0,0.855965338007786,0.8206194607358953,0.8569190679752926,0.88827570579627
qwen3_vl_8b,validation,ovir,HALL,15,274,274,0,0.7959165508136437,0.7611468034453001,0.793231161788136,0.8239508447221731
qwen3_vl_8b,validation,ovir,HALL,16,274,274,0,0.8304284745774415,0.7870655613975973,0.8316572577133758,0.8669743453649266
qwen3_vl_8b,validation,ovir,HALL,17,274,274,0,0.7555008056012847,0.7312225732605864,0.7541758522254172,0.7822499288325611
qwen3_vl_8b,validation,ovir,HALL,18,274,274,0,0.8425883063971684,0.819000982455895,0.8425597076938074,0.862676954040638
qwen3_vl_8b,validation,ovir,HALL,19,274,274,0,0.8648268673882463,0.8472869041538937,0.8648543938322761,0.881586585922706
qwen3_vl_8b,validation,ovir,HALL,20,274,274,0,0.863863219971612,0.8456091911926091,0.864489705810599,0.8847924011941836
qwen3_vl_8b,validation,ovir,HALL,21,274,274,0,0.9090464806158236,0.8967146560416328,0.9107410130653302,0.9251787474849016
qwen3_vl_8b,validation,ovir,HALL,22,274,274,0,0.9345322027066465,0.9229344741191199,0.9340587201704358,0.947494443955389
