model,group,seed,threshold_rule,threshold,AUROC,HALL_AUPR,HALL_precision,HALL_recall,HALL_F1
qwen3_vl_8b,B_SC,43,fixed_0.5,0.5,0.8827642867507001,0.6338168704876226,0.6555023923444976,0.5310077519379846,0.5867237687366167
qwen3_vl_8b,B_SC,43,train_f1,0.4609958231449127,0.8827642867507001,0.6338168704876226,0.6754617414248021,0.49612403100775193,0.5720670391061452
qwen3_vl_8b,B_SC,44,fixed_0.5,0.5,0.8944670581225553,0.6529955746029967,0.6257668711656442,0.5930232558139535,0.608955223880597
qwen3_vl_8b,B_SC,44,train_f1,0.48328089714050293,0.8944670581225553,0.6529955746029967,0.625531914893617,0.5697674418604651,0.5963488843813387
qwen3_vl_8b,B_SC,45,fixed_0.5,0.5,0.8841222651341848,0.6404856928480682,0.7634854771784232,0.35658914728682173,0.4861294583883752
qwen3_vl_8b,B_SC,45,train_f1,0.647939145565033,0.8841222651341848,0.6404856928480682,0.6595238095238095,0.5368217054263565,0.5918803418803419
qwen3_vl_8b,B_JS_TE,43,fixed_0.5,0.5,0.885190047511878,0.6458978114426356,0.5800711743772242,0.6317829457364341,0.6048237476808905
qwen3_vl_8b,B_JS_TE,43,train_f1,0.3022814095020294,0.885190047511878,0.6458978114426356,0.6329113924050633,0.4844961240310077,0.5488474204171241
qwen3_vl_8b,B_JS_TE,44,fixed_0.5,0.5,0.8968044480255867,0.6524591607074502,0.6130268199233716,0.6201550387596899,0.6165703275529865
qwen3_vl_8b,B_JS_TE,44,train_f1,0.43727433681488037,0.8968044480255867,0.6524591607074502,0.6473118279569893,0.5833333333333334,0.6136595310907238
qwen3_vl_8b,B_JS_TE,45,fixed_0.5,0.5,0.8823120131884823,0.6458995040576953,0.6854838709677419,0.4941860465116279,0.5743243243243243
qwen3_vl_8b,B_JS_TE,45,train_f1,0.54905104637146,0.8823120131884823,0.6458995040576953,0.6642685851318945,0.5368217054263565,0.5937834941050375
qwen3_vl_8b,B_JS_TC,43,fixed_0.5,0.5,0.8746133292582404,0.6233106969541392,0.751131221719457,0.32170542635658916,0.45047489823609227
qwen3_vl_8b,B_JS_TC,43,train_f1,0.7405903935432434,0.8746133292582404,0.6233106969541392,0.635,0.49224806201550386,0.5545851528384279
qwen3_vl_8b,B_JS_TC,44,fixed_0.5,0.5,0.8830166646599922,0.6288106950145138,0.6168831168831169,0.5523255813953488,0.5828220858895705
qwen3_vl_8b,B_JS_TC,44,train_f1,0.47520512342453003,0.8830166646599922,0.6288106950145138,0.6334841628959276,0.5426356589147286,0.5845511482254697
qwen3_vl_8b,B_JS_TC,45,fixed_0.5,0.5,0.8118599866015888,0.4726314010362997,1.0,0.025193798449612403,0.04914933837429111
qwen3_vl_8b,B_JS_TC,45,train_f1,0.9407740831375122,0.8118599866015888,0.4726314010362997,0.6204819277108434,0.1996124031007752,0.3020527859237537
qwen3_vl_8b,B_OT_TE,43,fixed_0.5,0.5,0.883462377940164,0.6252774241829272,0.5654450261780105,0.627906976744186,0.5950413223140496
qwen3_vl_8b,B_OT_TE,43,train_f1,0.34977439045906067,0.883462377940164,0.6252774241829272,0.625866050808314,0.5251937984496124,0.571127502634352
qwen3_vl_8b,B_OT_TE,44,fixed_0.5,0.5,0.8863207314174222,0.6224495391916772,0.7153284671532847,0.3798449612403101,0.4962025316455696
qwen3_vl_8b,B_OT_TE,44,train_f1,0.5931416749954224,0.8863207314174222,0.6224495391916772,0.6787878787878788,0.43410852713178294,0.5295508274231678
qwen3_vl_8b,B_OT_TE,45,fixed_0.5,0.5,0.8860262905232482,0.6545880194825237,0.7368421052631579,0.43410852713178294,0.5463414634146342
qwen3_vl_8b,B_OT_TE,45,train_f1,0.5705704092979431,0.8860262905232482,0.6545880194825237,0.6853333333333333,0.49806201550387597,0.5768799102132436
qwen3_vl_8b,B_OT_TC,43,fixed_0.5,0.5,0.863750659887194,0.5981860692240065,0.83,0.16085271317829458,0.2694805194805195
qwen3_vl_8b,B_OT_TC,43,train_f1,0.8335630297660828,0.863750659887194,0.5981860692240065,0.6481994459833795,0.45348837209302323,0.5336374002280502
qwen3_vl_8b,B_OT_TC,44,fixed_0.5,0.5,0.8814827163581018,0.6253270653964773,0.7671232876712328,0.32558139534883723,0.45714285714285713
qwen3_vl_8b,B_OT_TC,44,train_f1,0.8334956169128418,0.8814827163581018,0.6253270653964773,0.6374695863746959,0.5077519379844961,0.5652642934196332
qwen3_vl_8b,B_OT_TC,45,fixed_0.5,0.5,0.8493793973184653,0.551931497275459,0.9285714285714286,0.0755813953488372,0.13978494623655913
qwen3_vl_8b,B_OT_TC,45,train_f1,0.7240919470787048,0.8493793973184653,0.551931497275459,0.6254826254826255,0.313953488372093,0.4180645161290323
