model,scope,metric,label,layer,total,valid,undefined,mean,q25,median,q75
internvl_2_5_8b,train,rank95,REAL,23,7979,7979,0,12.8578769269332,6.0,10.0,17.0
internvl_2_5_8b,train,rank95,REAL,24,7979,7979,0,14.480762000250659,6.0,12.0,20.0
internvl_2_5_8b,train,rank95,REAL,25,7979,7979,0,12.234365208672767,6.0,11.0,16.0
internvl_2_5_8b,train,rank95,REAL,26,7979,7979,0,11.738438400802105,6.0,10.0,15.0
internvl_2_5_8b,train,rank95,REAL,27,7979,7979,0,13.407068554956762,7.0,12.0,17.0
internvl_2_5_8b,train,rank95,REAL,28,7979,7979,0,13.063040481263316,5.0,9.0,17.0
internvl_2_5_8b,train,rank95,REAL,29,7979,7979,0,11.816017044742448,6.0,9.0,15.0
internvl_2_5_8b,train,rank95,REAL,30,7979,7979,0,13.048502318586289,7.0,11.0,17.0
internvl_2_5_8b,train,rank95,REAL,31,7979,7979,0,14.934954254919163,8.0,13.0,19.0
internvl_2_5_8b,train,rank95,REAL,32,7979,7979,0,18.12896352926432,10.0,16.0,24.0
internvl_2_5_8b,train,rank95,HALL,1,1387,1387,0,16.25666906993511,13.0,16.0,19.0
internvl_2_5_8b,train,rank95,HALL,2,1387,1387,0,14.439798125450613,10.0,13.0,18.0
internvl_2_5_8b,train,rank95,HALL,3,1387,1387,0,9.069935111751983,6.0,8.0,11.0
internvl_2_5_8b,train,rank95,HALL,4,1387,1387,0,11.401586157173757,8.0,10.0,14.0
internvl_2_5_8b,train,rank95,HALL,5,1387,1387,0,15.73972602739726,11.0,15.0,20.0
internvl_2_5_8b,train,rank95,HALL,6,1387,1387,0,16.977649603460705,12.0,16.0,22.0
internvl_2_5_8b,train,rank95,HALL,7,1387,1387,0,22.950252343186733,16.0,24.0,30.0
internvl_2_5_8b,train,rank95,HALL,8,1387,1387,0,19.665465032444125,12.0,19.0,27.0
internvl_2_5_8b,train,rank95,HALL,9,1387,1387,0,34.013698630136986,25.0,34.0,43.0
internvl_2_5_8b,train,rank95,HALL,10,1387,1387,0,18.17015140591204,8.0,15.0,26.0
internvl_2_5_8b,train,rank95,HALL,11,1387,1387,0,19.22278298485941,7.0,16.0,27.0
internvl_2_5_8b,train,rank95,HALL,12,1387,1387,0,18.208363374188895,8.0,14.0,25.0
internvl_2_5_8b,train,rank95,HALL,13,1387,1387,0,13.689257390050468,5.0,10.0,19.0
internvl_2_5_8b,train,rank95,HALL,14,1387,1387,0,19.71016582552271,8.0,16.0,29.0
internvl_2_5_8b,train,rank95,HALL,15,1387,1387,0,15.191780821917808,6.0,11.0,20.0
internvl_2_5_8b,train,rank95,HALL,16,1387,1387,0,15.407354001441961,7.0,13.0,21.0
internvl_2_5_8b,train,rank95,HALL,17,1387,1387,0,14.263157894736842,7.0,12.0,20.0
internvl_2_5_8b,train,rank95,HALL,18,1387,1387,0,10.67772170151406,4.0,8.0,14.0
internvl_2_5_8b,train,rank95,HALL,19,1387,1387,0,11.987743330930066,6.0,10.0,16.0
internvl_2_5_8b,train,rank95,HALL,20,1387,1387,0,11.165104542177362,5.0,9.0,15.0
internvl_2_5_8b,train,rank95,HALL,21,1387,1387,0,16.59913482335977,8.0,14.0,23.0
internvl_2_5_8b,train,rank95,HALL,22,1387,1387,0,12.791636625811103,7.0,11.0,17.0
internvl_2_5_8b,train,rank95,HALL,23,1387,1387,0,13.609949531362654,5.0,9.0,19.0
internvl_2_5_8b,train,rank95,HALL,24,1387,1387,0,14.281903388608507,5.0,10.0,19.0
internvl_2_5_8b,train,rank95,HALL,25,1387,1387,0,10.56957462148522,5.0,9.0,14.0
internvl_2_5_8b,train,rank95,HALL,26,1387,1387,0,12.449891852919972,5.0,9.0,16.0
internvl_2_5_8b,train,rank95,HALL,27,1387,1387,0,13.336697909156452,5.0,10.0,18.0
internvl_2_5_8b,train,rank95,HALL,28,1387,1387,0,14.059120403749098,5.0,8.0,17.0
internvl_2_5_8b,train,rank95,HALL,29,1387,1387,0,12.108868060562365,5.0,8.0,15.0
internvl_2_5_8b,train,rank95,HALL,30,1387,1387,0,11.350396539293438,5.0,9.0,14.0
internvl_2_5_8b,train,rank95,HALL,31,1387,1387,0,14.53208363374189,7.0,11.0,18.0
internvl_2_5_8b,train,rank95,HALL,32,1387,1387,0,19.012256669069934,9.0,15.0,26.0
internvl_2_5_8b,train,retained_energy,REAL,1,7979,7979,0,0.9520585591140343,0.9509038423882072,0.95184945083167,0.9528330274631425
internvl_2_5_8b,train,retained_energy,REAL,2,7979,7979,0,0.953006770585756,0.951305083358172,0.952589804527883,0.9542215619138912
internvl_2_5_8b,train,retained_energy,REAL,3,7979,7979,0,0.955467283573623,0.952045023119352,0.9541862628945066,0.9572391592753678
internvl_2_5_8b,train,retained_energy,REAL,4,7979,7979,0,0.9543046831284292,0.9517507129434439,0.9535262777113783,0.9558566210569956
internvl_2_5_8b,train,retained_energy,REAL,5,7979,7979,0,0.9530820991413111,0.9512535493269908,0.9524348597936548,0.9539395882149181
internvl_2_5_8b,train,retained_energy,REAL,6,7979,7979,0,0.9523313808873893,0.9509781930030804,0.9519327489147397,0.9530510954947541
internvl_2_5_8b,train,retained_energy,REAL,7,7979,7979,0,0.9528851870699305,0.9508526841434847,0.9516705704002429,0.9527192016841177
internvl_2_5_8b,train,retained_energy,REAL,8,7979,7979,0,0.9524537226398155,0.9508589457253336,0.9516944233982104,0.9528003753719201
internvl_2_5_8b,train,retained_energy,REAL,9,7979,7979,0,0.9513255137361758,0.9505753760788495,0.9511339073718083,0.951762855605619
internvl_2_5_8b,train,retained_energy,REAL,10,7979,7979,0,0.9525297803935744,0.9508112275625733,0.9516151965028844,0.9527930647726492
internvl_2_5_8b,train,retained_energy,REAL,11,7979,7979,0,0.952781967990107,0.9507764678179774,0.951538815212,0.9529761486872931
internvl_2_5_8b,train,retained_energy,REAL,12,7979,7979,0,0.9523516287635844,0.9507735033776246,0.9515830660202129,0.9528022433809391
internvl_2_5_8b,train,retained_energy,REAL,13,7979,7979,0,0.9531411580999094,0.9509013840428588,0.9518220775534683,0.9536045142085012
internvl_2_5_8b,train,retained_energy,REAL,14,7979,7979,0,0.9529064269282898,0.9508434149671894,0.951664800357652,0.9530855177765254
internvl_2_5_8b,train,retained_energy,REAL,15,7979,7979,0,0.9530422802388918,0.9508641764293406,0.9517372652314977,0.9534557666171952
internvl_2_5_8b,train,retained_energy,REAL,16,7979,7979,0,0.9526725337524706,0.9508604580071157,0.9517222845075146,0.9531781166633544
internvl_2_5_8b,train,retained_energy,REAL,17,7979,7979,0,0.9528675830125316,0.9509514321445909,0.9519014075726483,0.9534010704801992
internvl_2_5_8b,train,retained_energy,REAL,18,7979,7979,0,0.9553258275971352,0.9515411107714826,0.9532641898129579,0.9565236751759468
internvl_2_5_8b,train,retained_energy,REAL,19,7979,7979,0,0.9536526697099814,0.9512112739433352,0.9524407481504602,0.9545322022014153
internvl_2_5_8b,train,retained_energy,REAL,20,7979,7979,0,0.9534541316877883,0.951155299100937,0.9523502178897013,0.9542265238488752
internvl_2_5_8b,train,retained_energy,REAL,21,7979,7979,0,0.952587908588125,0.9509082924797437,0.9518033538886478,0.9530885063584247
internvl_2_5_8b,train,retained_energy,REAL,22,7979,7979,0,0.9535111179186344,0.9512006399829296,0.9523530754898402,0.9542683478418255
internvl_2_5_8b,train,retained_energy,REAL,23,7979,7979,0,0.9548519831787741,0.9514066314784693,0.9528355713089327,0.955818743920646
internvl_2_5_8b,train,retained_energy,REAL,24,7979,7979,0,0.9549446938585197,0.9512573259816062,0.9526558267515349,0.9556568297387531
internvl_2_5_8b,train,retained_energy,REAL,25,7979,7979,0,0.9546825964595714,0.9515113953749654,0.9530705153569292,0.9557858283853704
internvl_2_5_8b,train,retained_energy,REAL,26,7979,7979,0,0.9550697096413288,0.9516641983594065,0.9533287391658303,0.956454272776276
internvl_2_5_8b,train,retained_energy,REAL,27,7979,7979,0,0.9541702315080247,0.9513618531303709,0.9528007443259527,0.9551385322146702
internvl_2_5_8b,train,retained_energy,REAL,28,7979,7979,0,0.9560085480008195,0.9513164942775496,0.953121309638539,0.9571899825710082
internvl_2_5_8b,train,retained_energy,REAL,29,7979,7979,0,0.9552771344697075,0.9515864865665832,0.953420038435142,0.9567654212790764
internvl_2_5_8b,train,retained_energy,REAL,30,7979,7979,0,0.9544317303414616,0.9514760907776751,0.9529828291815625,0.9555349012462631
internvl_2_5_8b,train,retained_energy,REAL,31,7979,7979,0,0.9537774720413533,0.9512518029041022,0.9526125299759796,0.954752696050842
internvl_2_5_8b,train,retained_energy,REAL,32,7979,7979,0,0.9527847261975605,0.9509804225159293,0.9519757194810305,0.9535102528484971
internvl_2_5_8b,train,retained_energy,HALL,1,1387,1387,0,0.9522220738689351,0.9509466747805444,0.9519484484036483,0.9529973586118584
internvl_2_5_8b,train,retained_energy,HALL,2,1387,1387,0,0.9528629197503183,0.9512721128725317,0.952389780357454,0.9538079460855484
internvl_2_5_8b,train,retained_energy,HALL,3,1387,1387,0,0.9553713279745396,0.9519192458910486,0.9542155175984949,0.9571896954126332
internvl_2_5_8b,train,retained_energy,HALL,4,1387,1387,0,0.9540871515944194,0.9516263304656615,0.9531443110310795,0.9554839116105189
internvl_2_5_8b,train,retained_energy,HALL,5,1387,1387,0,0.9528570122213056,0.9511542932169392,0.9522715416032722,0.9538249150933487
internvl_2_5_8b,train,retained_energy,HALL,6,1387,1387,0,0.9524010253277773,0.9510196960401219,0.9520179015461174,0.9531246974573255
internvl_2_5_8b,train,retained_energy,HALL,7,1387,1387,0,0.95234226742808,0.9507794526458329,0.951532516765288,0.9523995416715325
internvl_2_5_8b,train,retained_energy,HALL,8,1387,1387,0,0.9525365678670932,0.9509011664328031,0.9517641983877758,0.952857024229474
internvl_2_5_8b,train,retained_energy,HALL,9,1387,1387,0,0.9513011203984537,0.950524198640544,0.9510802061211244,0.9516574272206876
internvl_2_5_8b,train,retained_energy,HALL,10,1387,1387,0,0.9533291679746019,0.9509164204046385,0.9518430242310275,0.9535460522272616
internvl_2_5_8b,train,retained_energy,HALL,11,1387,1387,0,0.9535590429631869,0.9508762707461937,0.9518687758534614,0.9537962908734767
internvl_2_5_8b,train,retained_energy,HALL,12,1387,1387,0,0.9531148638940331,0.9509179562485,0.9519129436130769,0.9537451063789795
internvl_2_5_8b,train,retained_energy,HALL,13,1387,1387,0,0.9546870939141798,0.9513164588907045,0.9528138054627019,0.9559069242905907
internvl_2_5_8b,train,retained_energy,HALL,14,1387,1387,0,0.9533858459034804,0.9508048344860369,0.9516741764683166,0.953373114040666
internvl_2_5_8b,train,retained_energy,HALL,15,1387,1387,0,0.9543362561835788,0.9512185334543672,0.952408264338682,0.9552975812380038
internvl_2_5_8b,train,retained_energy,HALL,16,1387,1387,0,0.9539709811499137,0.9512711779358642,0.9525357318131868,0.9547769224494853
internvl_2_5_8b,train,retained_energy,HALL,17,1387,1387,0,0.9539353549167846,0.9513447483565165,0.9525558429793,0.954750560024667
internvl_2_5_8b,train,retained_energy,HALL,18,1387,1387,0,0.957012098919932,0.9517404121728217,0.9540807492362806,0.9590112631306384
internvl_2_5_8b,train,retained_energy,HALL,19,1387,1387,0,0.9545304382218867,0.9514623101884342,0.9530207286766472,0.9555779570111886
internvl_2_5_8b,train,retained_energy,HALL,20,1387,1387,0,0.955533632529011,0.9516790559783552,0.9536758840041176,0.957136412535991
internvl_2_5_8b,train,retained_energy,HALL,21,1387,1387,0,0.9534249938667172,0.9511133848297522,0.9522109360643719,0.9542173266540951
internvl_2_5_8b,train,retained_energy,HALL,22,1387,1387,0,0.9546692164951609,0.9514470337742998,0.9530000521088319,0.9558397702209536
internvl_2_5_8b,train,retained_energy,HALL,23,1387,1387,0,0.9558850362314387,0.951344757508243,0.9529321912687868,0.9567949499581447
internvl_2_5_8b,train,retained_energy,HALL,24,1387,1387,0,0.9558547025096806,0.9512932514527181,0.9529424057145365,0.9571520910801404
internvl_2_5_8b,train,retained_energy,HALL,25,1387,1387,0,0.9562854078955133,0.9517067087684398,0.9539785432394725,0.957932310008905
internvl_2_5_8b,train,retained_energy,HALL,26,1387,1387,0,0.955785518104283,0.9514149264589888,0.9534017865461878,0.9576130045930027
internvl_2_5_8b,train,retained_energy,HALL,27,1387,1387,0,0.9560948849398231,0.9514092952167825,0.9531873656886284,0.9567492715094392
internvl_2_5_8b,train,retained_energy,HALL,28,1387,1387,0,0.9563961248080163,0.951220638289676,0.9533369441480349,0.9581116493594111
internvl_2_5_8b,train,retained_energy,HALL,29,1387,1387,0,0.955941570096306,0.9514329653020752,0.9535574969220486,0.9576013927040231
internvl_2_5_8b,train,retained_energy,HALL,30,1387,1387,0,0.9561293072966923,0.9518395835280554,0.9539915322704745,0.9580282855506449
internvl_2_5_8b,train,retained_energy,HALL,31,1387,1387,0,0.9545872891264209,0.951315836206293,0.9527838952401985,0.9556121735377385
internvl_2_5_8b,train,retained_energy,HALL,32,1387,1387,0,0.9533317468667767,0.9509429497259092,0.9519242004466253,0.9538325491599953
internvl_2_5_8b,validation,ovir,REAL,1,1020,1020,0,0.9659746368368127,0.9522643223912117,0.9649259199213268,0.9840786941516971
internvl_2_5_8b,validation,ovir,REAL,2,1020,1020,0,0.9368521749063573,0.9284091910266459,0.9395968620459609,0.9484879900584136
internvl_2_5_8b,validation,ovir,REAL,3,1020,1020,0,0.9541903918762246,0.9469460020233977,0.9582537544255801,0.9664979953554911
internvl_2_5_8b,validation,ovir,REAL,4,1020,1020,0,0.9037282095994068,0.890344403154391,0.9060093235434002,0.9194452316164121
internvl_2_5_8b,validation,ovir,REAL,5,1020,1020,0,0.8947503177698947,0.8813050806821263,0.8956758007066383,0.910177396550707
internvl_2_5_8b,validation,ovir,REAL,6,1020,1020,0,0.8834295973780671,0.8667362835119086,0.8844595229147607,0.9022707843672236
internvl_2_5_8b,validation,ovir,REAL,7,1020,1020,0,0.8656917142382569,0.8249472445796237,0.8613549700535351,0.9039241779502885
internvl_2_5_8b,validation,ovir,REAL,8,1020,1020,0,0.801041745180838,0.7547388141866941,0.7979353520018031,0.843968917346176
internvl_2_5_8b,validation,ovir,REAL,9,1020,1020,0,0.8004183257177824,0.7521174995861035,0.8008194947716938,0.8372100921277342
internvl_2_5_8b,validation,ovir,REAL,10,1020,1020,0,0.862494309255016,0.8390312502594154,0.8581217096926732,0.8842830010343272
internvl_2_5_8b,validation,ovir,REAL,11,1020,1020,0,0.839311218007925,0.8099317381409993,0.8360354610952807,0.8661088363039853
internvl_2_5_8b,validation,ovir,REAL,12,1020,1020,0,0.8545683411542834,0.8341335576151182,0.8533677735571062,0.8723039827908946
internvl_2_5_8b,validation,ovir,REAL,13,1020,1020,0,0.8516065945575625,0.8220297963270508,0.8525128220439068,0.8792201689960373
internvl_2_5_8b,validation,ovir,REAL,14,1020,1020,0,0.8523080810160576,0.8253278012016024,0.852733845850576,0.8753967725095123
internvl_2_5_8b,validation,ovir,REAL,15,1020,1020,0,0.8395639266049165,0.818448037986942,0.8391863596721688,0.8589324115188971
internvl_2_5_8b,validation,ovir,REAL,16,1020,1020,0,0.8782182849051448,0.8621199686390677,0.8775985787802891,0.8945287402756876
internvl_2_5_8b,validation,ovir,REAL,17,1020,1020,0,0.9017127845549292,0.8884534185939302,0.9021412981141852,0.9167302226157745
internvl_2_5_8b,validation,ovir,REAL,18,1020,1020,0,0.9264720637144248,0.915719781765166,0.9269199745828758,0.9380251648163445
internvl_2_5_8b,validation,ovir,REAL,19,1020,1020,0,0.9458940681859784,0.9384313020783915,0.9456454243618001,0.9538096876490918
internvl_2_5_8b,validation,ovir,REAL,20,1020,1020,0,0.9589360970794748,0.9501378771253632,0.9585401648317214,0.9677830445743689
internvl_2_5_8b,validation,ovir,REAL,21,1020,1020,0,0.956365634624811,0.9494834105657217,0.9567693333575176,0.9634829786471795
