model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
qwen3_vl_8b,HALL,26,2593,0.3485667109489441,0.2636062204837799,0.3537617325782776,0.42801353335380554,0.6138393614228234
qwen3_vl_8b,HALL,27,2593,0.4037450850009918,0.3425411283969879,0.4127170741558075,0.47844141721725464,0.6010165177859208
qwen3_vl_8b,HALL,28,2593,0.3759957551956177,0.3007710576057434,0.38526761531829834,0.4567258954048157,0.6292711616466784
qwen3_vl_8b,HALL,29,2593,0.3487507998943329,0.2788502871990204,0.3558470904827118,0.42471590638160706,0.6513560374900603
qwen3_vl_8b,HALL,30,2593,0.417338490486145,0.34055134654045105,0.4256073534488678,0.5047742128372192,0.6192160740957551
qwen3_vl_8b,HALL,31,2593,0.3694123923778534,0.28483694791793823,0.37387606501579285,0.45496079325675964,0.6302434297551288
qwen3_vl_8b,HALL,32,2593,0.36532819271087646,0.29137784242630005,0.3716355860233307,0.4412505626678467,0.6723373722286637
qwen3_vl_8b,HALL,33,2593,0.3561056852340698,0.2779896557331085,0.36331239342689514,0.43743258714675903,0.6675311317993445
qwen3_vl_8b,HALL,34,2593,0.3887071907520294,0.32158181071281433,0.3976733982563019,0.4679791331291199,0.6643185235619326
qwen3_vl_8b,HALL,35,2593,0.3993447721004486,0.338384747505188,0.4079629182815552,0.47409334778785706,0.6405611261087544
qwen3_vl_8b,HALL,36,2593,0.630806565284729,0.6138941645622253,0.6368287205696106,0.6575515866279602,0.5412435258544993
qwen3_vl_8b,REAL,1,12280,0.12008976191282272,0.09556258469820023,0.11692778021097183,0.14117243885993958,0.4965047622576946
qwen3_vl_8b,REAL,2,12280,0.1823786199092865,0.1473853588104248,0.17930883169174194,0.21359248459339142,0.6019902462279427
qwen3_vl_8b,REAL,3,12280,0.12506291270256042,0.10215835273265839,0.11893744021654129,0.13750913739204407,0.5760670798730232
qwen3_vl_8b,REAL,4,12280,0.1621578186750412,0.1319441795349121,0.15607944130897522,0.18530765175819397,0.6000573141670572
qwen3_vl_8b,REAL,5,12280,0.16750392317771912,0.1391037553548813,0.16277764737606049,0.1901334673166275,0.6099297658064622
qwen3_vl_8b,REAL,6,12280,0.16054029762744904,0.1304989457130432,0.152216374874115,0.177435040473938,0.5951342784570335
qwen3_vl_8b,REAL,7,12280,0.1915004998445511,0.14221306145191193,0.16839829087257385,0.20377594232559204,0.635915271132126
qwen3_vl_8b,REAL,8,12280,0.17123772203922272,0.14665432274341583,0.1688985526561737,0.193599671125412,0.5732157079131865
qwen3_vl_8b,REAL,9,12280,0.28249233961105347,0.1355167031288147,0.2610888183116913,0.4240024983882904,0.594179644269023
qwen3_vl_8b,REAL,10,12280,0.31837743520736694,0.15285712480545044,0.311673641204834,0.47468116879463196,0.554036707447136
