model,split,metric,region,label,n,layer,mean,median,q25,q75
llava_1_5_7b,train,raw_attention,visual,0,2778,18,0.1537233552351712,0.1553056538105011,0.1283724494278431,0.18293452635407448
llava_1_5_7b,train,raw_attention,visual,0,2778,19,0.11828058600275529,0.11771292611956596,0.09967468120157719,0.13756020739674568
llava_1_5_7b,train,raw_attention,visual,0,2778,20,0.1991931060215095,0.21081536263227463,0.1662120297551155,0.24393758177757263
llava_1_5_7b,train,raw_attention,visual,0,2778,21,0.23678938910241734,0.250971719622612,0.20254474878311157,0.2889343127608299
llava_1_5_7b,train,raw_attention,visual,0,2778,22,0.2298059369483661,0.25054389238357544,0.19320067763328552,0.28857164084911346
llava_1_5_7b,train,raw_attention,visual,0,2778,23,0.2263835611383721,0.25043196976184845,0.21244525909423828,0.2702137306332588
llava_1_5_7b,train,raw_attention,visual,0,2778,24,0.11714128180372792,0.12561728805303574,0.10724453255534172,0.13924288004636765
llava_1_5_7b,train,raw_attention,visual,0,2778,25,0.22096740112212856,0.23817510157823563,0.19693075120449066,0.2679991275072098
llava_1_5_7b,train,raw_attention,visual,0,2778,26,0.10083098693960665,0.105467040091753,0.08620640076696873,0.12113825790584087
llava_1_5_7b,train,raw_attention,visual,0,2778,27,0.17465244543646805,0.18598908185958862,0.15127089247107506,0.21221981197595596
llava_1_5_7b,train,raw_attention,visual,0,2778,28,0.032416585030917905,0.031618401408195496,0.026834283489733934,0.037133495323359966
llava_1_5_7b,train,raw_attention,visual,0,2778,29,0.06882623243537886,0.0698937475681305,0.05712943337857723,0.08147002756595612
llava_1_5_7b,train,raw_attention,visual,0,2778,30,0.10742594222112406,0.10831958055496216,0.0915481485426426,0.12498429417610168
llava_1_5_7b,train,raw_attention,visual,0,2778,31,0.044445276073977365,0.044260116294026375,0.03737611975520849,0.05091042723506689
llava_1_5_7b,train,raw_attention,visual,0,2778,32,0.14210473180696895,0.14017043262720108,0.12611236795783043,0.15547369420528412
llava_1_5_7b,train,raw_attention,visual,1,9539,1,0.704881068154668,0.7369369864463806,0.6205617189407349,0.7930970191955566
llava_1_5_7b,train,raw_attention,visual,1,9539,2,0.31109279837013726,0.30655092000961304,0.25345689058303833,0.36187973618507385
llava_1_5_7b,train,raw_attention,visual,1,9539,3,0.1610740948828127,0.15935444831848145,0.1340751126408577,0.18677114695310593
llava_1_5_7b,train,raw_attention,visual,1,9539,4,0.08449135028940412,0.08312159776687622,0.06703443825244904,0.1001051738858223
llava_1_5_7b,train,raw_attention,visual,1,9539,5,0.06398365743628544,0.06199461966753006,0.050200074911117554,0.07586747407913208
llava_1_5_7b,train,raw_attention,visual,1,9539,6,0.062273264443653165,0.058074600994586945,0.046943482011556625,0.07336145639419556
llava_1_5_7b,train,raw_attention,visual,1,9539,7,0.07944079352259036,0.0741887167096138,0.049438562244176865,0.10349545255303383
llava_1_5_7b,train,raw_attention,visual,1,9539,8,0.08023930529788775,0.07661978900432587,0.05023765005171299,0.10682203993201256
llava_1_5_7b,train,raw_attention,visual,1,9539,9,0.08914065391269697,0.08336292952299118,0.052386097609996796,0.11783555895090103
llava_1_5_7b,train,raw_attention,visual,1,9539,10,0.0962551660878311,0.09586450457572937,0.06156756915152073,0.12869854271411896
llava_1_5_7b,train,raw_attention,visual,1,9539,11,0.12609062104634625,0.13043294847011566,0.08276709169149399,0.16670025140047073
llava_1_5_7b,train,raw_attention,visual,1,9539,12,0.16947717017959169,0.1645323634147644,0.13228611648082733,0.20265014469623566
llava_1_5_7b,train,raw_attention,visual,1,9539,13,0.12267179841364888,0.11707425117492676,0.07827192917466164,0.16605406999588013
llava_1_5_7b,train,raw_attention,visual,1,9539,14,0.13947727415401776,0.13869181275367737,0.10641861706972122,0.17280932515859604
llava_1_5_7b,train,raw_attention,visual,1,9539,15,0.21773020762980252,0.2187473475933075,0.15891072899103165,0.2800789922475815
llava_1_5_7b,train,raw_attention,visual,1,9539,16,0.16554107391018202,0.16668710112571716,0.12350557371973991,0.21171073615550995
llava_1_5_7b,train,raw_attention,visual,1,9539,17,0.16392133162183223,0.16176097095012665,0.10980431362986565,0.2196882963180542
llava_1_5_7b,train,raw_attention,visual,1,9539,18,0.1800406047823838,0.18543462455272675,0.14447329193353653,0.22097285091876984
llava_1_5_7b,train,raw_attention,visual,1,9539,19,0.14363330491129295,0.1460980772972107,0.10922285169363022,0.18216397613286972
llava_1_5_7b,train,raw_attention,visual,1,9539,20,0.2137995605651941,0.22803115844726562,0.16709646582603455,0.2684251070022583
llava_1_5_7b,train,raw_attention,visual,1,9539,21,0.24360589914446432,0.25894099473953247,0.1939164474606514,0.3062588572502136
llava_1_5_7b,train,raw_attention,visual,1,9539,22,0.19276626394392435,0.19888466596603394,0.13335534930229187,0.25203777849674225
llava_1_5_7b,train,raw_attention,visual,1,9539,23,0.19380405598659536,0.2051992118358612,0.1521255448460579,0.2471650019288063
llava_1_5_7b,train,raw_attention,visual,1,9539,24,0.10786330341118845,0.11326958984136581,0.08374812081456184,0.13536232709884644
llava_1_5_7b,train,raw_attention,visual,1,9539,25,0.20015880822922927,0.20749397575855255,0.15440241992473602,0.25199854373931885
llava_1_5_7b,train,raw_attention,visual,1,9539,26,0.09805863811946419,0.10152441263198853,0.07646442204713821,0.11993284896016121
llava_1_5_7b,train,raw_attention,visual,1,9539,27,0.16659223354102393,0.17456172406673431,0.12770070880651474,0.20918062329292297
llava_1_5_7b,train,raw_attention,visual,1,9539,28,0.036638512796985864,0.03447958454489708,0.027842916548252106,0.04326799884438515
