model,metric,scope,layers,paired_positive_layers,paired_negative_layers,paired_layer_mean,numerical_status,real_layer_mean,real_undefined_entries,hall_layer_mean,hall_undefined_entries
qwen2_5_vl_7b,generation_attention_gate_mass,test,28,28,0,0.048249365057840575,see full numerical report,0.20452188251694858,0,0.24697681093512447,0
qwen2_5_vl_7b,generation_attention_mass,all,28,28,0,0.07152160320295613,see full numerical report,0.3563692740212837,0,0.42805858439301303,0
qwen2_5_vl_7b,generation_attention_mass,train,28,28,0,0.06912514557719991,see full numerical report,0.35858347774955096,0,0.4291011794696922,0
qwen2_5_vl_7b,generation_attention_mass,test,28,28,0,0.08809710178110333,see full numerical report,0.34787439625610456,0,0.4200157080872023,0
qwen2_5_vl_7b,generation_gross_norm,all,28,28,0,6.197215479507216,see full numerical report,37.14163218855573,0,43.63800994135058,0
qwen2_5_vl_7b,generation_gross_norm,train,28,28,0,5.743960366767779,see full numerical report,37.476021337049886,0,43.69342554442336,0
qwen2_5_vl_7b,generation_gross_norm,test,28,28,0,9.33223000928833,see full numerical report,35.858735359236825,0,43.21051814621773,0
qwen2_5_vl_7b,generation_group_gain,all,28,15,13,-0.014729012079613413,see full numerical report,0.8042966376224099,0,0.7912408109420791,0
qwen2_5_vl_7b,generation_group_gain,train,28,13,15,-0.01496291332049308,see full numerical report,0.8042620982376224,0,0.790414852907492,0
qwen2_5_vl_7b,generation_group_gain,test,28,15,13,-0.013111195163529068,see full numerical report,0.8044291493005835,0,0.7976124872088944,0
qwen2_5_vl_7b,generation_group_rotation,all,28,5,23,-0.024879228880404287,see full numerical report,-0.3533633638329586,0,-0.38044650448003997,0
qwen2_5_vl_7b,generation_group_rotation,train,28,4,24,-0.02385451103732255,see full numerical report,-0.35396865306809516,0,-0.3794661696813586,0
qwen2_5_vl_7b,generation_group_rotation,test,28,5,23,-0.031966860628386315,see full numerical report,-0.35104114840200207,0,-0.3880090872127241,0
qwen2_5_vl_7b,generation_net_norm,all,28,26,2,2.2767140521053264,see full numerical report,21.63976683432136,0,24.06540399903069,0
qwen2_5_vl_7b,generation_net_norm,train,28,24,4,2.0802777434015796,see full numerical report,21.82136744966843,0,24.15663363575169,0
qwen2_5_vl_7b,generation_net_norm,test,28,27,1,3.6353985206395762,see full numerical report,20.943049088903276,0,23.36163251575444,0
qwen2_5_vl_7b,generation_per_token_gross,all,28,0,28,-1.4474720453614343,see full numerical report,2.535409339107955,0,1.2887777788637127,0
qwen2_5_vl_7b,generation_per_token_gross,train,28,0,28,-1.3670387798031551,see full numerical report,2.517081298534843,0,1.3243115683858324,0
qwen2_5_vl_7b,generation_per_token_gross,test,28,0,28,-2.003802132139531,see full numerical report,2.6057255716913383,0,1.014659973978789,0
qwen2_5_vl_7b,generation_token_count,all,28,28,0,23.29508771929826,see full numerical report,33.79125248508946,0,56.7049180327869,0
qwen2_5_vl_7b,generation_token_count,train,28,28,0,21.6140562248996,see full numerical report,34.53884711779449,0,55.87037037037038,0
qwen2_5_vl_7b,generation_token_count,test,28,28,0,34.92222222222222,see full numerical report,30.923076923076923,0,63.142857142857146,0
qwen2_5_vl_7b,generation_token_direction_mean,all,28,11,17,-0.005884521041163104,see full numerical report,-0.2966717487541106,0,-0.30171667154605836,0
qwen2_5_vl_7b,generation_token_direction_mean,train,28,9,19,-0.005935129505585837,see full numerical report,-0.29663189900528736,0,-0.3015864642781415,0
qwen2_5_vl_7b,generation_token_direction_mean,test,28,13,15,-0.005534479162239204,see full numerical report,-0.29682463384815355,0,-0.30272112761284653,0
qwen2_5_vl_7b,generation_token_effect_mean,all,28,0,28,-1.447472046994641,see full numerical report,2.535409339455449,0,1.2887777788244723,0
qwen2_5_vl_7b,generation_token_effect_mean,train,28,0,28,-1.3670387817446346,see full numerical report,2.5170812992661338,0,1.3243115685697757,0
qwen2_5_vl_7b,generation_token_effect_mean,test,28,0,28,-2.003802131640519,see full numerical report,2.6057255705663827,0,1.0146599722178447,0
qwen2_5_vl_7b,generation_token_gain_median,all,28,9,19,-0.022760834991484794,see full numerical report,0.8056689176867087,0,0.787171566483046,0
qwen2_5_vl_7b,generation_token_gain_median,train,28,9,19,-0.02089165268537067,see full numerical report,0.8047528457037876,0,0.7868178919663157,0
qwen2_5_vl_7b,generation_token_gain_median,test,28,6,22,-0.035689345942107494,see full numerical report,0.8091834630827227,0,0.7898999127549644,0
qwen2_5_vl_7b,generation_token_write_mean,all,28,0,28,-1.5955109869103612,see full numerical report,2.849456805752152,0,1.4963823751494618,0
qwen2_5_vl_7b,generation_token_write_mean,train,28,0,28,-1.498719023713552,see full numerical report,2.828595617433226,0,1.5344660398327064,0
qwen2_5_vl_7b,generation_token_write_mean,test,28,0,28,-2.2649887323549582,see full numerical report,2.9294915570911106,0,1.2025941047358621,0
qwen2_5_vl_7b,generation_within_source_kappa,all,28,1,27,-0.04465488722637406,see full numerical report,0.5260863226123031,0,0.484047844497978,0
qwen2_5_vl_7b,generation_within_source_kappa,train,28,1,27,-0.04270255121342599,see full numerical report,0.5251271067247056,0,0.48446206936785663,0
qwen2_5_vl_7b,generation_within_source_kappa,test,28,3,25,-0.0581585446492649,see full numerical report,0.5297663912579894,0,0.4808523955017705,0
qwen2_5_vl_7b,prompt_attention_gate_mass,all,28,8,20,-0.01722219524825141,see full numerical report,0.4256318810434035,0,0.4125247735620653,0
qwen2_5_vl_7b,prompt_attention_gate_mass,train,28,9,19,-0.01465076634385054,see full numerical report,0.42412007128923046,0,0.41443816991861687,0
qwen2_5_vl_7b,prompt_attention_gate_mass,test,28,5,23,-0.035007911837024105,see full numerical report,0.4314319973118172,0,0.3977642873829535,0
qwen2_5_vl_7b,prompt_attention_mass,all,28,4,24,-0.039667339457483734,see full numerical report,0.47587493305436807,0,0.4343790396305338,0
qwen2_5_vl_7b,prompt_attention_mass,train,28,4,24,-0.036587882139498276,see full numerical report,0.474896329584039,0,0.4360600929336485,0
qwen2_5_vl_7b,prompt_attention_mass,test,28,3,25,-0.06096691924021653,see full numerical report,0.4796293829068808,0,0.42141091414936344,0
qwen2_5_vl_7b,prompt_gross_norm,all,28,1,27,-1.9956062150967397,see full numerical report,12.704958565998169,0,10.807085979662213,0
qwen2_5_vl_7b,prompt_gross_norm,train,28,1,27,-1.8698045657549562,see full numerical report,12.644981703547701,0,10.816593287248796,0
qwen2_5_vl_7b,prompt_gross_norm,test,28,1,27,-2.8657342897107454,see full numerical report,12.935062105591792,0,10.733743892565712,0
qwen2_5_vl_7b,prompt_group_gain,all,28,18,10,0.021437831750501617,see full numerical report,1.2403589621538298,0,1.2639625829216605,0
qwen2_5_vl_7b,prompt_group_gain,train,28,16,12,0.01691616933468115,see full numerical report,1.2415846336564165,0,1.2591363845869068,0
qwen2_5_vl_7b,prompt_group_gain,test,28,16,12,0.05271266345992653,see full numerical report,1.2356566262929456,0,1.301193255789758,0
qwen2_5_vl_7b,prompt_group_rotation,all,28,2,26,-0.030676097610841866,see full numerical report,-0.3624618912385366,0,-0.3908786402118051,0
qwen2_5_vl_7b,prompt_group_rotation,train,28,3,25,-0.02840115109968307,see full numerical report,-0.363156467968404,0,-0.3910800538763114,0
qwen2_5_vl_7b,prompt_group_rotation,test,28,5,23,-0.04641114431302353,see full numerical report,-0.35979712089991084,0,-0.38932487765704255,0
qwen2_5_vl_7b,prompt_net_norm,all,28,4,24,-0.7576105431216913,see full numerical report,9.488457700248123,0,8.696466267748542,0
qwen2_5_vl_7b,prompt_net_norm,train,28,4,24,-0.6949994011457428,see full numerical report,9.462646687612855,0,8.69956602570286,0
qwen2_5_vl_7b,prompt_net_norm,test,28,3,25,-1.190670941788668,see full numerical report,9.587482642954601,0,8.672553849243798,0
qwen2_5_vl_7b,prompt_token_count,all,28,0,0,0.0,see full numerical report,25.0,0,25.0,0
qwen2_5_vl_7b,prompt_token_count,train,28,0,0,0.0,see full numerical report,25.0,0,25.0,0
qwen2_5_vl_7b,prompt_token_count,test,28,0,0,0.0,see full numerical report,25.0,0,25.0,0
qwen2_5_vl_7b,prompt_token_direction_mean,all,28,18,10,0.005347627298562278,see full numerical report,-0.30637028967602087,0,-0.30163028255152513,0
qwen2_5_vl_7b,prompt_token_direction_mean,train,28,16,12,0.00477275639482667,see full numerical report,-0.3060702205782488,0,-0.30164616152102913,0
qwen2_5_vl_7b,prompt_token_direction_mean,test,28,18,10,0.009323817716066897,see full numerical report,-0.3075215163107419,0,-0.30150778764392305,0
qwen2_5_vl_7b,prompt_token_effect_mean,all,28,1,27,-0.0798242481947116,see full numerical report,0.508198342655236,0,0.4322834393449521,0
qwen2_5_vl_7b,prompt_token_effect_mean,train,28,1,27,-0.07479218236914593,see full numerical report,0.5057992681583497,0,0.43266373157950977,0
qwen2_5_vl_7b,prompt_token_effect_mean,test,28,1,27,-0.11462937015487419,see full numerical report,0.5174024842346362,0,0.42934975639265094,0
qwen2_5_vl_7b,prompt_token_gain_median,all,28,14,14,0.003281909661104789,see full numerical report,0.7479755651871905,0,0.7527378324025296,0
qwen2_5_vl_7b,prompt_token_gain_median,train,28,14,14,0.0028592568709061702,see full numerical report,0.7480657087258304,0,0.7512559387564373,0
qwen2_5_vl_7b,prompt_token_gain_median,test,28,9,19,0.006205258126645236,see full numerical report,0.7476297260341392,0,0.7641695833866706,0
qwen2_5_vl_7b,prompt_token_write_mean,all,28,0,28,-0.09229815582153143,see full numerical report,0.45846061718783815,0,0.3709523333173939,0
qwen2_5_vl_7b,prompt_token_write_mean,train,28,0,28,-0.08783203901709709,see full numerical report,0.45578057539434574,0,0.37124246843524683,0
qwen2_5_vl_7b,prompt_token_write_mean,test,28,0,28,-0.12318879705220244,see full numerical report,0.46874270060710227,0,0.36871414812252773,0
qwen2_5_vl_7b,prompt_within_source_kappa,all,28,26,2,0.06328685144543822,see full numerical report,0.7061253223482746,0,0.7615873958242275,0
qwen2_5_vl_7b,prompt_within_source_kappa,train,28,26,2,0.061582823583171506,see full numerical report,0.7076535771496107,0,0.7624523175929053,0
qwen2_5_vl_7b,prompt_within_source_kappa,test,28,28,0,0.07507304415944964,see full numerical report,0.7002621140239172,0,0.7549151421801418,0
qwen2_5_vl_7b,source_group_kappa,all,28,22,6,0.025050362017070903,see full numerical report,0.6223383488588402,0,0.6470641230009575,0
qwen2_5_vl_7b,source_group_kappa,train,28,23,5,0.026173325726867046,see full numerical report,0.6229237784408499,0,0.6485620199779588,0
qwen2_5_vl_7b,source_group_kappa,test,28,16,12,0.017283196357647607,see full numerical report,0.620092325750938,0,0.6355089177498041,0
qwen2_5_vl_7b,visual_attention_gate_mass,all,28,0,28,-0.021490647089014058,see full numerical report,0.10404132641024744,0,0.08363736664360515,0
qwen2_5_vl_7b,visual_attention_gate_mass,train,28,0,28,-0.022280064807313517,see full numerical report,0.1033081109114518,0,0.08174379715337492,0
qwen2_5_vl_7b,visual_attention_gate_mass,test,28,1,27,-0.016030507870776107,see full numerical report,0.10685433587197302,0,0.09824490271109554,0
