model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,HALL,top32_mass,24,1321,0.6524334158706088,0.12298386698590444,0.6531034708023071,0.5564739108085632,0.7502262592315674
internvl_2_5_8b,attention_distribution,HALL,top32_mass,25,1321,0.7461616897971047,0.11282641956875263,0.7599217295646667,0.674280047416687,0.8355554342269897
internvl_2_5_8b,attention_distribution,HALL,top32_mass,26,1321,0.7207280344623765,0.11866058169970467,0.7334710359573364,0.6389403343200684,0.8106072545051575
internvl_2_5_8b,attention_distribution,HALL,top32_mass,27,1321,0.6835460441749625,0.11832591904996209,0.6977453827857971,0.5900635123252869,0.7769174575805664
internvl_2_5_8b,attention_distribution,HALL,top32_mass,28,1321,0.6266389865707395,0.12368639523870138,0.6326011419296265,0.5283437371253967,0.724924623966217
internvl_2_5_8b,attention_distribution,HALL,top32_mass,29,1321,0.7131317120036963,0.11311085556868163,0.7259832620620728,0.6408328413963318,0.8000257611274719
internvl_2_5_8b,attention_distribution,HALL,top32_mass,30,1321,0.699576018616433,0.1027003908940649,0.7120243906974792,0.6301557421684265,0.7782042026519775
internvl_2_5_8b,attention_distribution,HALL,top32_mass,31,1321,0.6658173238436983,0.10161060990301307,0.6772979497909546,0.5985240340232849,0.7373084425926208
internvl_2_5_8b,attention_distribution,HALL,top32_mass,32,1321,0.5708312624381583,0.09402227004201251,0.5737540125846863,0.5004544258117676,0.6388214826583862
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,1,3869,0.8504350134401427,0.03812825384163865,0.8530353307723999,0.8274378180503845,0.8764364123344421
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,2,3869,0.7845278563164223,0.03540438214006864,0.7860890030860901,0.7614167928695679,0.8085034489631653
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,3,3869,0.7731942387399331,0.0506676941306758,0.776644766330719,0.7423215508460999,0.8091112971305847
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,4,3869,0.8128405496358687,0.03769139364431251,0.8159499168395996,0.7895092964172363,0.8394095301628113
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,5,3869,0.8439871488723005,0.03538333033937707,0.8484361171722412,0.8242635726928711,0.8683008551597595
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,6,3869,0.8509085661189814,0.030875740677075766,0.8531127572059631,0.8330070972442627,0.8724169731140137
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,7,3869,0.8673464664811464,0.03655421657433791,0.8731600046157837,0.8500733375549316,0.8920670747756958
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,8,3869,0.8523694588158844,0.03951187809595014,0.8579095005989075,0.8315109610557556,0.8793865442276001
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,9,3869,0.8934234459291105,0.02591148943710155,0.8953822255134583,0.877593994140625,0.9116203188896179
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,10,3869,0.843816048224233,0.04137905774057316,0.846858024597168,0.8188815116882324,0.8712821006774902
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,11,3869,0.8560536152233785,0.04507082391076283,0.8585342764854431,0.8290637731552124,0.8885586857795715
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,12,3869,0.8390472217658658,0.042161336576731406,0.8396651744842529,0.8128993511199951,0.8681599497795105
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,13,3869,0.8060316388213872,0.05778641268484254,0.8074508309364319,0.7691518068313599,0.8460478186607361
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,14,3869,0.8285312805720527,0.04241083500970611,0.8313193321228027,0.8029422760009766,0.8578505516052246
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,15,3869,0.8189234897652224,0.04888565307647882,0.8205319046974182,0.7876361608505249,0.8529763221740723
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,16,3869,0.8030573992681121,0.06138751440353935,0.8049337267875671,0.7638684511184692,0.846024751663208
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,17,3869,0.7987447365459838,0.050011326734440587,0.7997522354125977,0.766026496887207,0.8337777853012085
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,18,3869,0.7623635878794629,0.06254369959856143,0.7643033862113953,0.7211432456970215,0.8063244819641113
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,19,3869,0.7923302705912172,0.048004483096328016,0.7941319942474365,0.7612807750701904,0.8253573775291443
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,20,3869,0.7649928644187816,0.0575723224677817,0.768587052822113,0.7291765213012695,0.8050483465194702
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,21,3869,0.8021737926072253,0.049632487892705524,0.8044858574867249,0.7710306644439697,0.8364629149436951
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,22,3869,0.7846513678473569,0.0510512178595046,0.7868850231170654,0.753292441368103,0.8202141523361206
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,23,3869,0.7704116945258712,0.06011146708967966,0.7746699452400208,0.7316692471504211,0.8148718476295471
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,24,3869,0.790785909192018,0.06459912593344562,0.7980654239654541,0.7537254095077515,0.8363872170448303
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,25,3869,0.7431147986217567,0.06190911616970017,0.7450745701789856,0.7011680603027344,0.7864185571670532
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,26,3869,0.7344760922967818,0.06636483302505239,0.7356720566749573,0.6915702819824219,0.7832862138748169
internvl_2_5_8b,attention_distribution,REAL,normalized_entropy,27,3869,0.7807057596633341,0.05447693369050026,0.7834497690200806,0.746496319770813,0.8176692128181458
