model,signal,label,support,layer_from,layer_to,n_images,mean,std,se
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,16,17,3869,0.02967606071535855,0.010383561806240933,0.00016693484085642982
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,17,18,3869,0.04300571358542428,0.01369820278804416,0.00022022378689621257
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,18,19,3869,0.0450507289563679,0.01443681149046036,0.00023209827933857611
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,19,20,3869,0.029978449413065194,0.007883817544141187,0.00012674685735306355
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,20,21,3869,0.03529795677405699,0.009065947492294875,0.00014575176900563804
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,21,22,3869,0.036107184712982784,0.011153048623071182,0.00017930575574148135
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,22,23,3869,0.04327498351912931,0.013813900525639616,0.00022208384067865723
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,23,24,3869,0.048660139068210116,0.017329908936298634,0.00027861013824742164
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,24,25,3869,0.07182342543886071,0.021180180809031824,0.0003405103353399442
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,25,26,3869,0.0532581441091895,0.017109060061950097,0.00027505958667555777
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,26,27,3869,0.07028051124994962,0.023256012860236697,0.0003738831509092881
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,27,28,3869,0.06941151216194807,0.023007110687371136,0.0003698815910022475
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,28,29,3869,0.06536014204179018,0.020284766856314425,0.00032611491029343803
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,29,30,3869,0.048081274746377266,0.017290746695433578,0.00027798053324594137
internvl_2_5_8b,attention_evidence,REAL,all_visual_tokens,30,31,3869,0.035528503774317946,0.010278817430626789,0.0001652508824999395
