model,signal,label,support,layer_left,layer_right,n_images,mean,std,se
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,7,1321,0.04151038532790408,0.02023529815262549,0.0005567474018228773
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,8,1321,0.07016927856926572,0.03175935510264596,0.0008738165508410895
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,9,1321,0.06061776679215063,0.01648348451023707,0.0004535212234009715
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,10,1321,0.13196691915810244,0.044486144336469184,0.0012239772841317479
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,11,1321,0.13821351556368255,0.04298382150131223,0.0011826428630194853
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,12,1321,0.165656171028448,0.04815044894430063,0.001324795767482489
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,13,1321,0.21258225054518912,0.06164122606382835,0.0016959766145951394
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,14,1321,0.1457293075167438,0.03974166837442102,0.0010934393180015733
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,15,1321,0.19556750211072274,0.05604281109753816,0.001541943648868664
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,16,1321,0.2344687150496592,0.06997113665542402,0.0019251630611850567
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,17,1321,0.21392795087080124,0.05855978546660215,0.0016111948617671173
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,18,1321,0.21978133360740365,0.06693698753534569,0.001841682470654316
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,19,1321,0.20856596861122054,0.05787929051313041,0.0015924719452851672
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,20,1321,0.24298676072332914,0.06982851395128234,0.0019212389865619441
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,21,1321,0.2096422732914153,0.05795900027164948,0.0015946650536160004
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,22,1321,0.2078610924407445,0.06030819269635401,0.0016592999687514878
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,23,1321,0.21876152194782605,0.06895243765536206,0.0018971349087335213
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,24,1321,0.20779920239100214,0.06633176585823466,0.0018250305985782565
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,25,1321,0.26776249616503445,0.07510493879868607,0.0020664128210440688
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,26,1321,0.25165753803137664,0.07482889864376376,0.002058817942140254
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,27,1321,0.2330159497567869,0.06938481977945611,0.001909031329649503
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,28,1321,0.2092547001236772,0.06240203946151296,0.001716909386587826
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,29,1321,0.2524479137484004,0.06644937898314003,0.0018282665677850079
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,30,1321,0.24544764319709717,0.05971733242026335,0.001643043231584947
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,31,1321,0.2295828547940662,0.05785676186410093,0.001591852099374366
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,6,32,1321,0.1786109970982647,0.04539357514805075,0.0012489440398904968
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,1,1321,0.12070035274555789,0.045065741427106086,0.001239924129682641
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,2,1321,0.1573318112909478,0.04277924813940921,0.0011770142981788482
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,3,1321,0.13460503781974362,0.03558597078900455,0.000979100808334394
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,4,1321,0.09866906092540953,0.03205286383163672,0.000881892054401522
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,5,1321,0.04839746276569538,0.01738876305394696,0.00047842876236258965
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,6,1321,0.04151038532790408,0.02023529815262549,0.0005567474018228773
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,7,1321,0.0,0.0,0.0
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,8,1321,0.05012378224751924,0.021450520252191227,0.0005901826268177302
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,9,1321,0.04157701915977445,0.015627147923993973,0.0004299602575144937
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,10,1321,0.10272703127178344,0.035759340024789525,0.0009838708330136092
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,11,1321,0.10239588572480839,0.03522524350046027,0.0009691758752225197
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,12,1321,0.1342541023998618,0.04257242328105514,0.0011713237863982707
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,13,1321,0.18133832483829468,0.05752914354075342,0.001582838115545834
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,14,1321,0.12117478598887771,0.03793235037932416,0.0010436583320608817
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,15,1321,0.16636183066046842,0.053199699410716825,0.0014637192000470556
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,16,1321,0.20959136315271043,0.06381631785277476,0.0017558213815508004
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,17,1321,0.19271176988026303,0.05459005498699672,0.0015019729904713567
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,18,1321,0.1969672796640046,0.06585649381215108,0.001811954118319835
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,19,1321,0.1910111315711983,0.05405092801841417,0.0014871396266757245
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,7,20,1321,0.2265048118859507,0.06692821341117576,0.0018414410622600323
