model,scope,signal,layer,real_mean,hall_mean,hall_minus_real,real_median,hall_median,real_count,hall_count
llava_1_5_7b,all,kVP,9,0.4950251281261444,0.581913948059082,0.08688881993293762,0.4776298403739929,0.5822001695632935,11976,3487
llava_1_5_7b,all,kVP,10,0.4532884657382965,0.5346525311470032,0.08136406540870667,0.4300283193588257,0.5360203981399536,11976,3487
llava_1_5_7b,all,kVP,11,0.4124704897403717,0.4408819079399109,0.028411418199539185,0.39954516291618347,0.4250345230102539,11976,3487
llava_1_5_7b,all,kVP,12,0.40764692425727844,0.417311429977417,0.00966450572013855,0.3995896577835083,0.40742284059524536,11976,3487
llava_1_5_7b,all,kVP,13,0.46430182456970215,0.508588433265686,0.04428660869598389,0.4565504789352417,0.5031710267066956,11976,3487
llava_1_5_7b,all,kVP,14,0.3777984082698822,0.416903555393219,0.03910514712333679,0.3624752163887024,0.4079892337322235,11976,3487
llava_1_5_7b,all,kVP,15,0.43322429060935974,0.4250340461730957,-0.008190244436264038,0.421848863363266,0.4115312397480011,11976,3487
llava_1_5_7b,all,kVP,16,0.3990381360054016,0.41845038533210754,0.019412249326705933,0.38994935154914856,0.4136737585067749,11976,3487
llava_1_5_7b,all,kVP,17,0.3951301872730255,0.35570260882377625,-0.03942757844924927,0.3830505311489105,0.3421734571456909,11976,3487
llava_1_5_7b,all,kVP,18,0.41902226209640503,0.40129154920578003,-0.017730712890625,0.40569040179252625,0.38344138860702515,11976,3487
llava_1_5_7b,all,kVP,19,0.4234740138053894,0.3810095489025116,-0.04246446490287781,0.41748037934303284,0.3639662563800812,11976,3487
llava_1_5_7b,all,kVP,20,0.36540472507476807,0.34803062677383423,-0.017374098300933838,0.35173505544662476,0.3336769938468933,11976,3487
llava_1_5_7b,all,kVP,21,0.39263033866882324,0.37013909220695496,-0.022491246461868286,0.3808889389038086,0.3591901957988739,11976,3487
llava_1_5_7b,all,kVP,22,0.3721558451652527,0.3444361984729767,-0.027719646692276,0.35939717292785645,0.3261869549751282,11976,3487
llava_1_5_7b,all,kVP,23,0.3712145686149597,0.3562052547931671,-0.015009313821792603,0.35505998134613037,0.33779898285865784,11976,3487
llava_1_5_7b,all,kVP,24,0.3791295886039734,0.37638163566589355,-0.002747952938079834,0.3659583330154419,0.3588190972805023,11976,3487
llava_1_5_7b,all,kVP,25,0.35974112153053284,0.34016069769859314,-0.019580423831939697,0.3495078980922699,0.3274049758911133,11976,3487
llava_1_5_7b,all,kVP,26,0.34186428785324097,0.33284246921539307,-0.0090218186378479,0.3186027705669403,0.30886921286582947,11976,3487
llava_1_5_7b,all,kVP,27,0.39365702867507935,0.37115761637687683,-0.022499412298202515,0.381563663482666,0.34896719455718994,11976,3487
llava_1_5_7b,all,kVP,28,0.5675009489059448,0.6087139248847961,0.04121297597885132,0.5691099166870117,0.613653838634491,11976,3487
llava_1_5_7b,all,kVP,29,0.46736079454421997,0.4482532739639282,-0.019107520580291748,0.4518292546272278,0.4313529431819916,11976,3487
llava_1_5_7b,all,kVP,30,0.3699767589569092,0.3601142168045044,-0.009862542152404785,0.3619232177734375,0.3487088978290558,11976,3487
llava_1_5_7b,all,kVP,31,0.4757018983364105,0.5242300629615784,0.04852816462516785,0.46883779764175415,0.5206711292266846,11976,3487
llava_1_5_7b,all,kVP,32,0.3991541862487793,0.4310394823551178,0.0318852961063385,0.3958660960197449,0.43578413128852844,11976,3487
