model,scope,signal,layer,paired_images,hall_minus_real,ci95_low,ci95_high
qwen2_5_vl_7b,test,kVP,5,60,0.03492752090096474,0.004166314203757793,0.06451177615672345
qwen2_5_vl_7b,test,kVP,6,60,0.03907613456249237,0.011202006251551211,0.06773970182985067
qwen2_5_vl_7b,test,kVP,7,60,0.02499246969819069,0.002082548855105415,0.04639972774311898
qwen2_5_vl_7b,test,kVP,8,60,0.026131367310881615,-0.0028464948700275268,0.053115295898169275
qwen2_5_vl_7b,test,kVP,9,60,0.0028885076753795147,-0.015093133226037026,0.021563734067603906
qwen2_5_vl_7b,test,kVP,10,60,0.008326433598995209,-0.021769089717417957,0.040044441260397426
qwen2_5_vl_7b,test,kVP,11,60,0.02619069814682007,0.0037870650354307144,0.0497332191094756
qwen2_5_vl_7b,test,kVP,12,60,0.036882806569337845,0.01749723800458014,0.05779310064390299
qwen2_5_vl_7b,test,kVP,13,60,0.02448195405304432,0.005952355335466564,0.0428271759301424
qwen2_5_vl_7b,test,kVP,14,60,0.01874648407101631,0.0005524015738046728,0.038171842135488986
qwen2_5_vl_7b,test,kVP,15,60,0.027433102950453758,0.009713912522420287,0.045671779662370675
qwen2_5_vl_7b,test,kVP,16,60,0.010347073897719383,-0.005411881278268992,0.026113085215911262
qwen2_5_vl_7b,test,kVP,17,60,0.028927523642778397,0.009293702268041671,0.05088540418073534
qwen2_5_vl_7b,test,kVP,18,60,0.02529938705265522,0.006103582761716098,0.04478092156350611
qwen2_5_vl_7b,test,kVP,19,60,0.027690837159752846,0.013433306734077633,0.04296489357948302
qwen2_5_vl_7b,test,kVP,20,60,0.002934987423941493,-0.011235127691179514,0.01801418205723166
qwen2_5_vl_7b,test,kVP,21,60,0.006357624661177397,-0.011617212370038033,0.025784809840843068
qwen2_5_vl_7b,test,kVP,22,60,0.02156653255224228,-0.005494866555090993,0.04858288681134581
qwen2_5_vl_7b,test,kVP,23,60,0.006133967079222202,-0.010004385141655803,0.022700217785313715
qwen2_5_vl_7b,test,kVP,24,60,-0.0009490286465734243,-0.02232495751231909,0.02024440485984086
qwen2_5_vl_7b,test,kVP,25,60,0.02897804044187069,0.004538902535568923,0.054028898663818825
qwen2_5_vl_7b,test,kVP,26,60,0.04081351310014725,0.003670553956180811,0.08011000100523233
qwen2_5_vl_7b,test,kVP,27,60,0.020317208021879196,0.0006012631725752727,0.041404806170612554
qwen2_5_vl_7b,test,kVP,28,60,0.05701526626944542,0.02786515005864203,0.08688708767294881
llava_1_5_7b,all,kP,1,1966,0.10026144236326218,0.09491493720561266,0.10553661696612834
llava_1_5_7b,all,kP,2,1966,0.08311394602060318,0.07938076555728912,0.08690802734345197
llava_1_5_7b,all,kP,3,1966,0.12989330291748047,0.12608706578612328,0.13394526205956936
llava_1_5_7b,all,kP,4,1966,0.023560572415590286,0.020423517795279622,0.02678532265126705
llava_1_5_7b,all,kP,5,1966,0.05279041826725006,0.04895865097641945,0.05674596130847931
llava_1_5_7b,all,kP,6,1966,0.07963073253631592,0.07687338702380657,0.08261652123183012
llava_1_5_7b,all,kP,7,1966,0.0562312938272953,0.05200430564582348,0.06065652128309011
llava_1_5_7b,all,kP,8,1966,0.06157848238945007,0.0591780717484653,0.06393843851983547
llava_1_5_7b,all,kP,9,1966,0.03965717926621437,0.03706444436684251,0.0423555513843894
llava_1_5_7b,all,kP,10,1966,0.08419017493724823,0.08095119334757328,0.08748877011239528
llava_1_5_7b,all,kP,11,1966,0.05682326480746269,0.05345502821728587,0.060157097689807405
llava_1_5_7b,all,kP,12,1966,0.05715625733137131,0.05461236499249935,0.059749830327928063
llava_1_5_7b,all,kP,13,1966,0.10148464143276215,0.09803922437131404,0.10484274923801422
llava_1_5_7b,all,kP,14,1966,0.0802205353975296,0.07728094067424536,0.08322633635252714
llava_1_5_7b,all,kP,15,1966,0.07662978768348694,0.0732413237914443,0.07970877531915903
llava_1_5_7b,all,kP,16,1966,0.0423511378467083,0.04002897460013628,0.04472837802022695
llava_1_5_7b,all,kP,17,1966,0.02877899631857872,0.026321568386629225,0.0314347886480391
llava_1_5_7b,all,kP,18,1966,0.09325525909662247,0.09024984277784824,0.09623252730816602
llava_1_5_7b,all,kP,19,1966,0.09277201443910599,0.08931855261325836,0.0961848434060812
llava_1_5_7b,all,kP,20,1966,0.1387024223804474,0.13419360853731632,0.14312597513198852
llava_1_5_7b,all,kP,21,1966,0.05547522008419037,0.05301490360870957,0.0580884512513876
llava_1_5_7b,all,kP,22,1966,0.07550832629203796,0.0726561762392521,0.07840927857905626
llava_1_5_7b,all,kP,23,1966,0.08772588521242142,0.08456386551260948,0.09092451706528663
llava_1_5_7b,all,kP,24,1966,0.06999856233596802,0.06682018879801035,0.07307595442980527
llava_1_5_7b,all,kP,25,1966,0.05613330379128456,0.053929664008319375,0.058442029636353254
llava_1_5_7b,all,kP,26,1966,0.043912094086408615,0.04207589831203222,0.045756283588707446
llava_1_5_7b,all,kP,27,1966,0.10820530354976654,0.10512195974588394,0.11152885630726814
llava_1_5_7b,all,kP,28,1966,0.04771162569522858,0.04571873042732477,0.04975597579032183
llava_1_5_7b,all,kP,29,1966,0.08575091511011124,0.0826682299375534,0.08888007830828429
llava_1_5_7b,all,kP,30,1966,0.08549050986766815,0.08293612338602543,0.08815796170383691
llava_1_5_7b,all,kP,31,1966,0.08389206230640411,0.08111412320286035,0.08679526355117559
llava_1_5_7b,all,kP,32,1966,0.04348800331354141,0.03961115768179298,0.0473753759637475
llava_1_5_7b,all,kVP,1,1966,0.09535951167345047,0.09159064833074808,0.09909064527601004
llava_1_5_7b,all,kVP,2,1966,0.005792009178549051,0.003111228032503277,0.008493871125392611
llava_1_5_7b,all,kVP,3,1966,0.06801903992891312,0.06480984669178724,0.07108226232230663
llava_1_5_7b,all,kVP,4,1966,0.07390286028385162,0.07054469250142574,0.07753378469496965
llava_1_5_7b,all,kVP,5,1966,0.08510448783636093,0.08129483181983232,0.08913414236158132
llava_1_5_7b,all,kVP,6,1966,0.10622499883174896,0.1023685185238719,0.11025231387466192
llava_1_5_7b,all,kVP,7,1966,0.10453996062278748,0.10018956251442432,0.10888086836785078
llava_1_5_7b,all,kVP,8,1966,0.1217091903090477,0.11728017590939999,0.1261605154722929
llava_1_5_7b,all,kVP,9,1966,0.09027674794197083,0.0861887188628316,0.09414904955774546
llava_1_5_7b,all,kVP,10,1966,0.08972752839326859,0.08618504833430052,0.09341280777007341
llava_1_5_7b,all,kVP,11,1966,0.03240325674414635,0.02922028200700879,0.03577320137992501
llava_1_5_7b,all,kVP,12,1966,0.016496209427714348,0.013934266287833452,0.019023988163098693
llava_1_5_7b,all,kVP,13,1966,0.04800032451748848,0.045082744397223,0.05101716928184032
llava_1_5_7b,all,kVP,14,1966,0.04123841971158981,0.03848723266273737,0.044110697228461504
llava_1_5_7b,all,kVP,15,1966,-0.004759717732667923,-0.007598180545028299,-0.0019880904932506414
llava_1_5_7b,all,kVP,16,1966,0.020722635090351105,0.018495898926630616,0.022850104235112665
llava_1_5_7b,all,kVP,17,1966,-0.041767627000808716,-0.0442399512976408,-0.0392746252939105
llava_1_5_7b,all,kVP,18,1966,-0.015295465476810932,-0.018240513745695353,-0.012215419230051342
llava_1_5_7b,all,kVP,19,1966,-0.03693007305264473,-0.040186204575002195,-0.033667617663741115
llava_1_5_7b,all,kVP,20,1966,-0.014460938051342964,-0.017282972345128655,-0.01152171401772648
llava_1_5_7b,all,kVP,21,1966,-0.021907798945903778,-0.024433173052966595,-0.01939947917126119
llava_1_5_7b,all,kVP,22,1966,-0.02191653475165367,-0.024876922415569425,-0.01875653346069157
llava_1_5_7b,all,kVP,23,1966,-0.005683944560587406,-0.008763846149668098,-0.002512370375916362
llava_1_5_7b,all,kVP,24,1966,0.006637944839894772,0.003547969117062166,0.0098470339551568
llava_1_5_7b,all,kVP,25,1966,-0.006464676931500435,-0.008846772415563465,-0.003857004171004522
llava_1_5_7b,all,kVP,26,1966,0.00030694130691699684,-0.0035571719985455275,0.004117554635740809
llava_1_5_7b,all,kVP,27,1966,-0.009841253980994225,-0.013085793168284,-0.006434917380101982
llava_1_5_7b,all,kVP,28,1966,0.05023525282740593,0.04690109807997942,0.05351711409166455
llava_1_5_7b,all,kVP,29,1966,-0.006297939922660589,-0.009624346904456616,-0.002956908190390097
