model,split,label,layer,n,mean,median,q25,q75
internvl_2_5_8b,test,1,17,2008,0.24701637029647827,0.2503186762332916,0.20232033729553223,0.30080894380807877
internvl_2_5_8b,test,1,18,2008,0.12326651811599731,0.13070116937160492,0.09546072036027908,0.15435801818966866
internvl_2_5_8b,test,1,19,2008,0.22763949632644653,0.23985092341899872,0.1712174192070961,0.28624318540096283
internvl_2_5_8b,test,1,20,2008,0.26845401525497437,0.2823094129562378,0.215467881411314,0.3320455551147461
internvl_2_5_8b,test,1,21,2008,0.23399393260478973,0.2425515502691269,0.17936751618981361,0.291228324174881
internvl_2_5_8b,test,1,22,2008,0.14498260617256165,0.14813074469566345,0.09586547501385212,0.19097302481532097
internvl_2_5_8b,test,1,23,2008,0.07948382943868637,0.07798604667186737,0.055491236969828606,0.10188637115061283
internvl_2_5_8b,test,1,24,2008,0.0474235862493515,0.04493396356701851,0.03268920071423054,0.060071391984820366
internvl_2_5_8b,test,1,25,2008,0.14242544770240784,0.14337632060050964,0.09269333258271217,0.18935949727892876
internvl_2_5_8b,test,1,26,2008,0.10479219257831573,0.10752561688423157,0.06971758604049683,0.13764416426420212
internvl_2_5_8b,test,1,27,2008,0.0664263665676117,0.06317190825939178,0.043983991257846355,0.0874251089990139
internvl_2_5_8b,test,1,28,2008,0.035447295755147934,0.03326081484556198,0.02441214630380273,0.04548504017293453
internvl_2_5_8b,test,1,29,2008,0.11297640949487686,0.11019232869148254,0.07482945173978806,0.14813806861639023
internvl_2_5_8b,test,1,30,2008,0.13344742357730865,0.1341487169265747,0.09981686808168888,0.1658245250582695
internvl_2_5_8b,test,1,31,2008,0.12227197736501694,0.12080110609531403,0.08861329220235348,0.15341153368353844
internvl_2_5_8b,test,1,32,2008,0.11091651767492294,0.10686132311820984,0.07978901267051697,0.13863442465662956
