model,family,scale,group,label,layer,n,mean,median,q25,q75
minigpt4_7b,gated,raw,visual_prompt_sum,1,2,9281,0.36326640515768144,0.3632599413394928,0.29513099789619446,0.43262118101119995
minigpt4_7b,gated,raw,visual_prompt_sum,1,3,9281,0.37338161124033914,0.37056806683540344,0.3109120726585388,0.4349362254142761
minigpt4_7b,gated,raw,visual_prompt_sum,1,4,9281,0.5470049452932118,0.7508488893508911,0.13682834804058075,0.8130229115486145
minigpt4_7b,gated,raw,visual_prompt_sum,1,5,9281,0.5434059874879034,0.7766394019126892,0.086590476334095,0.8245275020599365
minigpt4_7b,gated,raw,visual_prompt_sum,1,6,9281,0.5703533284519461,0.8139227032661438,0.10802025347948074,0.853793740272522
minigpt4_7b,gated,raw,visual_prompt_sum,1,7,9281,0.5482996157733263,0.7595823407173157,0.1280808299779892,0.8148863911628723
minigpt4_7b,gated,raw,visual_prompt_sum,1,8,9281,0.538192717276386,0.7589783668518066,0.11508268117904663,0.803389310836792
minigpt4_7b,gated,raw,visual_prompt_sum,1,9,9281,0.5119602276799425,0.7046419382095337,0.1396457999944687,0.7516177296638489
minigpt4_7b,gated,raw,visual_prompt_sum,1,10,9281,0.5296762580303488,0.687269926071167,0.21712225675582886,0.7463408708572388
minigpt4_7b,gated,raw,visual_prompt_sum,1,11,9281,0.5127176791011072,0.6554877758026123,0.21312777698040009,0.7260960936546326
minigpt4_7b,gated,raw,visual_prompt_sum,1,12,9281,0.4666600971327256,0.5958437919616699,0.17812545597553253,0.6693726778030396
minigpt4_7b,gated,raw,visual_prompt_sum,1,13,9281,0.5234332396358319,0.6166875958442688,0.27426964044570923,0.7219160199165344
minigpt4_7b,gated,raw,visual_prompt_sum,1,14,9281,0.544025882680598,0.6593330502510071,0.27181094884872437,0.760816216468811
minigpt4_7b,gated,raw,visual_prompt_sum,1,15,9281,0.5199928233861986,0.636005163192749,0.21616722643375397,0.75078946352005
minigpt4_7b,gated,raw,visual_prompt_sum,1,16,9281,0.5379833232072754,0.616043746471405,0.3153908848762512,0.735251784324646
