model,scope,label,layer,n_mentions,mean,median,q25,q75,source
qwen2_5_vl_7b,test,HALL,27,85,0.6918089642244227,0.696098268032074,0.6735833287239075,0.7110115885734558,a_m
qwen2_5_vl_7b,test,HALL,28,85,0.7866315455997691,0.7865535020828247,0.7191975712776184,0.8849613666534424,a_m
qwen2_5_vl_7b,test,REAL,1,763,0.7551972797313805,0.7851064205169678,0.7052136659622192,0.8191832900047302,e_m
qwen2_5_vl_7b,test,REAL,2,763,0.5969913209328332,0.6716168522834778,0.41384340822696686,0.736489474773407,e_m
qwen2_5_vl_7b,test,REAL,3,763,0.5122567151195881,0.5124416351318359,0.4761091470718384,0.5488669574260712,e_m
qwen2_5_vl_7b,test,REAL,4,763,0.4487495698513241,0.4418305456638336,0.4033939689397812,0.48802177608013153,e_m
qwen2_5_vl_7b,test,REAL,5,763,0.6050127181828725,0.5890398025512695,0.5370835065841675,0.658201664686203,e_m
qwen2_5_vl_7b,test,REAL,6,763,0.6489917938237422,0.6594001650810242,0.5342218279838562,0.7569105923175812,e_m
qwen2_5_vl_7b,test,REAL,7,763,0.6678052438352242,0.656562328338623,0.6165026426315308,0.7097766101360321,e_m
qwen2_5_vl_7b,test,REAL,8,763,0.7331548429644749,0.7497168183326721,0.6610338389873505,0.8161880075931549,e_m
qwen2_5_vl_7b,test,REAL,9,763,0.6691474337252845,0.6805905699729919,0.5771166980266571,0.7656963467597961,e_m
qwen2_5_vl_7b,test,REAL,10,763,0.7005685819398373,0.7123444676399231,0.5769913196563721,0.8092382550239563,e_m
qwen2_5_vl_7b,test,REAL,11,763,0.705717054763284,0.7029085159301758,0.6429842114448547,0.7676674723625183,e_m
qwen2_5_vl_7b,test,REAL,12,763,0.8238929797593763,0.8526409864425659,0.7314692437648773,0.9213049709796906,e_m
qwen2_5_vl_7b,test,REAL,13,763,0.7136104557648555,0.7119421362876892,0.6430850028991699,0.7740252315998077,e_m
qwen2_5_vl_7b,test,REAL,14,763,0.6643169054353847,0.6747637391090393,0.5723619163036346,0.7506192624568939,e_m
