model,feature,feature_dim,group,seed,threshold_rule,threshold,optimization_images,config,auc,accuracy,real_aupr,real_precision,real_recall,real_f1,hallucination_aupr,hallucination_precision,hallucination_recall,hallucination_f1
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,44,train_f1,0.5645119547843933,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8561807900037748,0.8972286374133949,0.9800027475371962,0.9172245891661595,0.972885732730794,0.9442355889724311,0.3895584268501608,0.5280898876404494,0.2568306010928962,0.34558823529411764
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,45,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8619274906779272,0.8926096997690531,0.9806887923080487,0.9112854556427278,0.9748224661071659,0.941983780411728,0.4127543288357829,0.48,0.19672131147540983,0.27906976744186046
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,45,train_f1,0.5467666387557983,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8619274906779272,0.8978060046189377,0.9806887923080487,0.9203431372549019,0.9696578437701743,0.9443571204023892,0.4127543288357829,0.53,0.2896174863387978,0.3745583038869258
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,ensemble,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8718157669146672,0.9001154734411085,0.9824137772917934,0.9134615384615384,0.9812782440284055,0.9461562402738873,0.4306993641872997,0.5735294117647058,0.21311475409836064,0.3107569721115538
qwen2_5_vl_7b,AE+log1p(raw_S),56,fixed_arch5,ensemble,train_f1,0.5498673319816589,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.1, ""hidden_sizes"": [128, 64, 32], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 1e-05}",0.8718157669146672,0.901270207852194,0.9824137772917934,0.9190997566909975,0.9754680438992899,0.946445349201378,0.4306993641872997,0.5681818181818182,0.273224043715847,0.36900369003690037
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,43,fixed_0.5,0.5,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.8806527743970197,0.8937644341801386,0.9838134011643079,0.9184549356223176,0.9670755326016786,0.9421383647798742,0.46248587986409884,0.49504950495049505,0.273224043715847,0.352112676056338
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,43,train_f1,0.5300874710083008,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.8806527743970197,0.8960739030023095,0.9838134011643079,0.9222702035780382,0.9651387992253067,0.943217665615142,0.46248587986409884,0.5135135135135135,0.3114754098360656,0.3877551020408163
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,44,fixed_0.5,0.5,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.87112432840507,0.8995381062355658,0.9820711180183817,0.9225568531038721,0.9690122659780503,0.9452141057934509,0.4439012132505509,0.5428571428571428,0.3114754098360656,0.3958333333333333
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,44,train_f1,0.5769863128662109,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.87112432840507,0.8978060046189377,0.9820711180183817,0.9303638644918444,0.9573918657198193,0.943684377982819,0.4439012132505509,0.5217391304347826,0.39344262295081966,0.4485981308411215
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,45,fixed_0.5,0.5,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.8751953490176987,0.9064665127020786,0.982473462170244,0.9251992642550583,0.974176888315042,0.9490566037735849,0.462568199214212,0.6039603960396039,0.3333333333333333,0.4295774647887324
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,45,train_f1,0.5061035752296448,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.8751953490176987,0.9058891454965358,0.982473462170244,0.9256756756756757,0.972885732730794,0.948693736229147,0.462568199214212,0.5961538461538461,0.33879781420765026,0.43205574912891986
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,ensemble,fixed_0.5,0.5,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.8801835839797931,0.9035796766743649,0.9833590390098179,0.9218559218559218,0.9748224661071659,0.9475996234703483,0.47282435782174354,0.5851063829787234,0.3005464480874317,0.3971119133574007
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_BN_on,ensemble,train_f1,0.5759034156799316,2560,"{""batch_norm"": true, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": true, ""weight_decay"": 0.0001}",0.8801835839797931,0.8995381062355658,0.9833590390098179,0.9299562226391495,0.959974176888315,0.9447268106734434,0.47282435782174354,0.5338345864661654,0.3879781420765027,0.44936708860759494
qwen2_5_vl_7b,AE+log1p(raw_S),56,matched_scaler_off,43,fixed_0.5,0.5,2560,"{""batch_norm"": false, ""batch_size"": 128, ""dropout"": 0.3, ""hidden_sizes"": [256, 128], ""learning_rate"": 0.001, ""standardize"": false, ""weight_decay"": 0.0001}",0.8379529186818926,0.8931870669745958,0.9770488078429059,0.905952380952381,0.9825693996126533,0.9427067203468567,0.3611531223151673,0.4807692307692308,0.1366120218579235,0.2127659574468085
