model,head_id,roles,seed,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,batch_norm,standardize,parameter_count,best_epoch,epochs_run,validation_auc,validation_hall_aupr,fit_seconds,peak_cuda_allocated_bytes,max_checkpoint_error
qwen2_5_vl_7b,e7128724aa1975260135,stage2_arch1/grid,43,[128],0.1,0.001,0.0001,128,False,True,7425,26,41,0.8534575499260051,0.484253451528107,2.575812071096152,18397184,0.0
qwen2_5_vl_7b,e9a2f2e9664aa1419306,stage2_arch4/grid,43,"[256, 128]",0.3,0.0001,0.0001,128,False,True,47617,136,150,0.8601525767115733,0.520118130453355,10.460858091013506,19302400,0.0
qwen2_5_vl_7b,ec93efc04d0a21d57f69,stage2_arch1/grid,43,[128],0.0,0.001,1e-05,128,False,True,7425,17,32,0.8482806450379805,0.47730248165037814,1.932164064841345,18397184,0.0
qwen2_5_vl_7b,ed169d3653c217a62988,final/matched_scaler_off,45,"[256, 128]",0.3,0.001,0.0001,128,False,False,47617,131,146,0.8454300708274857,0.4444909144439651,10.06024655001238,19302400,0.0
qwen2_5_vl_7b,ee5a43b2cda6b9637535,stage2_arch1/grid,43,[128],0.2,0.003,1e-05,128,False,True,7425,29,44,0.8545333413426095,0.48965052069083737,2.793878586962819,18397184,0.0
qwen2_5_vl_7b,efee5880fc85d31fd77e,stage2_arch1/grid,43,[128],0.3,0.0001,0.0001,128,False,True,7425,149,150,0.8490342451166168,0.47569222553197776,9.41412111883983,18397184,0.0
qwen2_5_vl_7b,efffab5f763e0ff66b1b,stage2_arch1/grid,43,[128],0.2,0.0001,0.0,128,False,True,7425,149,150,0.8488431146618903,0.47582834511013583,17.674190751975402,18397184,0.0
qwen2_5_vl_7b,f34785c4f16aabd6024d,stage2_arch1/grid,43,[128],0.2,0.0001,1e-05,128,False,True,7425,149,150,0.8488431146618903,0.47582834511013583,9.504123472142965,18397184,0.0
qwen2_5_vl_7b,f4dbdef0ef826a297d06,final/tuned_arch1;stage2_arch1/selected,44,[128],0.3,0.001,0.0,128,False,True,7425,39,54,0.8500390452214657,0.48898948158889083,3.402661907952279,18397184,0.0
qwen2_5_vl_7b,f7ab478d9fcd5e9e6de5,stage2_arch4/grid,43,"[256, 128]",0.1,0.0001,1e-05,128,False,True,47617,147,150,0.8586535678595026,0.507379722675162,10.312076199101284,19302400,0.0
qwen2_5_vl_7b,f7db2ce08669a2092239,stage2_arch1/grid,43,[128],0.2,0.003,0.0001,128,False,True,7425,17,32,0.8535886108092463,0.4779396936506086,2.0982483939733356,18397184,0.0
qwen2_5_vl_7b,f856efc0f708dbec4535,stage2_arch4/grid,43,"[256, 128]",0.2,0.003,0.0001,128,False,True,47617,8,23,0.8573784546829692,0.5149133300274861,1.60296592512168,19302400,0.0
