model,source_mode,category,layer,n_pairs,n_images,pair_raw_cosine_mean,pair_raw_cosine_std,pair_raw_cosine_sem,pair_centered_cosine_mean,pair_centered_cosine_std,pair_centered_cosine_sem,pair_js_normalized_mean,pair_js_normalized_std,pair_js_normalized_sem,pair_total_variation_mean,pair_total_variation_std,pair_total_variation_sem,pair_topk_overlap_fraction_mean,pair_topk_overlap_fraction_std,pair_topk_overlap_fraction_sem,image_raw_cosine_mean,image_raw_cosine_std,image_raw_cosine_sem,image_centered_cosine_mean,image_centered_cosine_std,image_centered_cosine_sem,image_js_normalized_mean,image_js_normalized_std,image_js_normalized_sem,image_total_variation_mean,image_total_variation_std,image_total_variation_sem,image_topk_overlap_fraction_mean,image_topk_overlap_fraction_std,image_topk_overlap_fraction_sem,specificity_pair_js_mean,specificity_pair_js_std,specificity_pair_js_sem,specificity_uniform_js_mean,specificity_uniform_js_std,specificity_uniform_js_sem,specificity_ratio_mean,specificity_ratio_std,specificity_ratio_sem,specificity_random_overlap_mean,specificity_random_overlap_std,specificity_random_overlap_sem
internvl_2_5_8b,hmid_cos,all,21,16860,3231,0.9261272799,0.05279896823,0.0004066274104,0.7812573707,0.1701634935,0.001310501758,0.02768247097,0.02106186868,0.0001622064484,0.1474785935,0.05506229105,0.0004240582263,0.5955756969,0.1777500697,0.001368929222,0.9255733758,0.04173003203,0.0007341422847,0.7785368662,0.1455193908,0.002560073233,0.02769601876,0.01598431222,0.0002812065777,0.1472498473,0.04250530977,0.0007477814828,0.5924245297,0.146954456,0.002585319848,0.02769601876,0.01598431222,0.0002812065777,0.07585524631,0.0278486411,0.0004899316873,0.4117575603,0.2801708233,0.004928950167,0.125,0,0
internvl_2_5_8b,hmid_cos,all,22,16860,3231,0.9229917168,0.05535559262,0.000426317067,0.7449188853,0.1998771664,0.001539339448,0.02844171511,0.02122151106,0.0001634359227,0.1489250937,0.05642359122,0.0004345421805,0.5628521649,0.1963187417,0.001511934499,0.9204398051,0.04607583764,0.0008105965673,0.7426283423,0.1615176381,0.002841524966,0.0295214878,0.01747113508,0.0003073637473,0.1513568694,0.0461159636,0.0008113024897,0.5618104157,0.1608424122,0.002829645946,0.0295214878,0.01747113508,0.0003073637473,0.06847245682,0.02020396224,0.0003554414477,0.4651290836,0.2931170863,0.005156709375,0.125,0,0
internvl_2_5_8b,hmid_cos,all,23,16860,3231,0.9304337729,0.05359783876,0.0004127798537,0.7552718486,0.1940097045,0.001494151617,0.02595709274,0.02016656714,0.0001553113488,0.1402392645,0.05420862916,0.0004174838114,0.5828625445,0.1896907579,0.001460889564,0.9285515005,0.04309299944,0.0007581205077,0.7456022684,0.1583123126,0.002785134762,0.02694160936,0.01656379261,0.0002914011795,0.142464906,0.04362624357,0.0007675016905,0.5709363087,0.1546789463,0.002721214183,0.02694160936,0.01656379261,0.0002914011795,0.06023802567,0.01985334592,0.0003492731738,0.4834996429,0.3015311992,0.005304736007,0.125,0,0
internvl_2_5_8b,hmid_cos,all,24,16860,3231,0.9272825912,0.05732255056,0.0004414654504,0.7524583975,0.2087875532,0.001607962142,0.02709569185,0.02124112479,0.0001635869763,0.1420334933,0.05649710759,0.0004351083615,0.5945358837,0.1959554079,0.00150913631,0.9247010993,0.04762911725,0.0008379228881,0.7398464394,0.1753091839,0.003084154949,0.02841498727,0.01798833385,0.0003164626498,0.1452672049,0.04656071954,0.0008191269299,0.5772131628,0.1637018145,0.00287995044,0.02841498727,0.01798833385,0.0003164626498,0.06135438326,0.01946227494,0.0003423931949,0.4988718314,0.3188114394,0.005608741407,0.125,0,0
internvl_2_5_8b,hmid_cos,all,25,16860,3231,0.9251020405,0.0616143739,0.0004745186155,0.7522428092,0.2250274138,0.001733032247,0.03042600249,0.02588266946,0.0001993334947,0.1493719023,0.06461153071,0.0004976010005,0.6026523577,0.2057518311,0.00158458275,0.9236961298,0.05050874283,0.0008885831631,0.7448381071,0.1952463338,0.003434902458,0.03134518248,0.0210359481,0.0003700782925,0.1511210719,0.05172584994,0.0009099953154,0.5961284798,0.1778410883,0.003128697883,0.03134518248,0.0210359481,0.0003700782925,0.06714352132,0.02284779994,0.0004019535867,0.5224687163,0.3676252234,0.006467505734,0.125,0,0
internvl_2_5_8b,hmid_cos,all,26,16860,3231,0.9485611514,0.04130937413,0.0003181411378,0.8695257062,0.1215119652,0.0009358155545,0.02279869577,0.01932448402,0.000148826107,0.1299853419,0.05356891823,0.0004125571243,0.7154822805,0.1454907599,0.001120486496,0.9470681874,0.03463439945,0.0006093112299,0.8645637398,0.1084127439,0.001907268594,0.02386668679,0.01639353523,0.0002884058992,0.1321770165,0.04415737329,0.0007768456753,0.7077841198,0.1310632017,0.002305750407,0.02386668679,0.01639353523,0.0002884058992,0.08636533362,0.02703877061,0.0004756839107,0.30945759,0.2377022425,0.004181814844,0.125,0,0
internvl_2_5_8b,hmid_cos,all,27,16860,3231,0.9616541301,0.02580124457,0.0001987064069,0.8493078288,0.1173749314,0.0009039544902,0.01523841369,0.01001144794,7.710243757e-05,0.1087428691,0.03486699715,0.0002685256404,0.6711336002,0.1397914453,0.00107659364,0.961722203,0.02007375882,0.0003531508233,0.8488892506,0.09859450504,0.001734539651,0.01537917573,0.007868667033,0.0001384307874,0.1088980791,0.02795567753,0.0004918147428,0.6688481301,0.1162721261,0.002045536036,0.01537917573,0.007868667033,0.0001384307874,0.05280801887,0.01380553255,0.0002428760468,0.313850113,0.1930311141,0.00339593085,0.125,0,0
internvl_2_5_8b,hmid_cos,all,28,16860,3231,0.9465604945,0.04400605018,0.0003389093921,0.6416299888,0.224431435,0.00172844236,0.02124706047,0.02067962126,0.0001592625978,0.1258994702,0.05320778867,0.0004097759113,0.4714394276,0.1863428859,0.001435106171,0.9431239047,0.03902333883,0.0006865243502,0.6300003749,0.185529544,0.003263958274,0.02258150655,0.01871632107,0.0003292698818,0.1289992709,0.04588765155,0.0008072858732,0.4668965648,0.1524333717,0.002681708551,0.02258150655,0.01871632107,0.0003292698818,0.03007782533,0.01593222243,0.0002802901796,0.7607589362,0.3620955587,0.00637022422,0.125,0,0
internvl_2_5_8b,hmid_cos,all,29,16860,3231,0.9415372112,0.05069457182,0.0003904205546,0.4773652713,0.301778333,0.002324123864,0.0215250169,0.02045418885,0.0001575264465,0.1273044904,0.05416526736,0.0004171498637,0.3976423488,0.1934901521,0.001490150322,0.9397624543,0.04124340138,0.000725581157,0.4843791001,0.2291681521,0.00403167749,0.0222045715,0.01673077364,0.00029433882,0.1287194292,0.04431291481,0.0007795820645,0.4047736275,0.1530583624,0.0026927038,0.0222045715,0.01673077364,0.00029433882,0.02044676031,0.007717575684,0.0001357726886,1.049790432,0.4658052969,0.008194754432,0.125,0,0
internvl_2_5_8b,hmid_cos,all,30,16860,3231,0.9501068434,0.04830497838,0.0003720172747,0.691576971,0.2512777998,0.001935197684,0.02004388851,0.02067981009,0.000159264052,0.1207203301,0.05701283302,0.0004390801834,0.5113971679,0.1936950479,0.001491728312,0.9508432558,0.03620641888,0.0006369672341,0.6976672124,0.1855024063,0.00326348085,0.01981804472,0.01572614329,0.0002766646993,0.1200601529,0.04375983978,0.0007698520033,0.5129925626,0.1474045699,0.002593238549,0.01981804472,0.01572614329,0.0002766646993,0.03244857979,0.009977089398,0.0001755235462,0.6105011902,0.3764064029,0.006621990044,0.125,0,0
